"Name","Gross Export","Share","Code","Sector"
"Live animals","52166345","0.24645800573721596","01","Agriculture"
"Meat","82306039","0.3888518973692621","02","Agriculture"
"Fish","120173468","0.5677551928509682","03","Agriculture"
"Diary products","277264142","1.3099243870691009","04","Agriculture"
"Animal products","3987114","0.018836975545956574","05","Agriculture"
"Plants","22296896","0.10534087681032872","06","Agriculture"
"Vegetables","77804095","0.3675826261527215","07","Agriculture"
"Fruits and nuts","77900128","0.3680363305796842","08","Agriculture"
"Coffee, tea and spices","39580690","0.18699753496440982","09","Agriculture"
"Cereals","358989849","1.6960345269434591","10","Agriculture"
"Flours, starches and malts","60466427","0.2856714422387643","11","Agriculture"
"Oil seeds and oleaginous fruits","76861214","0.3631280190510066","12","Agriculture"
"Lac and other vegetable extracts","1356762","0.006409972881558725","13","Agriculture"
"Other vegetable materials","1902113","0.008986463910148068","14","Agriculture"
"Animal or vegetable fats, oils or waxes","40207499","0.18995887136085737","15","Agriculture"
"Preparations of meat or fish","113809218","0.5376875244526345","16","Agriculture"
"Sugar and candy","15161662","0.07163072245490323","17","Agriculture"
"Cocoa","41684081","0.19693492948851554","18","Agriculture"
"Preparations of cereals, flour, starch or milk","97736025","0.4617503068344674","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","51970192","0.24553128799995888","20","Agriculture"
"Miscellaneous edible preparations","73654983","0.34798029692876786","21","Agriculture"
"Beverages","602054525","2.844384776747668","22","Agriculture"
"Food residues and animal feed","127479682","0.6022731360177613","23","Agriculture"
"Tobacco","43348788","0.2047997773584743","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","78703116","0.3718300182745173","25","Minerals"
"Ores, slag and ash","32646030","0.15423498520046447","26","Minerals"
"Mineral fuels, oils and waxes","1496453759","7.069941532631822","27","Minerals"
"Inorganic chemicals","33876409","0.16004786618035582","28","Chemicals"
"Organic chemicals","82534736","0.3899323680546836","29","Chemicals"
"Pharmaceutical products","454252489","2.1460994160144176","30","Chemicals"
"Fertilisers","94378475","0.4458876835825798","31","Chemicals"
"Dyes, paints, inks, etc.","65761630","0.3106884368423487","32","Chemicals"
"Essential oils","89222130","0.4215267185658997","33","Chemicals"
"Soaps, waxes, and paints","80152357","0.3786769048388838","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","8268644","0.03906490881028748","35","Chemicals"
"Explosives","432095","0.0020414171625215897","36","Chemicals"
"Photographic or cinematographic goods","4706775","0.02223698785018932","37","Chemicals"
"Miscellaneous chemical products","138650851","0.6550509189637088","38","Chemicals"
"Plastics","344161025","1.6259762855529964","39","Chemicals"
"Rubber","69295746","0.3273852397600917","40","Chemicals"
"Leather and skins","2844487","0.013438675708743561","41","Agriculture"
"Articles of leather","17646606","0.08337075029485753","42","Agriculture"
"Furskins","15715288","0.07424630842099443","43","Agriculture"
"Wood","2526420220","11.935980737684007","44","Agriculture"
"Cork","186834","0.0008826904596039267","45","Agriculture"
"Manufactues of plaiting materials","761768","0.0035989452992044495","46","Agriculture"
"Pulp of wood","29766334","0.1406299658476722","47","Agriculture"
"Paper and paperboard","128725093","0.6081570351366894","48","Agriculture"
"Products of the printing industry","119845238","0.5662044821154715","49","Agriculture"
"Silk","30480","0.00014400165499174502","50","Textiles"
"Wool","2696229","0.012738236162622627","51","Textiles"
"Cotton","9773411","0.046174125948639295","52","Textiles"
"Other vegetable textile fibres","2750731","0.012995728885731552","53","Textiles"
"Man-made filaments","30568825","0.14442130548402327","54","Textiles"
"Man-made staple fibres","7733777","0.0365379490596159","55","Textiles"
"Wadding, felt and nonwovens","21773897","0.10286998699539998","56","Textiles"
"Carpets","2951518","0.013944339787989674","57","Textiles"
"Special woven fabrics","9289854","0.04388957843279798","58","Textiles"
"Impregnated, coated or laminated textile fabrics","4451274","0.02102988263850803","59","Textiles"
"Knitted fabrics","20416798","0.09645842196955871","60","Textiles"
"Apparel, knit","83987301","0.39679495873654336","61","Textiles"
"Apparel, not knit","124599180","0.5886643087471894","62","Textiles"
"Other made up textile articles","59641074","0.2817720919122419","63","Textiles"
"Footwear","23358927","0.11035840376743297","64","Textiles"
"Headgear","1740791","0.00822430396964353","65","Textiles"
"Umbrellas and walking-sticks","2858166","0.013503301648331228","66","Textiles"
"Feathers and down","436450","0.0020619922021373723","67","Textiles"
"Articles of stone, plaster, cement, etc.","111354745","0.5260914557474982","68","Stone"
"Ceramic products","36390284","0.17192457748095863","69","Stone"
"Glass and glassware","154798681","0.7313407563825195","70","Stone"
"Precious metals and stones","102674885","0.48508377185325113","71","Stone"
"Iron and steel","577934923","2.7304325915199055","72","Metals"
"Articles of iron or steel","384079465","1.8145695081477693","73","Metals"
"Copper","67436739","0.318602428584198","74","Metals"
"Nickel","3291953","0.015552712603511808","75","Metals"
"Aluminium","103008158","0.4866583080594212","76","Metals"
"Lead","3665888","0.017319354954539963","78","Metals"
"Zinc","3302158","0.015600925756044314","79","Metals"
"Tin","67551","0.0003191422505363309","80","Metals"
"Other base metals","2274169","0.010744228993796645","81","Metals"
"Metal tools and tableware","23228888","0.10974403922630858","82","Metals"
"Miscellaneous articles of base metal","38001411","0.17953628858338266","83","Metals"
"Industrial Machinery","1232410726","5.822479795721063","84","Machinery"
"Electrical machinery and equipment","1263694125","5.970277080162241","85","Electronics"
"Trains","23969230","0.11324175816528163","86","Vehicles"
"Vehicles","695808752","3.2873232232854552","87","Vehicles"
"Aircraft","65139263","0.3077480865138629","88","Vehicles"
"Ships","39079261","0.184628551832492","89","Vehicles"
"Apparatuses (optical, medical, etc.)","218647685","1.0329930610273537","90","Machinery"
"Clocks","17734970","0.0837882228093487","91","Machinery"
"Musical instruments","3441540","0.016259430961951774","92","Machinery"
"Arms and ammunition","1693739","0.008002008501445643","93","Machinery"
"Furniture","322781403","1.5249690365012272","94","Textiles"
"Toys","53051172","0.25063833882059455","95","Machinery"
"Miscellaneous manufactured articles","15264520","0.07211667134693542","96","Machinery"
"Art","1892426","0.00894069802983622","97","Textiles"
"Other","585265920","2.765067621071727","99","Other"
"Unspecified","1829616640","8.6439574855786","unspecified","Services"
"Travel and tourism","1036430912","4.896580269442376","travel","Services"
"Transport","2519314176","11.902408490425339","transport","Services"
"ICT","467907968","2.210614231490304","ict","Services"
"Insurance and finance","377140320","1.7817857691639212","financial","Services"
