"Name","Gross Import","Share","Code","Sector"
"Live animals","16734080","0.06250899471380227","01","Agriculture"
"Meat","173250256","0.6471643099870975","02","Agriculture"
"Fish","171957129","0.6423339238046917","03","Agriculture"
"Diary products","171286764","0.6398298218617514","04","Agriculture"
"Animal products","13844339","0.05171456771851734","05","Agriculture"
"Plants","95184548","0.3555552744917951","06","Agriculture"
"Vegetables","130332606","0.4868484063354587","07","Agriculture"
"Fruits and nuts","214757587","0.802212064871922","08","Agriculture"
"Coffee, tea and spices","83665369","0.3125261806175969","09","Agriculture"
"Cereals","363523820","1.3579180058133586","10","Agriculture"
"Flours, starches and malts","22447059","0.08384943136231018","11","Agriculture"
"Oil seeds and oleaginous fruits","74094029","0.2767731041733583","12","Agriculture"
"Lac and other vegetable extracts","4972209","0.018573341713253436","13","Agriculture"
"Other vegetable materials","4512144","0.016854800828244792","14","Agriculture"
"Animal or vegetable fats, oils or waxes","188402734","0.7037653401723843","15","Agriculture"
"Preparations of meat or fish","97846902","0.36550031312626263","16","Agriculture"
"Sugar and candy","63450747","0.23701586276686887","17","Agriculture"
"Cocoa","78588113","0.2935604431247308","18","Agriculture"
"Preparations of cereals, flour, starch or milk","115436118","0.4312036090328154","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","90343536","0.33747201006868643","20","Agriculture"
"Miscellaneous edible preparations","169584075","0.6334695452465894","21","Agriculture"
"Beverages","876968603","3.2758553663600005","22","Agriculture"
"Food residues and animal feed","224591791","0.8389470515488382","23","Agriculture"
"Tobacco","79637651","0.2974809194995261","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","59962941","0.22398740546196966","25","Minerals"
"Ores, slag and ash","49506250","0.18492716178900626","26","Minerals"
"Mineral fuels, oils and waxes","4380705014","16.36381961618763","27","Minerals"
"Inorganic chemicals","86965651","0.3248541550322081","28","Chemicals"
"Organic chemicals","202005018","0.7545757282338517","29","Chemicals"
"Pharmaceutical products","679807981","2.5393755432464524","30","Chemicals"
"Fertilisers","231544761","0.8649193885386952","31","Chemicals"
"Dyes, paints, inks, etc.","165379588","0.6177639757944743","32","Chemicals"
"Essential oils","213824231","0.798725578296616","33","Chemicals"
"Soaps, waxes, and paints","115430406","0.4311822722531534","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","32201257","0.12028556117759616","35","Chemicals"
"Explosives","3481608","0.013005305105959316","36","Chemicals"
"Photographic or cinematographic goods","16935467","0.06326126187867949","37","Chemicals"
"Miscellaneous chemical products","327683632","1.2240394703794608","38","Chemicals"
"Plastics","766963615","2.864939366592826","39","Chemicals"
"Rubber","290530323","1.0852558625634792","40","Chemicals"
