"Name","Gross Export","Share","Code","Sector"
"Live animals","9290413","0.28331346682662756","01","Agriculture"
"Meat","6126519","0.1868297283951966","02","Agriculture"
"Fish","2566217","0.07825742891079522","03","Agriculture"
"Diary products","6965917","0.21242738023557628","04","Agriculture"
"Animal products","18946273","0.5777713312716809","05","Agriculture"
"Plants","1238433","0.037766323915040256","06","Agriculture"
"Vegetables","54904182","1.674316754884861","07","Agriculture"
"Fruits and nuts","141366005","4.310991660756133","08","Agriculture"
"Coffee, tea and spices","35276428","1.0757634901634532","09","Agriculture"
"Cereals","5046470","0.1538933641525486","10","Agriculture"
"Flours, starches and malts","14333174","0.4370937240970107","11","Agriculture"
"Oil seeds and oleaginous fruits","9419992","0.287265010823426","12","Agriculture"
"Lac and other vegetable extracts","5176823","0.15786851147282932","13","Agriculture"
"Other vegetable materials","136705","0.004168853148136054","14","Agriculture"
"Animal or vegetable fats, oils or waxes","44613027","1.3604854106055286","15","Agriculture"
"Preparations of meat or fish","13891844","0.42363525542456354","16","Agriculture"
"Sugar and candy","27819711","0.8483690412390564","17","Agriculture"
"Cocoa","42061503","1.2826760484026487","18","Agriculture"
"Preparations of cereals, flour, starch or milk","49365702","1.5054194227910194","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","104512085","3.1871221577156135","20","Agriculture"
"Miscellaneous edible preparations","36781813","1.1216705820504125","21","Agriculture"
"Beverages","52720349","1.6077202216413553","22","Agriculture"
"Food residues and animal feed","2477629","0.07555591570581313","23","Agriculture"
"Tobacco","32193831","0.9817589240694202","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","6139584","0.18722814883614902","25","Minerals"
"Ores, slag and ash","3179278","0.09695287735708057","26","Minerals"
"Mineral fuels, oils and waxes","28511370","0.8694613553430516","27","Minerals"
"Inorganic chemicals","26630903","0.8121160441041358","28","Chemicals"
"Organic chemicals","4816568","0.14688244519228544","29","Chemicals"
"Pharmaceutical products","48866822","1.4902059524823832","30","Chemicals"
"Fertilisers","61541114","1.8767116553066807","31","Chemicals"
"Dyes, paints, inks, etc.","40858969","1.2460044734665408","32","Chemicals"
"Essential oils","84248316","2.569173456579943","33","Chemicals"
"Soaps, waxes, and paints","23727690","0.7235818379320169","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","810445","0.024714722867789213","35","Chemicals"
"Explosives","38724","0.0011808980601179222","36","Chemicals"
"Photographic or cinematographic goods","198439","0.006051446910229841","37","Chemicals"
"Miscellaneous chemical products","10452989","0.31876651256414573","38","Chemicals"
"Plastics","175087384","5.339333542937759","39","Chemicals"
"Rubber","33806660","1.0309425475949323","40","Chemicals"
"Leather and skins","8934723","0.2724666113622297","41","Agriculture"
"Articles of leather","6135732","0.18711068113323673","42","Agriculture"
"Furskins","302332","0.009219689916113306","43","Agriculture"
"Wood","8896948","0.2713146532943402","44","Agriculture"
"Cork","75542","0.0023036721737792606","45","Agriculture"
"Manufactues of plaiting materials","215894","0.006583741498582241","46","Agriculture"
"Pulp of wood","242826","0.007405039570968768","47","Agriculture"
"Paper and paperboard","88253178","2.691302724394218","48","Agriculture"
"Products of the printing industry","68467134","2.087922366553916","49","Agriculture"
"Silk","102243","0.0031179258434210497","50","Textiles"
"Wool","700832","0.021372047032036042","51","Textiles"
"Cotton","895244","0.027300689570607616","52","Textiles"
"Other vegetable textile fibres","41653","0.0012702186473012038","53","Textiles"
"Man-made filaments","4393390","0.13397752629742482","54","Textiles"
"Man-made staple fibres","3387826","0.10331260074933014","55","Textiles"
"Wadding, felt and nonwovens","2063972","0.06294134208598565","56","Textiles"
"Carpets","1452582","0.044296851202412245","57","Textiles"
"Special woven fabrics","2104824","0.06418713403805511","58","Textiles"
"Impregnated, coated or laminated textile fabrics","558121","0.017020039412536797","59","Textiles"
"Knitted fabrics","946182","0.02885405661394732","60","Textiles"
"Apparel, knit","13651623","0.4163096559797855","61","Textiles"
"Apparel, not knit","37606818","1.1468293157578702","62","Textiles"
"Other made up textile articles","5483184","0.16721106675110087","63","Textiles"
"Footwear","4709629","0.14362131365497133","64","Textiles"
"Headgear","208429","0.006356094457502283","65","Textiles"
"Umbrellas and walking-sticks","15598","0.0004756649091446997","66","Textiles"
"Feathers and down","1640258","0.05002007773713725","67","Textiles"
"Articles of stone, plaster, cement, etc.","13066054","0.3984525829458739","68","Stone"
"Ceramic products","5176655","0.15786338827083315","69","Stone"
"Glass and glassware","8287800","0.2527385327612157","70","Stone"
"Precious metals and stones","703430843","21.451299398972594","71","Stone"
"Iron and steel","141494942","4.314923626802447","72","Metals"
"Articles of iron or steel","42845180","1.3065744744190477","73","Metals"
"Copper","180798163","5.513485176107425","74","Metals"
"Nickel","77052","0.002349720001244865","75","Metals"
"Aluminium","75374740","2.2985715382680705","76","Metals"
"Lead","64595862","1.969866959184098","78","Metals"
"Zinc","1558919","0.047539624599240035","79","Metals"
"Tin","87445","0.002666657134258127","80","Metals"
"Other base metals","146638","0.004471762466159795","81","Metals"
"Metal tools and tableware","3910916","0.11926436105991489","82","Metals"
"Miscellaneous articles of base metal","9967727","0.30396832656969935","83","Metals"
"Industrial Machinery","161922373","4.937863241539888","84","Machinery"
"Electrical machinery and equipment","185733613","5.663992957607502","85","Electronics"
"Trains","383904","0.011707248447255212","86","Vehicles"
"Vehicles","25780639","0.7861870308775036","87","Vehicles"
"Aircraft","6918676","0.21098675413140242","88","Vehicles"
"Ships","1349083","0.041140623325019804","89","Vehicles"
"Apparatuses (optical, medical, etc.)","20437764","0.6232547221554567","90","Machinery"
"Clocks","8786800","0.2679556624998492","91","Machinery"
"Musical instruments","165062","0.005033606951740122","92","Machinery"
"Arms and ammunition","294171","0.008970818181049202","93","Machinery"
"Furniture","53377493","1.6277599921923864","94","Textiles"
"Toys","2514470","0.07667939121022395","95","Machinery"
"Miscellaneous manufactured articles","2296330","0.07002715738019287","96","Machinery"
"Art","12920721","0.39402061678093436","97","Textiles"
"Other","17866170","0.5448333202855341","99","Other"
