"Name","Gross Import","Share","Code","Sector"
"Live animals","274520714","1.4096859982067103","01","Agriculture"
"Meat","149438472","0.7673786014260677","02","Agriculture"
"Fish","88287280","0.4533623005066034","03","Agriculture"
"Diary products","308039323","1.5818067576866868","04","Agriculture"
"Animal products","3103983","0.01593920294762041","05","Agriculture"
"Plants","23419100","0.12025896654415218","06","Agriculture"
"Vegetables","95619789","0.49101532536732373","07","Agriculture"
"Fruits and nuts","165974517","0.8522925256344103","08","Agriculture"
"Coffee, tea and spices","105936667","0.5439933256424027","09","Agriculture"
"Cereals","515904212","2.6492097207362875","10","Agriculture"
"Flours, starches and malts","37088253","0.19045116920411337","11","Agriculture"
"Oil seeds and oleaginous fruits","203996695","1.04753947500641","12","Agriculture"
"Lac and other vegetable extracts","3199802","0.01643124123753309","13","Agriculture"
"Other vegetable materials","398300","0.0020453026108832456","14","Agriculture"
"Animal or vegetable fats, oils or waxes","163483764","0.8395023081752958","15","Agriculture"
"Preparations of meat or fish","94340846","0.4844478499541406","16","Agriculture"
"Sugar and candy","116508059","0.5982782758263601","17","Agriculture"
"Cocoa","93896294","0.48216503959442836","18","Agriculture"
"Preparations of cereals, flour, starch or milk","236793384","1.21595311708531","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","88749735","0.45573704421465266","20","Agriculture"
"Miscellaneous edible preparations","170195931","0.8739698268541419","21","Agriculture"
"Beverages","153400275","0.7877227792310013","22","Agriculture"
"Food residues and animal feed","109534626","0.5624691351742903","23","Agriculture"
"Tobacco","148869368","0.7644562065049929","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","95776288","0.49181896034924844","25","Minerals"
"Ores, slag and ash","1571415","0.008069342712229715","26","Minerals"
"Mineral fuels, oils and waxes","3858863908","19.815577268580277","27","Minerals"
"Inorganic chemicals","34307495","0.17617175268984153","28","Chemicals"
"Organic chemicals","134565172","0.6910030068429651","29","Chemicals"
"Pharmaceutical products","1009655928","5.184664588581838","30","Chemicals"
"Fertilisers","43886724","0.22536186588077425","31","Chemicals"
"Dyes, paints, inks, etc.","85030344","0.4366376715729362","32","Chemicals"
"Essential oils","252276167","1.295458456009836","33","Chemicals"
"Soaps, waxes, and paints","116653334","0.5990242746634077","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","27875893","0.14314495790510165","35","Chemicals"
"Explosives","6797770","0.03490709698514637","36","Chemicals"
"Photographic or cinematographic goods","16062934","0.08248446108120827","37","Chemicals"
"Miscellaneous chemical products","136227307","0.6995382040690269","38","Chemicals"
"Plastics","629490684","3.232485411779764","39","Chemicals"
"Rubber","160398509","0.8236592750175239","40","Chemicals"
"Leather and skins","2409852","0.012374784301888552","41","Agriculture"
"Articles of leather","69809212","0.3584759316276726","42","Agriculture"
"Furskins","1815840","0.009324484792734703","43","Agriculture"
"Wood","200516435","1.0296680593283971","44","Agriculture"
"Cork","1591921","0.008174642675420203","45","Agriculture"
"Manufactues of plaiting materials","1714709","0.008805168954569417","46","Agriculture"
"Pulp of wood","37444415","0.1922800897878377","47","Agriculture"
"Paper and paperboard","320807448","1.6473721089259126","48","Agriculture"
"Products of the printing industry","50086789","0.2571996995040377","49","Agriculture"
"Silk","1919562","0.009857105624786","50","Textiles"
"Wool","3147217","0.016161213023138676","51","Textiles"
"Cotton","31966919","0.16415270623297318","52","Textiles"
"Other vegetable textile fibres","3182701","0.016343426223853166","53","Textiles"
"Man-made filaments","49108952","0.2521784276759728","54","Textiles"
"Man-made staple fibres","44844779","0.2302815555440174","55","Textiles"
"Wadding, felt and nonwovens","25919994","0.13310125885583243","56","Textiles"
"Carpets","34697238","0.17817311441586078","57","Textiles"
"Special woven fabrics","21241399","0.10907629634324066","58","Textiles"
"Impregnated, coated or laminated textile fabrics","19352924","0.09937882496968373","59","Textiles"
"Knitted fabrics","74350506","0.3817958424360794","60","Textiles"
"Apparel, knit","237478615","1.219471833513525","61","Textiles"
"Apparel, not knit","342258449","1.7575247284372337","62","Textiles"
"Other made up textile articles","80106234","0.41135196974196386","63","Textiles"
"Footwear","126984735","0.6520768517143285","64","Textiles"
"Headgear","6931986","0.03559630696561915","65","Textiles"
"Umbrellas and walking-sticks","3586192","0.018415385038234016","66","Textiles"
"Feathers and down","6342283","0.03256813451885619","67","Textiles"
"Articles of stone, plaster, cement, etc.","91142283","0.4680229710814955","68","Stone"
"Ceramic products","254707824","1.30794521074464","69","Stone"
"Glass and glassware","128331402","0.6589920953274099","70","Stone"
"Precious metals and stones","1128086058","5.7928128539502595","71","Stone"
"Iron and steel","662700943","3.403022769150612","72","Metals"
"Articles of iron or steel","206915960","1.0625301361320945","73","Metals"
"Copper","99559746","0.5112473222010363","74","Metals"
"Nickel","938316","0.004818328306888083","75","Metals"
"Aluminium","166522491","0.8551064163019878","76","Metals"
"Lead","14106847","0.07243979663678252","78","Metals"
"Zinc","2600677","0.013354686061169989","79","Metals"
"Tin","1057915","0.005432478813940619","80","Metals"
"Other base metals","885324","0.004546210114681392","81","Metals"
"Metal tools and tableware","50991005","0.2618429215617892","82","Metals"
"Miscellaneous articles of base metal","82417561","0.42322082022578245","83","Metals"
"Industrial Machinery","1205304577","6.189336174360094","84","Machinery"
"Electrical machinery and equipment","999148469","5.130707939507149","85","Electronics"
"Trains","3203486","0.016450158874536592","86","Vehicles"
"Vehicles","1296353549","6.656879985933872","87","Vehicles"
"Aircraft","133739602","0.6867636383356418","88","Vehicles"
"Ships","52571310","0.26995791514072925","89","Vehicles"
"Apparatuses (optical, medical, etc.)","389000750","1.9975502124291757","90","Machinery"
"Clocks","84407841","0.43344106848184244","91","Machinery"
"Musical instruments","6052714","0.03108117435884904","92","Machinery"
"Arms and ammunition","28353385","0.14559691782043144","93","Machinery"
"Furniture","269102711","1.3818641160031622","94","Textiles"
"Toys","112187172","0.5760901727321309","95","Machinery"
"Miscellaneous manufactured articles","51339439","0.2636321582424833","96","Machinery"
"Art","36296192","0.18638387211328036","97","Textiles"
"Other","156108832","0.80163143778944","99","Other"
