"Name","Gross Export","Share","Code","Sector"
"Live animals","1081292","0.09670671230354548","01","Agriculture"
"Meat","20063","0.0017943596817011807","02","Agriculture"
"Fish","3686501","0.329706861434037","03","Agriculture"
"Diary products","19465","0.001740876798301026","04","Agriculture"
"Plants","188502","0.01685891385735114","06","Agriculture"
"Vegetables","10969","0.0009810263344754149","07","Agriculture"
"Fruits and nuts","1240760","0.11096893379193326","08","Agriculture"
"Coffee, tea and spices","11396","0.0010192156174384018","09","Agriculture"
"Cereals","134671","0.012044470552478677","10","Agriculture"
"Flours, starches and malts","11200225","1.0017062336630418","11","Agriculture"
"Oil seeds and oleaginous fruits","1020951","0.09131003894694223","12","Agriculture"
"Lac and other vegetable extracts","27855","0.00249124701858079","13","Agriculture"
"Other vegetable materials","280208","0.02506075550466652","14","Agriculture"
"Sugar and candy","6106","0.0005460978027447246","17","Agriculture"
"Cocoa","2191","0.00019595484536745684","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1572389","0.14062859121519403","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","19493","0.0017433810135772873","20","Agriculture"
"Miscellaneous edible preparations","183376","0.016400463589275566","21","Agriculture"
"Beverages","45348","0.004055755512425117","22","Agriculture"
"Food residues and animal feed","2379369","0.21280186420224576","23","Agriculture"
"Tobacco","1013","0.00009059893124474385","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1740010","0.1556199865302732","25","Minerals"
"Mineral fuels, oils and waxes","325386","0.029101306852914337","27","Minerals"
"Inorganic chemicals","6341","0.0005671153238133473","28","Chemicals"
"Pharmaceutical products","325301","0.02909370477082569","30","Chemicals"
"Dyes, paints, inks, etc.","16550","0.0014801701007902378","32","Chemicals"
"Essential oils","533042","0.04767328283174803","33","Chemicals"
"Soaps, waxes, and paints","550631","0.04924637720653954","34","Chemicals"
"Miscellaneous chemical products","23325","0.0020861007613856373","38","Chemicals"
"Plastics","2084152","0.18639875987324325","39","Chemicals"
"Rubber","97684","0.008736491608797196","40","Chemicals"
"Leather and skins","47140","0.00421602529010585","41","Agriculture"
"Articles of leather","375513","0.03358447825124136","42","Agriculture"
"Furskins","4983","0.00044566088291466793","43","Agriculture"
"Wood","121948","0.010906573018197458","44","Agriculture"
"Pulp of wood","253271","0.022651610972643163","47","Agriculture"
"Paper and paperboard","5564468","0.49766520606671016","48","Agriculture"
"Products of the printing industry","201793","0.018047611187236523","49","Agriculture"
"Silk","29738","0.002659655495909371","50","Textiles"
"Wool","34534862","3.0886688922850123","51","Textiles"
"Cotton","25362114","2.268292618467281","52","Textiles"
"Man-made filaments","95543","0.008545008576423064","54","Textiles"
"Man-made staple fibres","425649","0.038068454575907185","55","Textiles"
"Wadding, felt and nonwovens","76072","0.006803595160562838","56","Textiles"
"Carpets","7481","0.000669072660061134","57","Textiles"
"Special woven fabrics","34739","0.003106926231501636","58","Textiles"
"Impregnated, coated or laminated textile fabrics","11681","0.0010447049515003486","59","Textiles"
"Knitted fabrics","88933","0.007953834898705632","60","Textiles"
"Apparel, knit","234983417","21.016037947125348","61","Textiles"
"Apparel, not knit","179836122","16.083870140571932","62","Textiles"
"Other made up textile articles","23228389","2.077460234883677","63","Textiles"
"Footwear","10038313","0.8977891700890606","64","Textiles"
"Headgear","525406","0.046990347551407595","65","Textiles"
"Feathers and down","4224","0.00037777876167600997","67","Textiles"
"Articles of stone, plaster, cement, etc.","34811","0.003113365642212022","68","Stone"
"Ceramic products","31492","0.002816526695715176","69","Stone"
"Glass and glassware","33590","0.0030041639689150504","70","Stone"
"Precious metals and stones","472233565","42.2348038370141","71","Stone"
"Iron and steel","735533","0.06578332052837135","72","Metals"
"Articles of iron or steel","496929","0.044443471179189856","73","Metals"
"Copper","28210","0.00252299689083339","74","Metals"
"Aluminium","191576","0.0171338409201807","76","Metals"
"Lead","249801","0.022341267150906476","78","Metals"
"Tin","150788","0.01348591475274673","80","Metals"
"Metal tools and tableware","26753","0.0023926882602079294","82","Metals"
"Miscellaneous articles of base metal","85537","0.007650109360199068","83","Metals"
"Industrial Machinery","8472190","0.75772098647819","84","Machinery"
"Electrical machinery and equipment","55934657","5.002586518994404","85","Electronics"
"Trains","50095","0.0044803094380112965","86","Vehicles"
"Vehicles","1412914","0.1263657436729872","87","Vehicles"
"Apparatuses (optical, medical, etc.)","72849","0.006515342095013175","90","Machinery"
"Clocks","1833","0.00016393666433525716","91","Machinery"
"Musical instruments","1242","0.0001110798347541677","92","Machinery"
"Furniture","80707","0.00721813222504397","94","Textiles"
"Toys","26909","0.0024066403167471","95","Machinery"
"Miscellaneous manufactured articles","6376","0.0005702455929086741","96","Machinery"
"Art","17360","0.001552613471282086","97","Textiles"
"Other","792670","0.0708934401083624","99","Other"
"Travel and tourism","27943556","2.499167136009526","travel","Services"
"Transport","725854","0.06491766696912371","transport","Services"
"ICT","3550719","0.31756302719684665","ict","Services"
"Insurance and finance","39855","0.003564482136978545","financial","Services"
