"Name","Gross Import","Share","Code","Sector"
"Live animals","9597843","0.5109693394609615","01","Agriculture"
"Meat","43875043","2.335816676781573","02","Agriculture"
"Fish","2504534","0.13333621769365467","03","Agriculture"
"Diary products","23838544","1.2691148502211451","04","Agriculture"
"Animal products","252178","0.013425435911650808","05","Agriculture"
"Plants","503266","0.026792842474414325","06","Agriculture"
"Vegetables","16867255","0.8979778212531294","07","Agriculture"
"Fruits and nuts","7596221","0.40440711801281637","08","Agriculture"
"Coffee, tea and spices","11030060","0.5872176146676678","09","Agriculture"
"Cereals","22645911","1.2056215323757349","10","Agriculture"
"Flours, starches and malts","40889721","2.176884298911016","11","Agriculture"
"Oil seeds and oleaginous fruits","2333938","0.1242540389755112","12","Agriculture"
"Lac and other vegetable extracts","158835","0.00845604736744306","13","Agriculture"
"Animal or vegetable fats, oils or waxes","17436368","0.9282762220176185","15","Agriculture"
"Preparations of meat or fish","21555106","1.1475493269509625","16","Agriculture"
"Sugar and candy","16629377","0.885313687808532","17","Agriculture"
"Cocoa","1319279","0.0702356893308963","18","Agriculture"
"Preparations of cereals, flour, starch or milk","20661044","1.0999513125244766","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","16032916","0.8535593360042542","20","Agriculture"
"Miscellaneous edible preparations","15161091","0.8071451735330039","21","Agriculture"
"Beverages","40183279","2.1392747858040106","22","Agriculture"
"Food residues and animal feed","14362076","0.7646072650915552","23","Agriculture"
"Tobacco","23056438","1.227477142018536","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","22947304","1.2216670732465489","25","Minerals"
"Ores, slag and ash","465237","0.024768257053464963","26","Minerals"
"Mineral fuels, oils and waxes","219412848","11.681086887106648","27","Minerals"
"Inorganic chemicals","3140559","0.1671968751487368","28","Chemicals"
"Organic chemicals","791185","0.042121055412285946","29","Chemicals"
"Pharmaceutical products","28858117","1.5363465501130975","30","Chemicals"
"Fertilisers","7692146","0.4095139669045718","31","Chemicals"
"Dyes, paints, inks, etc.","9017398","0.48006764641978356","32","Chemicals"
"Essential oils","16591522","0.8832983657882307","33","Chemicals"
"Soaps, waxes, and paints","25362633","1.3502542009700287","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","2486153","0.1323576512148498","35","Chemicals"
"Explosives","3486334","0.18560522204002414","36","Chemicals"
"Photographic or cinematographic goods","225761","0.012019049389122755","37","Chemicals"
"Miscellaneous chemical products","8662226","0.461159022655566","38","Chemicals"
"Plastics","33577822","1.787613896984743","39","Chemicals"
"Rubber","12537146","0.6674517608118443","40","Chemicals"
"Leather and skins","6537698","0.34805353959793345","41","Agriculture"
"Articles of leather","2603643","0.1386125761696827","42","Agriculture"
"Furskins","110361","0.00587539171793612","43","Agriculture"
"Wood","24062007","1.2810115588361917","44","Agriculture"
"Manufactues of plaiting materials","35831","0.0019075684403491188","46","Agriculture"
"Pulp of wood","79720","0.004244128158986123","47","Agriculture"
"Paper and paperboard","30539113","1.6258393054912088","48","Agriculture"
"Products of the printing industry","6021109","0.32055140811872523","49","Agriculture"
"Silk","1500253","0.07987037133596848","50","Textiles"
"Wool","408494","0.021747376921435992","51","Textiles"
"Cotton","39379823","2.096500447694297","52","Textiles"
"Other vegetable textile fibres","36331","0.0019341874077286102","53","Textiles"
"Man-made filaments","20228563","1.0769269172619769","54","Textiles"
"Man-made staple fibres","4876468","0.25961308523826815","55","Textiles"
"Wadding, felt and nonwovens","2758500","0.14685684303265453","56","Textiles"
"Carpets","1164270","0.06198333030184111","57","Textiles"
"Special woven fabrics","3792574","0.2019088071806151","58","Textiles"
"Impregnated, coated or laminated textile fabrics","1880310","0.10010382110666328","59","Textiles"
"Knitted fabrics","77158954","4.107783359123368","60","Textiles"
"Apparel, knit","30326014","1.6144943548320043","61","Textiles"
"Apparel, not knit","33833421","1.8012214598712044","62","Textiles"
"Other made up textile articles","11529869","0.6138264136016203","63","Textiles"
"Footwear","23865791","1.270565424229523","64","Textiles"
"Headgear","1094445","0.058265991507295126","65","Textiles"
"Umbrellas and walking-sticks","220583","0.011743383362940741","66","Textiles"
"Feathers and down","1732857","0.09225372791264697","67","Textiles"
"Articles of stone, plaster, cement, etc.","6179240","0.328969975980098","68","Stone"
"Ceramic products","5773948","0.30739306692576024","69","Stone"
"Glass and glassware","4013567","0.21367401809680703","70","Stone"
"Precious metals and stones","393828","0.020966589370260746","71","Stone"
"Iron and steel","21412962","1.1399818739525815","72","Metals"
"Articles of iron or steel","38823395","2.066877370132226","73","Metals"
"Copper","1510641","0.08042340700224479","74","Metals"
"Nickel","7355","0.00039156501015231976","75","Metals"
"Aluminium","8830195","0.47010134531909764","76","Metals"
"Lead","16334","0.0008695884263532279","78","Metals"
"Zinc","106853","0.005688633042801607","79","Metals"
"Tin","11072","0.0005894504136514595","80","Metals"
"Other base metals","1294","0.00006888988757812396","81","Metals"
"Metal tools and tableware","3924614","0.2089383440861912","82","Metals"
"Miscellaneous articles of base metal","4806607","0.25589382987807086","83","Metals"
"Industrial Machinery","103233215","5.495923165130062","84","Machinery"
"Electrical machinery and equipment","87899625","4.679594501089069","85","Electronics"
"Trains","185746","0.009888733429742051","86","Vehicles"
"Vehicles","90828129","4.835502005982489","87","Vehicles"
"Aircraft","7334738","0.39048630311823324","88","Vehicles"
"Ships","91527","0.004872708454685434","89","Vehicles"
"Apparatuses (optical, medical, etc.)","12349300","0.6574512277191085","90","Machinery"
"Clocks","184456","0.009820056493902963","91","Machinery"
"Musical instruments","131958","0.007025171394925875","92","Machinery"
"Furniture","24011296","1.2783118099266289","94","Textiles"
"Toys","1267669","0.06748807951798519","95","Machinery"
"Miscellaneous manufactured articles","8325855","0.44325132530275213","96","Machinery"
"Art","23608","0.0012568411637900701","97","Textiles"
"Other","4063252","0.21631914488530707","99","Other"
"Unspecified","21","0.0000011179966299386424","unspecified","Services"
"Travel and tourism","235774928","12.552170234667908","travel","Services"
"Transport","71804760","3.82273712826443","transport","Services"
"ICT","30909410","1.645553153018656","ict","Services"
"Insurance and finance","14606752","0.7776333100166442","financial","Services"
