"Name","Gross Export","Share","Code","Sector"
"Meat","343815","0.029322287019773064","02","Agriculture"
"Fish","809442","0.06903331922650015","03","Agriculture"
"Diary products","1250039","0.10660966608178847","04","Agriculture"
"Animal products","588987","0.050231798685092505","05","Agriculture"
"Vegetables","191421","0.016325353761796255","07","Agriculture"
"Fruits and nuts","2375","0.00020255204593156502","08","Agriculture"
"Coffee, tea and spices","700046","0.05970347349314037","09","Agriculture"
"Cereals","349930","0.02984380523487686","10","Agriculture"
"Flours, starches and malts","3841744","0.3276434135348692","11","Agriculture"
"Oil seeds and oleaginous fruits","3195720","0.2725472101997562","12","Agriculture"
"Animal or vegetable fats, oils or waxes","10064174","0.8583238039205316","15","Agriculture"
"Preparations of meat or fish","3382","0.0002884341134065486","16","Agriculture"
"Sugar and candy","351069","0.029940944931852044","17","Agriculture"
"Cocoa","15496703","1.3216374306710827","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1169932","0.09977773482139274","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","61388","0.005235479998167121","20","Agriculture"
"Miscellaneous edible preparations","31342","0.002673004725720889","21","Agriculture"
"Beverages","72110","0.00614990653984217","22","Agriculture"
"Tobacco","5739","0.0004894510280426324","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","36003","0.003070518446178583","25","Minerals"
"Ores, slag and ash","142879506","12.185488952417398","26","Minerals"
"Mineral fuels, oils and waxes","206631425","17.62257595263357","27","Minerals"
"Inorganic chemicals","326467","0.027842761591216944","28","Chemicals"
"Organic chemicals","25212","0.002150207234537523","29","Chemicals"
"Pharmaceutical products","161451","0.013769360154819834","30","Chemicals"
"Fertilisers","474779","0.04049156118540737","31","Chemicals"
"Dyes, paints, inks, etc.","67287","0.005738576637725143","32","Chemicals"
"Essential oils","42848","0.0036542947638213467","33","Chemicals"
"Soaps, waxes, and paints","44651","0.0038080637485853933","34","Chemicals"
"Explosives","284833","0.024292002904768614","36","Chemicals"
"Photographic or cinematographic goods","11466","0.0009778786352216103","37","Chemicals"
"Miscellaneous chemical products","1476357","0.12591121300016317","38","Chemicals"
"Plastics","1181672","0.10077898156633444","39","Chemicals"
"Rubber","99827177","8.513767975125251","40","Chemicals"
"Articles of leather","82659","0.0070495787640662035","42","Agriculture"
"Wood","42050770","3.5863029458937588","44","Agriculture"
"Paper and paperboard","85878","0.007324111410741449","48","Agriculture"
"Products of the printing industry","138909","0.011846864062445374","49","Agriculture"
"Silk","604680","0.05157017731953631","50","Textiles"
"Wool","27445","0.0023406488002491797","51","Textiles"
"Other vegetable textile fibres","13768","0.0011742048708992788","53","Textiles"
"Man-made filaments","304875","0.02600128631721511","54","Textiles"
"Man-made staple fibres","3599","0.0003069409740242958","55","Textiles"
"Carpets","9800","0.0008357937053176158","57","Textiles"
"Impregnated, coated or laminated textile fabrics","4791","0.0004086007798139486","59","Textiles"
"Knitted fabrics","1260","0.00010745919068369343","60","Textiles"
"Apparel, knit","20919","0.0017840784205652247","61","Textiles"
"Apparel, not knit","305941","0.02609220020393639","62","Textiles"
"Other made up textile articles","241112","0.020563254273116425","63","Textiles"
"Footwear","1684","0.000143620061199476","64","Textiles"
"Feathers and down","1058","0.00009023160614551401","67","Textiles"
"Articles of stone, plaster, cement, etc.","87408","0.0074545975708573626","68","Stone"
"Ceramic products","29771","0.0025390218776541566","69","Stone"
"Glass and glassware","14781","0.0012605986488060895","70","Stone"
"Precious metals and stones","306013029","26.098343202385404","71","Stone"
"Iron and steel","4673674","0.3985946234598574","72","Metals"
"Articles of iron or steel","132993","0.011342317576663843","73","Metals"
"Copper","3303810","0.2817656736291216","74","Metals"
"Aluminium","3913474","0.3337609117473623","76","Metals"
"Lead","9555","0.0008148988626846753","78","Metals"
"Zinc","234137","0.019968390896117405","79","Metals"
"Metal tools and tableware","5701","0.00048621019530772723","82","Metals"
"Miscellaneous articles of base metal","16935","0.0014443026938320226","83","Metals"
"Industrial Machinery","3541828","0.3020650558895592","84","Machinery"
"Electrical machinery and equipment","483483","0.04123388245184457","85","Electronics"
"Trains","2833","0.00024161260889436789","86","Vehicles"
"Vehicles","1436655","0.12252522507276319","87","Vehicles"
"Aircraft","3625726","0.30922030285779767","88","Vehicles"
"Ships","304266085","25.94935495761578","89","Vehicles"
"Apparatuses (optical, medical, etc.)","936880","0.07990187822836406","90","Machinery"
"Clocks","315159","0.02687835799736678","91","Machinery"
"Furniture","479417","0.04088711334920973","94","Textiles"
"Toys","120885","0.010309685925236732","95","Machinery"
"Miscellaneous manufactured articles","1492","0.00012724532738100843","96","Machinery"
"Art","2832156","0.2415406282936242","97","Textiles"
"Other","160637","0.013699938106235288","99","Other"
