"Name","Gross Import","Share","Code","Sector"
"Live animals","26959","0.00027544472516150253","01","Agriculture"
"Meat","35967248","0.36748353945530626","02","Agriculture"
"Fish","5053896","0.05163652193014641","03","Agriculture"
"Diary products","12176961","0.12441409829546106","04","Agriculture"
"Animal products","486469","0.0049703371788490285","05","Agriculture"
"Plants","7278","0.00007436057382415577","06","Agriculture"
"Vegetables","5237173","0.05350909446226647","07","Agriculture"
"Fruits and nuts","661017","0.006753724021368779","08","Agriculture"
"Coffee, tea and spices","1299798","0.01328025901834158","09","Agriculture"
"Cereals","142294221","1.4538444525173448","10","Agriculture"
"Flours, starches and malts","5436437","0.05554500891438196","11","Agriculture"
"Oil seeds and oleaginous fruits","650747","0.006648793670561679","12","Agriculture"
"Lac and other vegetable extracts","218894","0.0022364775277088147","13","Agriculture"
"Animal or vegetable fats, oils or waxes","24653445","0.2518884744355955","15","Agriculture"
"Preparations of meat or fish","19169718","0.1958602954832712","16","Agriculture"
"Sugar and candy","12306455","0.12573716069540408","17","Agriculture"
"Cocoa","882100","0.00901256693738497","18","Agriculture"
"Preparations of cereals, flour, starch or milk","16327474","0.16682060122821982","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","3727672","0.03808626393902698","20","Agriculture"
"Miscellaneous edible preparations","22254894","0.22738206763338298","21","Agriculture"
"Beverages","22557764","0.23047654235090453","22","Agriculture"
"Food residues and animal feed","152124","0.0015542769898908865","23","Agriculture"
"Tobacco","5547573","0.05668050448081798","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","19571035","0.19996062007868048","25","Minerals"
"Ores, slag and ash","5988","0.00006118042265169617","26","Minerals"
"Mineral fuels, oils and waxes","1054737533","10.77643421101325","27","Minerals"
"Inorganic chemicals","9879311","0.1009386143098783","28","Chemicals"
"Organic chemicals","3858875","0.03942678748498064","29","Chemicals"
"Pharmaceutical products","30478660","0.31140569483255615","30","Chemicals"
"Fertilisers","12971295","0.132529944963232","31","Chemicals"
"Dyes, paints, inks, etc.","22365745","0.22851465130595533","32","Chemicals"
"Essential oils","11325753","0.11571716021855642","33","Chemicals"
"Soaps, waxes, and paints","9152187","0.09350946373536394","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","942185","0.009626465684049493","35","Chemicals"
"Explosives","2163364","0.022103460900044093","36","Chemicals"
"Photographic or cinematographic goods","193671","0.001978769812187149","37","Chemicals"
"Miscellaneous chemical products","9392341","0.09596315832813204","38","Chemicals"
"Plastics","43360184","0.4430184340974138","39","Chemicals"
"Rubber","19394815","0.19816015012549376","40","Chemicals"
"Leather and skins","3666","0.0000374561505412689","41","Agriculture"
"Articles of leather","4048621","0.041365454899220576","42","Agriculture"
"Wood","6374211","0.0651264066551588","44","Agriculture"
"Manufactues of plaiting materials","1243","0.000012699944114238199","46","Agriculture"
"Paper and paperboard","25194732","0.2574188965190739","48","Agriculture"
"Products of the printing industry","1831530","0.018713056028600718","49","Agriculture"
"Silk","17471","0.00017850420242948963","50","Textiles"
"Cotton","2225363","0.022736915312866826","52","Textiles"
"Other vegetable textile fibres","74873","0.0007649902780895871","53","Textiles"
"Man-made filaments","1377539","0.014074552144154123","54","Textiles"
"Man-made staple fibres","2099417","0.021450103437233806","55","Textiles"
"Wadding, felt and nonwovens","2533435","0.02588453975627921","56","Textiles"
"Carpets","592406","0.006052713670908604","57","Textiles"
"Special woven fabrics","158483","0.0016192479831510964","58","Textiles"
"Impregnated, coated or laminated textile fabrics","255926","0.0026148398209014686","59","Textiles"
"Knitted fabrics","205602","0.0021006708847752234","60","Textiles"
"Apparel, knit","10366473","0.10591603198854321","61","Textiles"
"Apparel, not knit","10443919","0.10670731104877756","62","Textiles"
"Other made up textile articles","15013522","0.15339572836515344","63","Textiles"
"Footwear","17430701","0.17809246063716486","64","Textiles"
"Headgear","397443","0.004060743273206093","65","Textiles"
"Umbrellas and walking-sticks","590712","0.006035405782469731","66","Textiles"
"Feathers and down","138802","0.0014181638318137497","67","Textiles"
"Articles of stone, plaster, cement, etc.","2605049","0.026616232272608297","68","Stone"
"Ceramic products","13028371","0.13311310024099893","69","Stone"
"Glass and glassware","3760570","0.038422388445439055","70","Stone"
"Precious metals and stones","1698351","0.01735234335185886","71","Stone"
"Iron and steel","37213743","0.3802191925837675","72","Metals"
"Articles of iron or steel","146962449","1.5015405383681268","73","Metals"
"Copper","954911","0.009756489407941524","74","Metals"
"Nickel","9489","0.00009695073990346444","75","Metals"
"Aluminium","11298128","0.11543491085720821","76","Metals"
"Zinc","82263","0.000840495175116313","79","Metals"
"Tin","5360","0.00005476403898014219","80","Metals"
"Other base metals","2689","0.000027473974033134774","81","Metals"
"Metal tools and tableware","10006461","0.10223772765993894","82","Metals"
"Miscellaneous articles of base metal","8772833","0.08963353887654438","83","Metals"
"Industrial Machinery","346867938","3.544009193580886","84","Machinery"
"Electrical machinery and equipment","103695735","1.0594771032862864","85","Electronics"
"Trains","24447620","0.24978552512158655","86","Vehicles"
"Vehicles","77636400","0.7932244096787149","87","Vehicles"
"Aircraft","41688","0.00042593344347092684","88","Vehicles"
"Ships","3826018787","39.091089923512016","89","Vehicles"
"Apparatuses (optical, medical, etc.)","22312206","0.22796763416361243","90","Machinery"
"Clocks","10288889","0.10512334295864857","91","Machinery"
"Musical instruments","72573","0.0007414907837510932","92","Machinery"
"Furniture","19135674","0.1955124620983757","94","Textiles"
"Toys","2837841","0.02899470804915032","95","Machinery"
"Miscellaneous manufactured articles","3136171","0.032042796808282","96","Machinery"
"Art","74498","0.0007611588387952675","97","Textiles"
"Other","3426212608","35.00620164529229","99","Other"
