"Name","Gross Export","Share","Code","Sector"
"Live animals","18257","0.00006685431639050202","01","Agriculture"
"Fish","33299427","0.1219373625612327","03","Agriculture"
"Diary products","308478","0.001129598828477257","04","Agriculture"
"Animal products","24903","0.00009119094271088743","05","Agriculture"
"Vegetables","261761","0.0009585283843289807","07","Agriculture"
"Fruits and nuts","4928176","0.01804621994479261","08","Agriculture"
"Cereals","500289","0.0018319811082153621","10","Agriculture"
"Animal or vegetable fats, oils or waxes","79476","0.00029102884643980603","15","Agriculture"
"Sugar and candy","2307","0.00000844787795984489","17","Agriculture"
"Preparations of cereals, flour, starch or milk","121737","0.00044578210628419475","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","46235","0.000169305434535513","20","Agriculture"
"Miscellaneous edible preparations","12567","0.000046018414530286404","21","Agriculture"
"Beverages","40492","0.0001482754548548068","22","Agriculture"
"Tobacco","280217","0.0010261114080077397","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","17051981","0.06244172278352572","25","Minerals"
"Ores, slag and ash","184532","0.0006757277051088414","26","Minerals"
"Mineral fuels, oils and waxes","26107922688","95.6031836381836","27","Minerals"
"Inorganic chemicals","18240623","0.06679434634397043","28","Chemicals"
"Organic chemicals","5473143","0.020041804993835864","29","Chemicals"
"Pharmaceutical products","13537","0.00004957040482983106","30","Chemicals"
"Fertilisers","55201864","0.20214070664410713","31","Chemicals"
"Dyes, paints, inks, etc.","15958","0.0000584357331960142","32","Chemicals"
"Soaps, waxes, and paints","4242","0.000015533549330586053","34","Chemicals"
"Miscellaneous chemical products","8759282","0.032075138860800205","38","Chemicals"
"Plastics","207532","0.000759950155510416","39","Chemicals"
"Rubber","225819","0.0008269143272710069","40","Chemicals"
"Leather and skins","5168790","0.018927311278745848","41","Agriculture"
"Articles of leather","1018","0.000003727758891687082","42","Agriculture"
"Wood","206029","0.0007544464014689566","44","Agriculture"
"Pulp of wood","2455861","0.00899298396807223","47","Agriculture"
"Paper and paperboard","2914","0.000010670618281312532","48","Agriculture"
"Products of the printing industry","21579","0.00007901896770502509","49","Agriculture"
"Wool","3130442","0.011463195481739383","51","Textiles"
"Other vegetable textile fibres","1123","0.000004112252686998618","53","Textiles"
"Man-made staple fibres","92904","0.00034020011009164704","55","Textiles"
"Wadding, felt and nonwovens","16854","0.00006171674691600598","56","Textiles"
"Carpets","168507","0.0006170466282529618","57","Textiles"
"Special woven fabrics","1659","0.000006075001965922269","58","Textiles"
"Knitted fabrics","4806","0.000017598830288259448","60","Textiles"
"Apparel, not knit","10977","0.00004019607991556886","62","Textiles"
"Other made up textile articles","39078","0.0001430976050779448","63","Textiles"
"Articles of stone, plaster, cement, etc.","148250","0.0005428686205231925","68","Stone"
"Glass and glassware","11859","0.000043425827796185763","70","Stone"
"Precious metals and stones","697559634","2.554355725074152","71","Stone"
"Iron and steel","160646727","0.5882635216057733","72","Metals"
"Articles of iron or steel","4900003","0.01794305476674202","73","Metals"
"Copper","91251673","0.3341495436218782","74","Metals"
"Nickel","95676","0.00035035074628787154","75","Metals"
"Aluminium","39479676","0.14456848059914057","76","Metals"
"Lead","5198384","0.019035679939492987","78","Metals"
"Zinc","433271","0.0015865715351278523","79","Metals"
"Other base metals","413823","0.0015153559605448166","81","Metals"
"Metal tools and tableware","715127","0.002618684708188122","82","Metals"
"Industrial Machinery","8641919","0.03164537366747499","84","Machinery"
"Electrical machinery and equipment","5576245","0.020419348606066437","85","Electronics"
"Trains","111812","0.00040943828801308054","86","Vehicles"
"Vehicles","1303356","0.004772688524591069","87","Vehicles"
"Aircraft","218373","0.0007996482244149147","88","Vehicles"
"Apparatuses (optical, medical, etc.)","4226758","0.015477735478889497","90","Machinery"
"Clocks","2944","0.000010780473651401543","91","Machinery"
"Arms and ammunition","73630","0.0002696216966551275","93","Machinery"
"Furniture","15189","0.0000556197738760659","94","Textiles"
"Art","132695","0.0004859086111320406","97","Textiles"
"Other","22928050","0.0839589806056444","99","Other"
