"Name","Gross Import","Share","Code","Sector"
"Live animals","315864004","2.441196581586065","01","Agriculture"
"Meat","181128168","1.399872916670006","02","Agriculture"
"Fish","13675235","0.10569085591147671","03","Agriculture"
"Diary products","373711694","2.888280077306743","04","Agriculture"
"Animal products","159550","0.0012331032015666355","05","Agriculture"
"Plants","656463","0.0050735608085868905","06","Agriculture"
"Vegetables","77603153","0.5997661950232871","07","Agriculture"
"Fruits and nuts","52891512","0.40877902088937723","08","Agriculture"
"Coffee, tea and spices","66811923","0.5163647518277877","09","Agriculture"
"Cereals","620361963","4.794549186496163","10","Agriculture"
"Flours, starches and malts","40043925","0.30948475161889216","11","Agriculture"
"Oil seeds and oleaginous fruits","21836358","0.16876517054437618","12","Agriculture"
"Lac and other vegetable extracts","1048584","0.008104119633416165","13","Agriculture"
"Other vegetable materials","577099","0.004460185675467902","14","Agriculture"
"Animal or vegetable fats, oils or waxes","141697910","1.0951309713337574","15","Agriculture"
"Preparations of meat or fish","169340971","1.3087740112598107","16","Agriculture"
"Sugar and candy","126307075","0.9761808747290327","17","Agriculture"
"Cocoa","62608218","0.4838758637429136","18","Agriculture"
"Preparations of cereals, flour, starch or milk","207466819","1.603434652007181","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","178573156","1.3801261697114275","20","Agriculture"
"Miscellaneous edible preparations","80716725","0.62382984655264","21","Agriculture"
"Beverages","72880682","0.5632679555409582","22","Agriculture"
"Food residues and animal feed","135122228","1.044309946409382","23","Agriculture"
"Tobacco","352067949","2.721003541716697","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","40061969","0.3096242070508512","25","Minerals"
"Ores, slag and ash","126154954","0.9750051875330094","26","Minerals"
"Mineral fuels, oils and waxes","2216921785","17.133772176159955","27","Minerals"
"Inorganic chemicals","11836883","0.09148291020914875","28","Chemicals"
"Organic chemicals","68844976","0.5320774698676164","29","Chemicals"
"Pharmaceutical products","520197267","4.020413133086268","30","Chemicals"
"Fertilisers","12309072","0.09513228512387484","31","Chemicals"
"Dyes, paints, inks, etc.","37206704","0.2875569152124234","32","Chemicals"
"Essential oils","165326943","1.2777510668663408","33","Chemicals"
"Soaps, waxes, and paints","88379586","0.6830532776542388","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","6902555","0.053347305982386635","35","Chemicals"
"Explosives","2605284","0.02013528073575889","36","Chemicals"
"Photographic or cinematographic goods","9505511","0.0734645944633461","37","Chemicals"
"Miscellaneous chemical products","61750929","0.4772501927271326","38","Chemicals"
"Plastics","309871418","2.394882090941982","39","Chemicals"
"Rubber","152364263","1.17756728617763","40","Chemicals"
"Leather and skins","83392","0.0006445060619557811","41","Agriculture"
"Articles of leather","28021391","0.21656701318991234","42","Agriculture"
"Furskins","1220","0.000009428930779763682","43","Agriculture"
"Wood","56351449","0.4355195999675273","44","Agriculture"
"Cork","692927","0.00535537763805681","45","Agriculture"
"Manufactues of plaiting materials","296008","0.0022877368379149903","46","Agriculture"
"Pulp of wood","2678507","0.020701194341075806","47","Agriculture"
"Paper and paperboard","190768445","1.4743790679247173","48","Agriculture"
"Products of the printing industry","59345290","0.45865789468442775","49","Agriculture"
"Silk","318073","0.002458269098288339","50","Textiles"
"Wool","164731","0.0012731452428534846","51","Textiles"
"Cotton","2114129","0.016339324590566404","52","Textiles"
"Other vegetable textile fibres","433191","0.003347973732308696","53","Textiles"
"Man-made filaments","32778511","0.2533330420350184","54","Textiles"
"Man-made staple fibres","6583505","0.05088148601084271","55","Textiles"
"Wadding, felt and nonwovens","11317599","0.08746955538042842","56","Textiles"
"Carpets","64547954","0.4988673690503035","57","Textiles"
"Special woven fabrics","5311788","0.0410528535809667","58","Textiles"
"Impregnated, coated or laminated textile fabrics","3313916","0.02561203653602569","59","Textiles"
"Knitted fabrics","16864754","0.13034147383913336","60","Textiles"
"Apparel, knit","245323150","1.8960122951012972","61","Textiles"
"Apparel, not knit","221250004","1.7099598137200311","62","Textiles"
"Other made up textile articles","65529880","0.5064563135460824","63","Textiles"
"Footwear","101919324","0.7876969271445142","64","Textiles"
"Headgear","2038021","0.015751113882544885","65","Textiles"
"Umbrellas and walking-sticks","641752","0.004959864906372871","66","Textiles"
"Feathers and down","1256014","0.009707269724929591","67","Textiles"
"Articles of stone, plaster, cement, etc.","87793857","0.6785263938864518","68","Stone"
"Ceramic products","141728947","1.0953708448785209","69","Stone"
"Glass and glassware","44270567","0.3421509113310577","70","Stone"
"Precious metals and stones","173222168","1.3387703537644224","71","Stone"
"Iron and steel","227017991","1.7545384613934547","72","Metals"
"Articles of iron or steel","203850705","1.5754870384024806","73","Metals"
"Copper","4105254","0.0317279965568426","74","Metals"
"Nickel","2253271","0.01741470187463024","75","Metals"
"Aluminium","85396239","0.659996087199308","76","Metals"
"Lead","74585","0.0005764400018103886","78","Metals"
"Zinc","9280862","0.07172836506109764","79","Metals"
"Tin","416211","0.0032167415645706736","80","Metals"
"Other base metals","71921","0.0005558509267306424","81","Metals"
"Metal tools and tableware","27822597","0.21503060756250877","82","Metals"
"Miscellaneous articles of base metal","35660190","0.2756044779534599","83","Metals"
"Industrial Machinery","746439676","5.768957406781336","84","Machinery"
"Electrical machinery and equipment","1549807924","11.97789478469283","85","Electronics"
"Trains","807769","0.00624294916970404","86","Vehicles"
"Vehicles","777130939","6.006158877576846","87","Vehicles"
"Aircraft","8525385","0.06588956150478328","88","Vehicles"
"Ships","3140995","0.0242755937988392","89","Vehicles"
"Apparatuses (optical, medical, etc.)","246953935","1.908616031889557","90","Machinery"
"Clocks","5360933","0.041432677190123654","91","Machinery"
"Musical instruments","174518","0.0013487853621498346","92","Machinery"
"Arms and ammunition","580871","0.0044893380745673036","93","Machinery"
"Furniture","219637657","1.6974985774446543","94","Textiles"
"Toys","27788311","0.21476562369307026","95","Machinery"
"Miscellaneous manufactured articles","28103502","0.21720161887454933","96","Machinery"
"Art","10087","0.00007795870883235758","97","Textiles"
"Other","38136544","0.29474330619296063","99","Other"
