"Name","Gross Export","Share","Code","Sector"
"Live animals","95229960","0.22225216727515895","01","Agriculture"
"Meat","243910246","0.5692492236069108","02","Agriculture"
"Fish","529955875","1.2368359892092071","03","Agriculture"
"Diary products","594794718","1.388159935794544","04","Agriculture"
"Animal products","22458654","0.052415064813457","05","Agriculture"
"Plants","121488877","0.28353646492212337","06","Agriculture"
"Vegetables","255198876","0.5955951601490176","07","Agriculture"
"Fruits and nuts","208851467","0.48742739343108343","08","Agriculture"
"Coffee, tea and spices","57263743","0.13364482131503272","09","Agriculture"
"Cereals","533813745","1.2458396679733883","10","Agriculture"
"Flours, starches and malts","152960111","0.3569855135547561","11","Agriculture"
"Oil seeds and oleaginous fruits","160534088","0.3746620179147517","12","Agriculture"
"Lac and other vegetable extracts","6125265","0.01429543204034399","13","Agriculture"
"Other vegetable materials","1158754","0.0027043546782835937","14","Agriculture"
"Animal or vegetable fats, oils or waxes","108918368","0.2541988187758697","15","Agriculture"
"Preparations of meat or fish","198744882","0.46384016920038323","16","Agriculture"
"Sugar and candy","105383252","0.24594839850299455","17","Agriculture"
"Cocoa","134220578","0.313250308552314","18","Agriculture"
"Preparations of cereals, flour, starch or milk","203770736","0.47556974405170654","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","87390589","0.20395627389429402","20","Agriculture"
"Miscellaneous edible preparations","173758831","0.4055265461935307","21","Agriculture"
"Beverages","376774467","0.8793340022897506","22","Agriculture"
"Food residues and animal feed","294163770","0.6865332655430222","23","Agriculture"
"Tobacco","886576994","2.0691351584395874","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","52457931","0.12242879085028226","25","Minerals"
"Ores, slag and ash","30213987","0.07051482635058838","26","Minerals"
"Mineral fuels, oils and waxes","4432344196","10.344413708358923","27","Minerals"
"Inorganic chemicals","142669555","0.332968929136718","28","Chemicals"
"Organic chemicals","159631485","0.3725554805084663","29","Chemicals"
"Pharmaceutical products","744059800","1.7365218165829464","30","Chemicals"
"Fertilisers","941973008","2.198420985818965","31","Chemicals"
"Dyes, paints, inks, etc.","131613237","0.307165173285268","32","Chemicals"
"Essential oils","272482548","0.6359326081587929","33","Chemicals"
"Soaps, waxes, and paints","119961812","0.2799725286795791","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","112777523","0.2632054965335918","35","Chemicals"
"Explosives","981372","0.0022903722095772936","36","Chemicals"
"Photographic or cinematographic goods","21026628","0.04907293506674308","37","Chemicals"
"Miscellaneous chemical products","704221899","1.6435462463218309","38","Chemicals"
"Plastics","1845187925","4.306386512828562","39","Chemicals"
"Rubber","133197431","0.31086243987956563","40","Chemicals"
"Leather and skins","21278301","0.049660301371366546","41","Agriculture"
"Articles of leather","41689982","0.09729804415713673","42","Agriculture"
"Furskins","55000856","0.12836358902165798","43","Agriculture"
"Wood","1087880251","2.538946183749252","44","Agriculture"
"Cork","690266","0.0016109753117228534","45","Agriculture"
"Manufactues of plaiting materials","4284794","0.01000005410931179","46","Agriculture"
"Pulp of wood","20863473","0.0486921562409221","47","Agriculture"
"Paper and paperboard","338052360","0.788962524634918","48","Agriculture"
