"Name","Gross Import","Share","Code","Sector"
"Live animals","36920286","0.09126115498329068","01","Agriculture"
"Meat","269264322","0.6655791621308862","02","Agriculture"
"Fish","834733040","2.0633291229952384","03","Agriculture"
"Diary products","337327308","0.8338201858859985","04","Agriculture"
"Animal products","28485197","0.0704109382615987","05","Agriculture"
"Plants","84133154","0.20796395798307363","06","Agriculture"
"Vegetables","159995515","0.3954838131819025","07","Agriculture"
"Fruits and nuts","353220964","0.8731068101409436","08","Agriculture"
"Coffee, tea and spices","136105217","0.3364307444062435","09","Agriculture"
"Cereals","118036054","0.2917666081381403","10","Agriculture"
"Flours, starches and malts","34422842","0.0850878652112101","11","Agriculture"
"Oil seeds and oleaginous fruits","70639585","0.17460997226945466","12","Agriculture"
"Lac and other vegetable extracts","10206968","0.0252300236395105","13","Agriculture"
"Other vegetable materials","1425630","0.003523933708932501","14","Agriculture"
"Animal or vegetable fats, oils or waxes","198872947","0.4915827260425543","15","Agriculture"
"Preparations of meat or fish","114805376","0.2837808789469009","16","Agriculture"
"Sugar and candy","73958621","0.18281410857520056","17","Agriculture"
"Cocoa","117393441","0.2901781696144713","18","Agriculture"
"Preparations of cereals, flour, starch or milk","163346698","0.4037674118284668","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","138901306","0.3433422377672666","20","Agriculture"
"Miscellaneous edible preparations","209660327","0.5182474370917496","21","Agriculture"
"Beverages","358673531","0.8865847003729905","22","Agriculture"
"Food residues and animal feed","242750553","0.6000412846101062","23","Agriculture"
"Tobacco","167450316","0.41391091175396094","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","247639984","0.6121271909942307","25","Minerals"
"Ores, slag and ash","12554747","0.031033365010850775","26","Minerals"
"Mineral fuels, oils and waxes","5405089648","13.360533666090996","27","Minerals"
"Inorganic chemicals","131225701","0.324369346346666","28","Chemicals"
"Organic chemicals","1032160211","2.5513381175773397","29","Chemicals"
"Pharmaceutical products","1107393828","2.7373038162447476","30","Chemicals"
"Fertilisers","323973475","0.8008116056427692","31","Chemicals"
"Dyes, paints, inks, etc.","269706701","0.666672653619017","32","Chemicals"
"Essential oils","293834390","0.72631251570507","33","Chemicals"
"Soaps, waxes, and paints","158828592","0.39259936259133643","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","71058840","0.17564630485724989","35","Chemicals"
"Explosives","5235428","0.012941156688544059","36","Chemicals"
"Photographic or cinematographic goods","26576991","0.06569415238659099","37","Chemicals"
"Miscellaneous chemical products","445999250","1.1024401781904236","38","Chemicals"
"Plastics","1614824804","3.9915935837741343","39","Chemicals"
"Rubber","342036027","0.8454594005559977","40","Chemicals"
"Leather and skins","32432374","0.08016774057736299","41","Agriculture"
"Articles of leather","66089505","0.16336288832036577","42","Agriculture"
"Furskins","14730620","0.036411781718591274","43","Agriculture"
"Wood","747292713","1.847190352181366","44","Agriculture"
"Cork","1624827","0.004016317443154022","45","Agriculture"
"Manufactues of plaiting materials","3962327","0.009794250739051078","46","Agriculture"
"Pulp of wood","34987126","0.08648268673503556","47","Agriculture"
"Paper and paperboard","531370535","1.3134646017690406","48","Agriculture"
"Products of the printing industry","36680145","0.09066756410431313","49","Agriculture"
"Silk","6253813","0.015458444645567428","50","Textiles"
"Wool","109770724","0.2713360090328668","51","Textiles"
