"Name","Gross Export","Share","Code","Sector"
"Live animals","732952","0.015790185552209998","01","Agriculture"
"Meat","158085","0.003405668424427681","02","Agriculture"
"Fish","111418689","2.4003233135239133","03","Agriculture"
"Diary products","358032","0.0077131813728987045","04","Agriculture"
"Animal products","325563","0.007013692818812343","05","Agriculture"
"Plants","1140413","0.02456822940131477","06","Agriculture"
"Vegetables","28444220","0.6127816169242771","07","Agriculture"
"Fruits and nuts","70520800","1.5192488966402862","08","Agriculture"
"Coffee, tea and spices","1127814777","24.29682243496756","09","Agriculture"
"Cereals","54893","0.0011825749237568948","10","Agriculture"
"Flours, starches and malts","149137","0.0032128992112716017","11","Agriculture"
"Oil seeds and oleaginous fruits","12751381","0.27470649106206835","12","Agriculture"
"Lac and other vegetable extracts","54215564","1.167980734587963","13","Agriculture"
"Other vegetable materials","3173862","0.0683753777834133","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1331838","0.028692150571230122","15","Agriculture"
"Preparations of meat or fish","51027564","1.0993007780008393","16","Agriculture"
"Sugar and candy","2563936","0.055235575022636","17","Agriculture"
"Cocoa","24055500","0.5182342207282165","18","Agriculture"
"Preparations of cereals, flour, starch or milk","235180","0.005066547111091515","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","27176855","0.5854784258389446","20","Agriculture"
"Miscellaneous edible preparations","5879091","0.12665486657834052","21","Agriculture"
"Beverages","1569740","0.03381733847335996","22","Agriculture"
"Food residues and animal feed","509908","0.010985087610861689","23","Agriculture"
"Tobacco","798841","0.017209650313680824","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","45589416","0.9821452671619579","25","Minerals"
"Ores, slag and ash","98922243","2.1311089569450754","26","Minerals"
"Mineral fuels, oils and waxes","66260835","1.427475304650742","27","Minerals"
"Inorganic chemicals","266768","0.005747056041039464","28","Chemicals"
"Organic chemicals","12342892","0.2659063007275898","29","Chemicals"
"Pharmaceutical products","274528","0.005914231845028197","30","Chemicals"
"Fertilisers","15354172","0.33077912998470205","31","Chemicals"
"Dyes, paints, inks, etc.","348106","0.0074993428380543525","32","Chemicals"
"Essential oils","60046600","1.2936003391481747","33","Chemicals"
"Soaps, waxes, and paints","94943","0.0020453830358379186","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","49980","0.0010767328200202138","35","Chemicals"
"Explosives","29451","0.0006344709540299184","36","Chemicals"
"Photographic or cinematographic goods","11377","0.0002450978249973984","37","Chemicals"
"Miscellaneous chemical products","3563592","0.07677143784636803","38","Chemicals"
"Plastics","17803596","0.3835477416482713","39","Chemicals"
"Rubber","193452","0.004167589385725298","40","Chemicals"
"Leather and skins","787776","0.016971273990080915","41","Agriculture"
"Articles of leather","5916699","0.12746506601602198","42","Agriculture"
"Furskins","5258","0.00011327453316659232","43","Agriculture"
"Wood","6829685","0.14713377330731803","44","Agriculture"
"Manufactues of plaiting materials","9183037","0.1978326795790309","46","Agriculture"
"Pulp of wood","461381","0.009939657167541943","47","Agriculture"
"Paper and paperboard","11032462","0.23767534855994096","48","Agriculture"
"Products of the printing industry","5879562","0.12666501346025788","49","Agriculture"
"Silk","35648","0.0007679746212100958","50","Textiles"
"Wool","332251","0.0071577742333840755","51","Textiles"
"Cotton","25847166","0.556832571762917","52","Textiles"
"Other vegetable textile fibres","8206874","0.17680293288456528","53","Textiles"
"Man-made filaments","1120335","0.024135683551767633","54","Textiles"
"Man-made staple fibres","780166","0.016807329677148666","55","Textiles"
"Wadding, felt and nonwovens","8547286","0.18413652177469575","56","Textiles"
"Carpets","12703","0.00027366420593671024","57","Textiles"
"Special woven fabrics","3039794","0.06548711416367599","58","Textiles"
"Impregnated, coated or laminated textile fabrics","10419","0.00022445936878332548","59","Textiles"
"Knitted fabrics","609070","0.013121361718481625","60","Textiles"
"Apparel, knit","287496449","6.193614691427923","61","Textiles"
"Apparel, not knit","335067244","7.218445348709906","62","Textiles"
"Other made up textile articles","4920568","0.10600514323211732","63","Textiles"
"Footwear","362265","0.00780437405051266","64","Textiles"
"Headgear","3100992","0.06680551942817374","65","Textiles"
"Umbrellas and walking-sticks","10940","0.0002356834143861773","66","Textiles"
"Feathers and down","4611","0.00009933603507629464","67","Textiles"
"Articles of stone, plaster, cement, etc.","747317","0.016099654679052545","68","Stone"
"Ceramic products","21264","0.00045809617216706344","69","Stone"
"Glass and glassware","91881","0.001979417531738241","70","Stone"
"Precious metals and stones","174974082","3.769514540662428","71","Stone"
"Iron and steel","249259","0.005369854861653031","72","Metals"
"Articles of iron or steel","2955173","0.06366410079907153","73","Metals"
"Copper","1411649","0.030411540789290016","74","Metals"
"Nickel","370241966","7.976224012425133","75","Metals"
"Aluminium","452918","0.009757336442135158","76","Metals"
"Lead","16638","0.00035843698798512043","78","Metals"
"Zinc","7483","0.00016120831717109365","79","Metals"
"Other base metals","145860273","3.14230778463802","81","Metals"
"Metal tools and tableware","214304","0.0046168097291238875","82","Metals"
"Miscellaneous articles of base metal","688520","0.014832974814732246","83","Metals"
"Industrial Machinery","16049166","0.3457515759534321","84","Machinery"
"Electrical machinery and equipment","9194534","0.1980803625968735","85","Electronics"
"Trains","1261716","0.027181493132145344","86","Vehicles"
"Vehicles","2338098","0.050370285174542256","87","Vehicles"
"Aircraft","2187269","0.04712093474415353","88","Vehicles"
"Ships","108066","0.002328095416732782","89","Vehicles"
"Apparatuses (optical, medical, etc.)","6853136","0.14763898461908861","90","Machinery"
"Clocks","9335226","0.2011113288616651","91","Machinery"
"Musical instruments","46253","0.0009964410389034604","92","Machinery"
"Furniture","308730","0.006651054892453794","94","Textiles"
"Toys","7088270","0.15270454073958947","95","Machinery"
"Miscellaneous manufactured articles","1679213","0.03617574527620255","96","Machinery"
"Art","1474775","0.03177148148550042","97","Textiles"
"Other","8180529","0.17623537533867828","99","Other"
"Travel and tourism","814604928","17.549256929327797","travel","Services"
"Transport","425885664","9.174971428669494","transport","Services"
"ICT","62172708","1.3394036657289579","ict","Services"
"Insurance and finance","7959636","0.17147661697907995","financial","Services"
