"Name","Gross Import","Share","Code","Sector"
"Live animals","959899","0.01902873984918854","01","Agriculture"
"Meat","247440","0.00490517376128448","02","Agriculture"
"Fish","8829549","0.17503423892166028","03","Agriculture"
"Diary products","17212274","0.3412107775494628","04","Agriculture"
"Animal products","1210073","0.02398811157791301","05","Agriculture"
"Plants","169810","0.00336626073554687","06","Agriculture"
"Vegetables","2857529","0.0566467679959161","07","Agriculture"
"Fruits and nuts","1801211","0.035706647816589804","08","Agriculture"
"Coffee, tea and spices","8865697","0.17575082565429412","09","Agriculture"
"Cereals","136941394","2.7146836917334305","10","Agriculture"
"Flours, starches and malts","72012427","1.4275520021290578","11","Agriculture"
"Oil seeds and oleaginous fruits","869614","0.017238958031222287","12","Agriculture"
"Lac and other vegetable extracts","3177782","0.06299536407000533","13","Agriculture"
"Other vegetable materials","20997","0.00041623801109638795","14","Agriculture"
"Animal or vegetable fats, oils or waxes","126980536","2.5172227343236315","15","Agriculture"
"Preparations of meat or fish","6166522","0.12224321820555892","16","Agriculture"
"Sugar and candy","38462286","0.7624644200057364","17","Agriculture"
"Cocoa","3237485","0.0641788978118012","18","Agriculture"
"Preparations of cereals, flour, starch or milk","46028434","0.9124533896290594","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","6632422","0.13147907520273983","20","Agriculture"
"Miscellaneous edible preparations","20390939","0.40422364593740867","21","Agriculture"
"Beverages","28396173","0.5629169201442564","22","Agriculture"
"Food residues and animal feed","35013934","0.694105360233376","23","Agriculture"
"Tobacco","4210981","0.08347718036884692","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","88862750","1.7615875753943682","25","Minerals"
"Ores, slag and ash","889388","0.017630951669904953","26","Minerals"
"Mineral fuels, oils and waxes","430671429","8.537496739677062","27","Minerals"
"Inorganic chemicals","17718438","0.3512448155857819","28","Chemicals"
"Organic chemicals","23706896","0.4699581483216133","29","Chemicals"
"Pharmaceutical products","100238632","1.9870995293948066","30","Chemicals"
"Fertilisers","25889452","0.51322446105898","31","Chemicals"
"Dyes, paints, inks, etc.","18342510","0.3636162252186316","32","Chemicals"
"Essential oils","25105820","0.4976899835092594","33","Chemicals"
"Soaps, waxes, and paints","41946923","0.8315427823562096","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","5192803","0.10294051496572637","35","Chemicals"
"Explosives","1984197","0.039334105486660935","36","Chemicals"
"Photographic or cinematographic goods","1752824","0.03474743894661214","37","Chemicals"
"Miscellaneous chemical products","30011103","0.5949307912334544","38","Chemicals"
"Plastics","123503440","2.448293862416635","39","Chemicals"
"Rubber","35404132","0.70184052427842","40","Chemicals"
"Leather and skins","10142451","0.20106080068021961","41","Agriculture"
"Articles of leather","15042793","0.29820365955396805","42","Agriculture"
"Furskins","140853","0.002792226155020219","43","Agriculture"
"Wood","5617676","0.11136306544858372","44","Agriculture"
"Cork","37758","0.0007485028729331532","45","Agriculture"
"Manufactues of plaiting materials","5620783","0.11142465765225455","46","Agriculture"
"Pulp of wood","442526","0.00877249807584132","47","Agriculture"
"Paper and paperboard","61359022","1.2163622079392062","48","Agriculture"
"Products of the printing industry","62060447","1.2302670394357669","49","Agriculture"
"Silk","43595716","0.8642279430472438","50","Textiles"
"Wool","156216652","3.09679042380419","51","Textiles"
"Cotton","152231501","3.01779002726379","52","Textiles"
"Other vegetable textile fibres","2580695","0.05115889670173801","53","Textiles"
"Man-made filaments","46788920","0.9275290280586755","54","Textiles"
"Man-made staple fibres","48197426","0.9554508138403266","55","Textiles"
"Wadding, felt and nonwovens","20391221","0.4042292362178835","56","Textiles"
"Carpets","1900693","0.03767874810805481","57","Textiles"
"Special woven fabrics","19638529","0.38930810362521967","58","Textiles"
"Impregnated, coated or laminated textile fabrics","10132112","0.2008558435531669","59","Textiles"
"Knitted fabrics","67443004","1.3369691788029594","60","Textiles"
"Apparel, knit","54716050","1.0846739928109024","61","Textiles"
"Apparel, not knit","61188750","1.2129867886590517","62","Textiles"
"Other made up textile articles","58435063","1.158398552241374","63","Textiles"
"Footwear","29539007","0.5855721066553452","64","Textiles"
"Headgear","2463027","0.04882628279071787","65","Textiles"
"Umbrellas and walking-sticks","3292473","0.06526896285700613","66","Textiles"
"Feathers and down","561522","0.011131437846686","67","Textiles"
"Articles of stone, plaster, cement, etc.","7091500","0.14057969498928588","68","Stone"
"Ceramic products","33427859","0.6626635017083627","69","Stone"
"Glass and glassware","36039770","0.7144412147054946","70","Stone"
"Precious metals and stones","4164180","0.08254941187061757","71","Stone"
"Iron and steel","97888850","1.9405181803358886","72","Metals"
"Articles of iron or steel","78395995","1.5540978728733807","73","Metals"
"Copper","1410492","0.027961155629250202","74","Metals"
"Nickel","691334","0.013704790644535425","75","Metals"
"Aluminium","21700043","0.43017491732276497","76","Metals"
"Lead","94064","0.0018646955410663731","78","Metals"
"Zinc","130302","0.0025830664057666115","79","Metals"
"Tin","113634","0.00225264514706515","80","Metals"
"Other base metals","713320","0.014140634284672833","81","Metals"
"Metal tools and tableware","14056943","0.27866047513527137","82","Metals"
"Miscellaneous articles of base metal","22452600","0.44509337371732915","83","Metals"
"Industrial Machinery","331823388","6.57796385466424","84","Machinery"
"Electrical machinery and equipment","226298820","4.486077570617684","85","Electronics"
"Trains","2701802","0.05355968428138511","86","Vehicles"
"Vehicles","178032570","3.529262411162474","87","Vehicles"
"Aircraft","7989057","0.1583725863797531","88","Vehicles"
"Ships","4500081","0.0892082090399888","89","Vehicles"
"Apparatuses (optical, medical, etc.)","31407487","0.6226122742494481","90","Machinery"
"Clocks","7718868","0.1530164435031459","91","Machinery"
"Musical instruments","936656","0.018567977831190095","92","Machinery"
"Arms and ammunition","237667","0.004711436842560615","93","Machinery"
"Furniture","38715235","0.7674788024731756","94","Textiles"
"Toys","11679538","0.23153153629778944","95","Machinery"
"Miscellaneous manufactured articles","24539442","0.486462281825745","96","Machinery"
"Art","1026820","0.020355360982711488","97","Textiles"
"Other","30107056","0.5968329337242261","99","Other"
"Unspecified","80","0.0000015858951701534046","unspecified","Services"
"Travel and tourism","243053200","4.818211199629118","travel","Services"
"Transport","743048128","14.729955467334111","transport","Services"
"ICT","331537600","6.572298482053143","ict","Services"
"Insurance and finance","29052420","0.5759261569908523","financial","Services"
