"Name","Gross Export","Share","Code","Sector"
"Live animals","47113","0.0057678177989438735","01","Agriculture"
"Meat","236435","0.02894559890674113","02","Agriculture"
"Fish","160376","0.01963406166712845","03","Agriculture"
"Diary products","210797","0.025806861982127473","04","Agriculture"
"Animal products","2352","0.0002879440380174472","05","Agriculture"
"Plants","206490","0.02527957670502665","06","Agriculture"
"Vegetables","13258332","1.623153764224463","07","Agriculture"
"Fruits and nuts","27924591","3.418673253624857","08","Agriculture"
"Coffee, tea and spices","80231771","9.822389506390781","09","Agriculture"
"Cereals","5905055","0.7229274580846585","10","Agriculture"
"Oil seeds and oleaginous fruits","19161011","2.3457903400666344","12","Agriculture"
"Other vegetable materials","7159","0.0008764419082342282","14","Agriculture"
"Animal or vegetable fats, oils or waxes","831223","0.10176263057524514","15","Agriculture"
"Sugar and candy","29017239","3.5524408885107794","17","Agriculture"
"Cocoa","23750","0.002907598173007811","18","Agriculture"
"Preparations of cereals, flour, starch or milk","6353","0.0007777672081313105","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","216990","0.02656504116046168","20","Agriculture"
"Miscellaneous edible preparations","125796","0.015400598727229077","21","Agriculture"
"Beverages","92167","0.01128356213943625","22","Agriculture"
"Food residues and animal feed","19539029","2.392069264115648","23","Agriculture"
"Tobacco","564913302","69.15961620223199","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","65523","0.008021665477473298","25","Minerals"
"Ores, slag and ash","82466","0.01009591540780051","26","Minerals"
"Mineral fuels, oils and waxes","27672","0.0033877497534093534","27","Minerals"
"Inorganic chemicals","506818","0.06204728803568307","28","Chemicals"
"Organic chemicals","52796","0.006463560132299806","29","Chemicals"
"Pharmaceutical products","109051","0.01335058898377578","30","Chemicals"
"Fertilisers","36975","0.004526671260924792","31","Chemicals"
"Dyes, paints, inks, etc.","7182","0.0008792576875175621","32","Chemicals"
"Essential oils","535098","0.06550947230232142","33","Chemicals"
"Soaps, waxes, and paints","614721","0.07525733290566462","34","Chemicals"
"Miscellaneous chemical products","242206","0.029652114656485467","38","Chemicals"
"Plastics","4820105","0.5901022522823501","39","Chemicals"
"Rubber","3336055","0.4084171546548873","40","Chemicals"
"Leather and skins","1252026","0.15327951621719063","41","Agriculture"
"Articles of leather","15138","0.0018532724691786206","42","Agriculture"
"Wood","7109688","0.8704048774507602","44","Agriculture"
"Manufactues of plaiting materials","44226","0.005414376286292356","46","Agriculture"
"Pulp of wood","9201","0.0011264341385197841","47","Agriculture"
"Paper and paperboard","178634","0.021869300717350625","48","Agriculture"
"Products of the printing industry","387573","0.04744869670345921","49","Agriculture"
"Wool","4387","0.0005370792919993796","51","Textiles"
"Cotton","2123456","0.2599644962552621","52","Textiles"
"Other vegetable textile fibres","14555","0.0017818985856054186","53","Textiles"
"Man-made filaments","5048","0.0006180023400986708","54","Textiles"
"Man-made staple fibres","1096","0.00013417800411017099","55","Textiles"
"Impregnated, coated or laminated textile fabrics","78981","0.009669263633782312","59","Textiles"
"Apparel, knit","734911","0.08997161603887763","61","Textiles"
"Apparel, not knit","434272","0.05316583047530308","62","Textiles"
"Other made up textile articles","2896305","0.3545806790094058","63","Textiles"
"Footwear","244839","0.02997446017183408","64","Textiles"
"Articles of stone, plaster, cement, etc.","1235","0.00015119510499640617","68","Stone"
"Ceramic products","10443","0.0012784862198198135","69","Stone"
"Glass and glassware","48553","0.005944110067117821","70","Stone"
"Precious metals and stones","10986209","1.3449886828076618","71","Stone"
"Iron and steel","1223193","0.14974963082256604","72","Metals"
"Articles of iron or steel","213161","0.026096275122379702","73","Metals"
"Copper","2730930","0.3343346138363041","74","Metals"
"Aluminium","471361","0.0577064582074583","76","Metals"
"Lead","1207795","0.14786452780496712","78","Metals"
"Tin","46679","0.005714685268119225","80","Metals"
"Metal tools and tableware","46539","0.005697545742046759","82","Metals"
"Miscellaneous articles of base metal","5144","0.0006297551579769339","83","Metals"
"Industrial Machinery","2896330","0.3545837396390616","84","Machinery"
"Electrical machinery and equipment","1004752","0.12300695071688185","85","Electronics"
"Trains","2741613","0.33564248210081954","86","Vehicles"
"Vehicles","942151","0.1153430116335782","87","Vehicles"
"Aircraft","4192","0.0005132063806841576","88","Vehicles"
"Apparatuses (optical, medical, etc.)","538885","0.06597309648258165","90","Machinery"
"Furniture","353354","0.043259429255789565","94","Textiles"
"Toys","38872","0.004758911839206722","95","Machinery"
"Miscellaneous manufactured articles","21564","0.00263997671590486","96","Machinery"
"Art","1294","0.00015841819098408875","97","Textiles"
"Other","3202802","0.3921036313139269","99","Other"
