"Name","Gross Import","Share","Code","Sector"
"Live animals","1731818","0.11211054673285395","01","Agriculture"
"Meat","1124324","0.07278396364102306","02","Agriculture"
"Fish","1349425","0.08735604695469237","03","Agriculture"
"Diary products","11179149","0.723690657100248","04","Agriculture"
"Animal products","171510","0.011102829437130101","05","Agriculture"
"Plants","777645","0.05034143663714674","06","Agriculture"
"Vegetables","1986211","0.12857886979856345","07","Agriculture"
"Fruits and nuts","3229442","0.20906036792667665","08","Agriculture"
"Coffee, tea and spices","1528528","0.09895041498383535","09","Agriculture"
"Cereals","19909635","1.28886526476891","10","Agriculture"
"Flours, starches and malts","2355658","0.15249530048516716","11","Agriculture"
"Oil seeds and oleaginous fruits","3364906","0.21782973231867356","12","Agriculture"
"Lac and other vegetable extracts","83462","0.00540297563105214","13","Agriculture"
"Other vegetable materials","7783","0.0005038383855704249","14","Agriculture"
"Animal or vegetable fats, oils or waxes","15216006","0.9850196451072721","15","Agriculture"
"Preparations of meat or fish","1205172","0.07801772000702559","16","Agriculture"
"Sugar and candy","14070683","0.910876295335118","17","Agriculture"
"Cocoa","2040625","0.13210140120193348","18","Agriculture"
"Preparations of cereals, flour, starch or milk","14744513","0.9544971895081772","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","6103728","0.39512944384954374","20","Agriculture"
"Miscellaneous edible preparations","19276922","1.2479061106574594","21","Agriculture"
"Beverages","20705930","1.3404140232473634","22","Agriculture"
"Food residues and animal feed","5113644","0.33103560803570475","23","Agriculture"
"Tobacco","47557114","3.0786457073299056","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","24041703","1.5563578087991317","25","Minerals"
"Ores, slag and ash","103524","0.006701704359217868","26","Minerals"
"Mineral fuels, oils and waxes","21490334","1.3911930088563809","27","Minerals"
"Inorganic chemicals","5366426","0.3473996417991974","28","Chemicals"
"Organic chemicals","10269112","0.6647787243122033","29","Chemicals"
"Pharmaceutical products","128093979","8.2922605140244","30","Chemicals"
"Fertilisers","8628382","0.558564828082348","31","Chemicals"
"Dyes, paints, inks, etc.","9765120","0.6321524213929677","32","Chemicals"
"Essential oils","17314128","1.1208431580469858","33","Chemicals"
"Soaps, waxes, and paints","42490754","2.750671064760385","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","2238969","0.1449413499039225","35","Chemicals"
"Explosives","1172082","0.0758756138553456","36","Chemicals"
"Photographic or cinematographic goods","851230","0.055105017210473194","37","Chemicals"
"Miscellaneous chemical products","42035219","2.721181662348613","38","Chemicals"
"Plastics","75290791","4.874006242549181","39","Chemicals"
"Rubber","27612868","1.7875398733250996","40","Chemicals"
"Leather and skins","1781","0.0001152943806631025","41","Agriculture"
"Articles of leather","3224495","0.20874012014389146","42","Agriculture"
"Furskins","7182","0.0004649321964752398","43","Agriculture"
"Wood","7858705","0.5087392059455514","44","Agriculture"
"Cork","1241","0.00008033707265744537","45","Agriculture"
"Manufactues of plaiting materials","20731","0.0013420369486394038","46","Agriculture"
"Pulp of wood","127199","0.00823432337224367","47","Agriculture"
"Paper and paperboard","50901169","3.295125634409272","48","Agriculture"
"Products of the printing industry","15529972","1.005344471339317","49","Agriculture"
"Silk","10915","0.0007065907720032363","50","Textiles"
"Wool","2446","0.00015834365811451362","51","Textiles"
"Cotton","3041752","0.19691011396448815","52","Textiles"
"Other vegetable textile fibres","1165657","0.07545968662583384","53","Textiles"
"Man-made filaments","9174701","0.5939312013274268","54","Textiles"
"Man-made staple fibres","2420008","0.15666104635584133","55","Textiles"
"Wadding, felt and nonwovens","1279107","0.08280395809480014","56","Textiles"
"Carpets","625893","0.0405176562584903","57","Textiles"
"Special woven fabrics","429999","0.02783631015763808","58","Textiles"
"Impregnated, coated or laminated textile fabrics","1305389","0.08450534322258658","59","Textiles"
"Knitted fabrics","602526","0.03900497585817883","60","Textiles"
"Apparel, knit","16711276","1.0818170783324925","61","Textiles"
"Apparel, not knit","13197979","0.8543811425096198","62","Textiles"
"Other made up textile articles","26482680","1.714376299213437","63","Textiles"
"Footwear","6256351","0.4050096090712982","64","Textiles"
"Headgear","457882","0.02964133723008574","65","Textiles"
"Umbrellas and walking-sticks","1083567","0.0701455284514183","66","Textiles"
"Feathers and down","1690193","0.10941592090741786","67","Textiles"
"Articles of stone, plaster, cement, etc.","4572885","0.296029165591573","68","Stone"
"Ceramic products","7937740","0.5138555963867127","69","Stone"
"Glass and glassware","7763873","0.5026001847737135","70","Stone"
"Precious metals and stones","10970211","0.7101648978037925","71","Stone"
"Iron and steel","61247217","3.964884868811703","72","Metals"
"Articles of iron or steel","49450536","3.2012178111052525","73","Metals"
"Copper","3029202","0.19609768023213445","74","Metals"
"Nickel","1195","0.00007735922790140791","75","Metals"
"Aluminium","12951390","0.8384180172803476","76","Metals"
"Zinc","27648","0.0017898141698896451","79","Metals"
"Tin","111627","0.007226258186569424","80","Metals"
"Metal tools and tableware","7101167","0.45969941114557084","82","Metals"
"Miscellaneous articles of base metal","61427088","3.976528953901121","83","Metals"
"Industrial Machinery","167187094","10.82298285097917","84","Machinery"
"Electrical machinery and equipment","183122102","11.85454763380993","85","Electronics"
"Trains","1642114","0.10630349051555864","86","Vehicles"
"Vehicles","108276070","7.0093332011705405","87","Vehicles"
"Aircraft","3422563","0.22156220177734423","88","Vehicles"
"Ships","3368598","0.21806873672822336","89","Vehicles"
"Apparatuses (optical, medical, etc.)","29985085","1.9411071331866845","90","Machinery"
"Clocks","450653","0.029173362453098897","91","Machinery"
"Musical instruments","100228","0.006488335308872228","92","Machinery"
"Arms and ammunition","2050915","0.13276753212670797","93","Machinery"
"Furniture","26903072","1.7415906929673524","94","Textiles"
"Toys","2548484","0.1649780372879428","95","Machinery"
"Miscellaneous manufactured articles","3891016","0.2518878606795185","96","Machinery"
"Art","35461","0.002295594628127051","97","Textiles"
"Other","9956890","0.6445667972378656","99","Other"
