"Name","Gross Export","Share","Code","Sector"
"Live animals","201460318","0.06494062968666288","01","Agriculture"
"Meat","38040359","0.012262290119916882","02","Agriculture"
"Fish","450408454","0.14518893303323552","03","Agriculture"
"Diary products","542446454","0.17485733490233749","04","Agriculture"
"Animal products","21782385","0.007021540579407406","05","Agriculture"
"Plants","146449345","0.04720787088948869","06","Agriculture"
"Vegetables","247358033","0.07973573446396692","07","Agriculture"
"Fruits and nuts","214989216","0.06930166298497542","08","Agriculture"
"Coffee, tea and spices","144148745","0.04646627366508077","09","Agriculture"
"Cereals","22540889","0.007266043952919665","10","Agriculture"
"Flours, starches and malts","95707035","0.030851113410550076","11","Agriculture"
"Oil seeds and oleaginous fruits","37634835","0.012131569667499776","12","Agriculture"
"Lac and other vegetable extracts","11161412","0.0035978754062736826","13","Agriculture"
"Other vegetable materials","78412182","0.025276126458736222","14","Agriculture"
"Animal or vegetable fats, oils or waxes","14090846963","4.542177256940602","15","Agriculture"
"Preparations of meat or fish","359125186","0.11576381863538966","16","Agriculture"
"Sugar and candy","190172037","0.061301858123619914","17","Agriculture"
"Cocoa","1310791568","0.42253298644097337","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1353259856","0.43622261719214966","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","162428413","0.05235871522462969","20","Agriculture"
"Miscellaneous edible preparations","1299290186","0.41882552188039995","21","Agriculture"
"Beverages","730998804","0.23563708775619754","22","Agriculture"
"Food residues and animal feed","551828196","0.177881534601247","23","Agriculture"
"Tobacco","164392238","0.05299175320134136","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","442638404","0.14268426141995605","25","Minerals"
"Ores, slag and ash","1070498297","0.3450745743669493","26","Minerals"
"Mineral fuels, oils and waxes","42504778668","13.701393499200949","27","Minerals"
"Inorganic chemicals","968493976","0.312193534059545","28","Chemicals"
"Organic chemicals","4409723865","1.4214722153739714","29","Chemicals"
"Pharmaceutical products","230487171","0.07429742079250339","30","Chemicals"
"Fertilisers","633037897","0.2040594398679587","31","Chemicals"
"Dyes, paints, inks, etc.","815051284","0.2627313613685604","32","Chemicals"
"Essential oils","401143287","0.12930833183911547","33","Chemicals"
"Soaps, waxes, and paints","1007652214","0.3248161718990237","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","179520784","0.057868432208090695","35","Chemicals"
"Explosives","13515878","0.004356836308022276","36","Chemicals"
"Photographic or cinematographic goods","187665423","0.06049385239247933","37","Chemicals"
"Miscellaneous chemical products","2188369026","0.7054196277761714","38","Chemicals"
"Plastics","8555245469","2.757778968068687","39","Chemicals"
"Rubber","6840094708","2.2049010041467842","40","Chemicals"
"Leather and skins","28724575","0.009259351948316563","41","Agriculture"
"Articles of leather","70241076","0.022642174650537104","42","Agriculture"
"Furskins","47978543","0.01546585861076935","43","Agriculture"
"Wood","3453906524","1.1133649880738945","44","Agriculture"
"Cork","677343","0.00021834116698780001","45","Agriculture"
"Manufactues of plaiting materials","1962217","0.0006325196387403427","46","Agriculture"
"Pulp of wood","33404156","0.010767812472089506","47","Agriculture"
"Paper and paperboard","1051974203","0.33910334221226296","48","Agriculture"
"Products of the printing industry","381350858","0.12292825255080338","49","Agriculture"
"Silk","1578666","0.0005088821715496614","50","Textiles"
"Wool","27595986","0.008895551865774048","51","Textiles"
"Cotton","318312530","0.10260788000619939","52","Textiles"
"Other vegetable textile fibres","5054365","0.0016292719530316129","53","Textiles"
"Man-made filaments","423915126","0.1366488224055173","54","Textiles"
"Man-made staple fibres","325088336","0.10479205757845293","55","Textiles"
"Wadding, felt and nonwovens","261855123","0.08440886395453104","56","Textiles"
"Carpets","19833238","0.006393234048431564","57","Textiles"
"Special woven fabrics","23775276","0.007663947966240198","58","Textiles"
"Impregnated, coated or laminated textile fabrics","70854016","0.02283975554366437","59","Textiles"
"Knitted fabrics","287044608","0.09252868146312222","60","Textiles"
"Apparel, knit","869504270","0.28028425334383783","61","Textiles"
"Apparel, not knit","309494182","0.09976529007285019","62","Textiles"
"Other made up textile articles","165875374","0.0534698413266215","63","Textiles"
"Footwear","132418154","0.042684923701478014","64","Textiles"
