"Name","Gross Import","Share","Code","Sector"
"Live animals","65756058","0.026452613526115873","01","Agriculture"
"Meat","851188998","0.34241976004364216","02","Agriculture"
"Fish","743764971","0.29920478706503023","03","Agriculture"
"Diary products","795758781","0.32012106768635795","04","Agriculture"
"Animal products","27075710","0.010892126358535526","05","Agriculture"
"Plants","17149974","0.006899161050757263","06","Agriculture"
"Vegetables","847281025","0.34084764482591584","07","Agriculture"
"Fruits and nuts","723479653","0.2910443271221857","08","Agriculture"
"Coffee, tea and spices","547235237","0.2201440091228313","09","Agriculture"
"Cereals","1478819442","0.5949054788857983","10","Agriculture"
"Flours, starches and malts","440068897","0.17703269951500275","11","Agriculture"
"Oil seeds and oleaginous fruits","516102916","0.20761997284948927","12","Agriculture"
"Lac and other vegetable extracts","52376195","0.021070108008960673","13","Agriculture"
"Other vegetable materials","5939971","0.0023895556089955396","14","Agriculture"
"Animal or vegetable fats, oils or waxes","2021405166","0.81317906307419","15","Agriculture"
"Preparations of meat or fish","349092503","0.1404343470030312","16","Agriculture"
"Sugar and candy","735438095","0.29585501763834277","17","Agriculture"
"Cocoa","1038984612","0.41796694079224533","18","Agriculture"
"Preparations of cereals, flour, starch or milk","684651195","0.2754242576635052","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","471206716","0.18955894754606853","20","Agriculture"
"Miscellaneous edible preparations","992127348","0.3991170107145758","21","Agriculture"
"Beverages","588171703","0.2366120965836548","22","Agriculture"
"Food residues and animal feed","932244233","0.3750269885019463","23","Agriculture"
"Tobacco","353159136","0.14207028860861753","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","410118205","0.16498401374500524","25","Minerals"
"Ores, slag and ash","2270953503","0.9135683795193139","26","Minerals"
"Mineral fuels, oils and waxes","30924857125","12.440576864841498","27","Minerals"
"Inorganic chemicals","2462955643","0.9908077785965395","28","Chemicals"
"Organic chemicals","3994596147","1.6069623283911354","29","Chemicals"
"Pharmaceutical products","1228028301","0.49401620221038334","30","Chemicals"
"Fertilisers","902037262","0.36287520577711224","31","Chemicals"
"Dyes, paints, inks, etc.","823448915","0.33126036702191664","32","Chemicals"
"Essential oils","895137186","0.36009941523734434","33","Chemicals"
"Soaps, waxes, and paints","634278747","0.2551602251190305","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","247700193","0.09964583758614776","35","Chemicals"
"Explosives","32566874","0.013101134068525082","36","Chemicals"
"Photographic or cinematographic goods","112479867","0.04524885678548301","37","Chemicals"
"Miscellaneous chemical products","2606775920","1.0486643825416837","38","Chemicals"
"Plastics","8309068685","3.342605827835008","39","Chemicals"
"Rubber","3523868664","1.4175961686386715","40","Chemicals"
"Leather and skins","87781096","0.03531293508176655","41","Agriculture"
"Articles of leather","773532253","0.31117968991685424","42","Agriculture"
"Furskins","43771002","0.01760837609147502","43","Agriculture"
"Wood","904736140","0.3639609213576924","44","Agriculture"
"Cork","1803543","0.0007255365879252008","45","Agriculture"
"Manufactues of plaiting materials","14443401","0.005810349894388674","46","Agriculture"
"Pulp of wood","225653305","0.09077672612393752","47","Agriculture"
"Paper and paperboard","2260693246","0.9094408417478187","48","Agriculture"
"Products of the printing industry","178668998","0.07187568867331386","49","Agriculture"
"Silk","18051997","0.00726203051915921","50","Textiles"
"Wool","25964685","0.010445178718473938","51","Textiles"
"Cotton","610340870","0.24553039893759035","52","Textiles"
"Other vegetable textile fibres","4965924","0.0019977120339553112","53","Textiles"
"Man-made filaments","478567710","0.19252015804700912","54","Textiles"
"Man-made staple fibres","174117847","0.07004483320290236","55","Textiles"
"Wadding, felt and nonwovens","229420486","0.09229220296526408","56","Textiles"
"Carpets","142565920","0.057351996127188054","57","Textiles"
"Special woven fabrics","59289263","0.023851125023146024","58","Textiles"
"Impregnated, coated or laminated textile fabrics","189959298","0.07641759631768491","59","Textiles"
"Knitted fabrics","172909944","0.06955891308834751","60","Textiles"
"Apparel, knit","960380903","0.38634592214942653","61","Textiles"
"Apparel, not knit","1065223416","0.4285223932130626","62","Textiles"
"Other made up textile articles","525105885","0.21124172370846875","63","Textiles"
"Footwear","856121608","0.3444040703866535","64","Textiles"
"Headgear","41394537","0.016652362119297114","65","Textiles"
"Umbrellas and walking-sticks","24235403","0.009749516146613733","66","Textiles"
"Feathers and down","132174189","0.05317156846209965","67","Textiles"
"Articles of stone, plaster, cement, etc.","480624220","0.19334745922498714","68","Stone"
"Ceramic products","941837527","0.37888621769455405","69","Stone"
"Glass and glassware","1146507517","0.46122169081345665","70","Stone"
"Precious metals and stones","4324970004","1.7398664626133127","71","Stone"
"Iron and steel","6077967993","2.4450695986509885","72","Metals"
"Articles of iron or steel","3136361076","1.2617080455428293","73","Metals"
"Copper","3561634452","1.4327887429026767","74","Metals"
"Nickel","86884602","0.034952289841894024","75","Metals"
"Aluminium","3325667757","1.3378631044486522","76","Metals"
"Lead","101221798","0.04071991515842644","78","Metals"
"Zinc","347362550","0.13973841449857138","79","Metals"
"Tin","160112971","0.06441089492288601","80","Metals"
"Other base metals","97057770","0.039044793097491384","81","Metals"
"Metal tools and tableware","519281253","0.20889856713987015","82","Metals"
"Miscellaneous articles of base metal","790307965","0.3179282913333416","83","Metals"
"Industrial Machinery","20728199418","8.33862407470676","84","Machinery"
"Electrical machinery and equipment","50642254349","20.372571336094353","85","Electronics"
"Trains","297914803","0.1198463744202541","86","Vehicles"
"Vehicles","6165394511","2.480239892657786","87","Vehicles"
"Aircraft","2378805330","0.9569554496158291","88","Vehicles"
"Ships","1126124996","0.45302212765380157","89","Vehicles"
"Apparatuses (optical, medical, etc.)","5833319486","2.3466514056776164","90","Machinery"
"Clocks","530392302","0.21336836496544448","91","Machinery"
"Musical instruments","65021032","0.026156924287724377","92","Machinery"
"Arms and ammunition","23648937","0.009513590227146252","93","Machinery"
"Furniture","1937853960","0.7795677452856619","94","Textiles"
"Toys","770662710","0.3100253185283569","95","Machinery"
"Miscellaneous manufactured articles","280636978","0.11289578095102785","96","Machinery"
"Art","24760790","0.00996087095840378","97","Textiles"
"Other","3244362752","1.3051553975024128","99","Other"
"Travel and tourism","16066728960","6.463388845598585","travel","Services"
"Transport","15707116544","6.318722505355974","transport","Services"
"ICT","8726967296","3.51071977484022","ict","Services"
"Insurance and finance","4073384704","1.638657708436596","financial","Services"
