"Name","Gross Export","Share","Code","Sector"
"Live animals","1711382","0.10929906622930087","01","Agriculture"
"Meat","3057","0.00019523826092770214","02","Agriculture"
"Fish","67535","0.004313188077118862","03","Agriculture"
"Diary products","48152","0.0030752740399707925","04","Agriculture"
"Plants","93022","0.005940939976452963","06","Agriculture"
"Vegetables","324599","0.02073082900192057","07","Agriculture"
"Fruits and nuts","17861634","1.1407505264923508","08","Agriculture"
"Coffee, tea and spices","289124","0.01846518382481549","09","Agriculture"
"Cereals","644848","0.04118384104766335","10","Agriculture"
"Flours, starches and malts","223745","0.014289690772413712","11","Agriculture"
"Oil seeds and oleaginous fruits","19879484","1.2696224678770296","12","Agriculture"
"Lac and other vegetable extracts","7588754","0.48466311206023655","13","Agriculture"
"Other vegetable materials","77546","0.004952550272129404","14","Agriculture"
"Animal or vegetable fats, oils or waxes","938291","0.05992486198368157","15","Agriculture"
"Preparations of meat or fish","31064","0.001983932396944108","16","Agriculture"
"Sugar and candy","12282","0.0007844018059254294","17","Agriculture"
"Cocoa","16512","0.0010545548460707287","18","Agriculture"
"Preparations of cereals, flour, starch or milk","145786","0.00931076385593915","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","3238461","0.20682744315413384","20","Agriculture"
"Miscellaneous edible preparations","156137","0.009971840479708416","21","Agriculture"
"Beverages","766647","0.04896265195467453","22","Agriculture"
"Food residues and animal feed","95298","0.006086298917202537","23","Agriculture"
"Tobacco","18453","0.0011785186878962668","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","92572","0.005912200291331123","25","Minerals"
"Ores, slag and ash","13579","0.0008672359650432669","26","Minerals"
"Mineral fuels, oils and waxes","108765","0.006946381893948813","27","Minerals"
"Inorganic chemicals","817145","0.05218775555308052","28","Chemicals"
"Organic chemicals","32311","0.002063573257715075","29","Chemicals"
"Pharmaceutical products","3100081","0.19798967064933326","30","Chemicals"
"Fertilisers","34239867","2.186762213763761","31","Chemicals"
"Dyes, paints, inks, etc.","156720","0.010009074338432934","32","Chemicals"
"Essential oils","99642","0.006363732677578703","33","Chemicals"
"Soaps, waxes, and paints","146119","0.009332031222929313","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","12895","0.0008235516436580696","35","Chemicals"
"Explosives","133102","0.008500687931304877","36","Chemicals"
"Photographic or cinematographic goods","6296","0.00040210012783801525","37","Chemicals"
"Miscellaneous chemical products","150176","0.009591135450794437","38","Chemicals"
"Plastics","884031","0.056459494617657","39","Chemicals"
"Rubber","2471404","0.15783860615301495","40","Chemicals"
"Leather and skins","9649944","0.6163030044519835","41","Agriculture"
"Articles of leather","28422","0.0018151985122954368","42","Agriculture"
"Wood","29714627","1.897753385539857","44","Agriculture"
"Manufactues of plaiting materials","241757","0.015440044568890574","46","Agriculture"
"Pulp of wood","2560","0.0001634968753598029","47","Agriculture"
"Paper and paperboard","76707","0.004898966725868907","48","Agriculture"
"Products of the printing industry","101178","0.006461830802794585","49","Agriculture"
"Cotton","81623616","5.2129711607689115","52","Textiles"
"Other vegetable textile fibres","6591","0.0004209405880845551","53","Textiles"
"Man-made staple fibres","8516","0.0005438825744390944","55","Textiles"
"Carpets","5438","0.00034730312820570634","57","Textiles"
"Special woven fabrics","38790","0.0024773608575026384","58","Textiles"
"Impregnated, coated or laminated textile fabrics","14329","0.0009151354402463342","59","Textiles"
"Knitted fabrics","1042","0.00006654833754879477","60","Textiles"
"Apparel, knit","253653","0.016199794111578156","61","Textiles"
"Apparel, not knit","234168","0.01495536574580247","62","Textiles"
"Other made up textile articles","161491","0.010313778866691378","63","Textiles"
"Footwear","54786","0.003498960864633657","64","Textiles"
"Headgear","2608","0.0001665624417727992","65","Textiles"
"Articles of stone, plaster, cement, etc.","4800","0.0003065566412996304","68","Stone"
"Ceramic products","7899","0.0005044772728387042","69","Stone"
"Glass and glassware","20485","0.0013082943327131103","70","Stone"
"Precious metals and stones","1318111692","84.1824777411027","71","Stone"
"Iron and steel","2142293","0.13681961390827274","72","Metals"
"Articles of iron or steel","497684","0.03178506988928443","73","Metals"
"Copper","10631","0.0006789590945117441","74","Metals"
"Aluminium","337395","0.021548057914851836","76","Metals"
"Lead","723933","0.046234681042909447","78","Metals"
"Zinc","6011","0.0003838983272608497","79","Metals"
"Tin","35856","0.0022899781105082395","80","Metals"
"Metal tools and tableware","278566","0.017790886945890177","82","Metals"
"Miscellaneous articles of base metal","74676","0.004769254947019001","83","Metals"
"Industrial Machinery","5360116","0.34232899123675203","84","Machinery"
"Electrical machinery and equipment","4928080","0.3147365943449756","85","Electronics"
"Trains","25375","0.0016205989110371086","86","Vehicles"
"Vehicles","2659844","0.16987350896270295","87","Vehicles"
"Aircraft","1080368","0.06899874696824981","88","Vehicles"
"Ships","3469","0.0002215510393059204","89","Vehicles"
"Apparatuses (optical, medical, etc.)","752859","0.04808206800254135","90","Machinery"
"Clocks","1460","0.00009324431172863759","91","Machinery"
"Musical instruments","286431","0.01829319277585301","92","Machinery"
"Arms and ammunition","184033","0.011753445493394767","93","Machinery"
"Furniture","496247","0.031693294494795354","94","Textiles"
"Toys","5574","0.0003559888997091958","95","Machinery"
"Miscellaneous manufactured articles","8991","0.0005742189087343702","96","Machinery"
"Art","1556783","0.09942545160674221","97","Textiles"
"Other","7260867","0.4637222917590258","99","Other"
