"Name","Gross Import","Share","Code","Sector"
"Live animals","2890136","0.07668677032057881","01","Agriculture"
"Meat","5772874","0.15317724236078895","02","Agriculture"
"Fish","22653135","0.6010775135793143","03","Agriculture"
"Diary products","32333028","0.8579234651950094","04","Agriculture"
"Animal products","13695","0.0003633826641861583","05","Agriculture"
"Plants","7645","0.00020285216996737354","06","Agriculture"
"Vegetables","23548497","0.6248350184329869","07","Agriculture"
"Fruits and nuts","9511302","0.25237256375605227","08","Agriculture"
"Coffee, tea and spices","33063046","0.8772937379765977","09","Agriculture"
"Cereals","110063411","2.9204188038405348","10","Agriculture"
"Flours, starches and malts","15243883","0.4044806730253441","11","Agriculture"
"Oil seeds and oleaginous fruits","20424572","0.5419448987383726","12","Agriculture"
"Lac and other vegetable extracts","963314","0.025560540910392473","13","Agriculture"
"Other vegetable materials","148241","0.003933421651816012","14","Agriculture"
"Animal or vegetable fats, oils or waxes","73777546","1.957610896137046","15","Agriculture"
"Preparations of meat or fish","17088031","0.45341323333155625","16","Agriculture"
"Sugar and candy","19606150","0.520228917227707","17","Agriculture"
"Cocoa","4065830","0.1078825949272003","18","Agriculture"
"Preparations of cereals, flour, starch or milk","86700994","2.30052122579833","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","18071118","0.4794984303514013","20","Agriculture"
"Miscellaneous edible preparations","101444370","2.691721463109631","21","Agriculture"
"Beverages","21748370","0.5770705098434699","22","Agriculture"
"Food residues and animal feed","19142087","0.5079154853700786","23","Agriculture"
"Tobacco","42560948","1.1293107465884298","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","161173668","4.276576624643693","25","Minerals"
"Ores, slag and ash","239192","0.0063467123922610865","26","Minerals"
"Mineral fuels, oils and waxes","604087527","16.028837894332813","27","Minerals"
"Inorganic chemicals","34858643","0.9249380477001955","28","Chemicals"
"Organic chemicals","10453597","0.2773753872353729","29","Chemicals"
"Pharmaceutical products","175061029","4.6450633890609945","30","Chemicals"
"Fertilisers","42689049","1.132709774165276","31","Chemicals"
"Dyes, paints, inks, etc.","12163391","0.32274300307542464","32","Chemicals"
"Essential oils","44347871","1.17672490069106","33","Chemicals"
"Soaps, waxes, and paints","30856583","0.8187475237839591","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","3113509","0.08261374190489826","35","Chemicals"
"Explosives","10305615","0.2734488378807474","36","Chemicals"
"Photographic or cinematographic goods","829500","0.02200992478586479","37","Chemicals"
"Miscellaneous chemical products","49416758","1.3112225759388574","38","Chemicals"
"Plastics","117416587","3.1155277257178415","39","Chemicals"
"Rubber","47906581","1.271151590787148","40","Chemicals"
"Leather and skins","199285","0.005287821411634798","41","Agriculture"
"Articles of leather","1598693","0.04241966568497715","42","Agriculture"
"Wood","10887751","0.28889521470430884","44","Agriculture"
"Cork","59323","0.001574074464221648","45","Agriculture"
"Manufactues of plaiting materials","4165640","0.11053095007232044","46","Agriculture"
"Pulp of wood","281673","0.007473901801336821","47","Agriculture"
"Paper and paperboard","44188727","1.1725021792080925","48","Agriculture"
"Products of the printing industry","10645462","0.2824663266193873","49","Agriculture"
"Silk","4086","0.00010841778502114953","50","Textiles"
"Wool","6947","0.00018433146170874348","51","Textiles"
"Cotton","172188628","4.5688471986271875","52","Textiles"
"Other vegetable textile fibres","207274","0.005499801265901554","53","Textiles"
"Man-made filaments","5833317","0.15478103486691555","54","Textiles"
"Man-made staple fibres","5264366","0.13968450838488716","55","Textiles"
"Wadding, felt and nonwovens","5424553","0.1439349047943788","56","Textiles"
"Carpets","1676773","0.044491437749208995","57","Textiles"
"Special woven fabrics","2196976","0.058294486457323796","58","Textiles"
"Impregnated, coated or laminated textile fabrics","963926","0.025576779697576258","59","Textiles"
"Knitted fabrics","4269299","0.11328143445252294","60","Textiles"
"Apparel, knit","4188987","0.11115043857620904","61","Textiles"
"Apparel, not knit","5104384","0.13543955143842273","62","Textiles"
"Other made up textile articles","39618620","1.0512391155150795","63","Textiles"
"Footwear","26224677","0.695844687526942","64","Textiles"
"Headgear","1330970","0.03531591270915306","65","Textiles"
"Umbrellas and walking-sticks","192318","0.005102959270606324","66","Textiles"
"Feathers and down","3931267","0.10431210486214867","67","Textiles"
"Articles of stone, plaster, cement, etc.","4582260","0.12158553098164775","68","Stone"
"Ceramic products","9800599","0.2600487605140707","69","Stone"
"Glass and glassware","3600336","0.09553119296424509","70","Stone"
"Precious metals and stones","11152448","0.2959186758990575","71","Stone"
"Iron and steel","96283629","2.5547865369501026","72","Metals"
"Articles of iron or steel","65410175","1.7355913586259837","73","Metals"
"Copper","1055393","0.028003761964470405","74","Metals"
"Nickel","44540","0.001181822845042095","75","Metals"
"Aluminium","9145175","0.24265776239128517","76","Metals"
"Lead","11118","0.00029500463383875196","78","Metals"
"Zinc","10202","0.0002706995209950484","79","Metals"
"Tin","9978","0.0002647559126140553","80","Metals"
"Other base metals","87420","0.002319599306546474","81","Metals"
"Metal tools and tableware","10431609","0.2767919583912601","82","Metals"
"Miscellaneous articles of base metal","5956887","0.15805983704387674","83","Metals"
"Industrial Machinery","371828576","9.866086788420988","84","Machinery"
"Electrical machinery and equipment","289296747","7.676190044925082","85","Electronics"
"Trains","2093159","0.05553980971049543","86","Vehicles"
"Vehicles","276947050","7.348503604782562","87","Vehicles"
"Aircraft","63352746","1.6809996075201887","88","Vehicles"
"Ships","348954","0.009259133566879641","89","Vehicles"
"Apparatuses (optical, medical, etc.)","39103153","1.0375617316698773","90","Machinery"
"Clocks","583797","0.015490449741065108","91","Machinery"
"Musical instruments","21632","0.000573982752221612","92","Machinery"
"Arms and ammunition","12172731","0.32299083031773923","93","Machinery"
"Furniture","28634579","0.7597889452259234","94","Textiles"
"Toys","3573635","0.09482270953843752","95","Machinery"
"Miscellaneous manufactured articles","4057978","0.1076742502262737","96","Machinery"
"Art","29577","0.0007847951119849583","97","Textiles"
"Other","82713032","2.1947047777345725","99","Other"
