"Name","Gross Export","Share","Code","Sector"
"Fish","557752558","23.489478281484143","03","Agriculture"
"Animal products","1989","0.00008376576966209443","05","Agriculture"
"Plants","40675","0.001713007883864098","06","Agriculture"
"Vegetables","2006333","0.08449574054472543","07","Agriculture"
"Fruits and nuts","4300909","0.18113069513907937","08","Agriculture"
"Coffee, tea and spices","3227","0.0001359035388132623","09","Agriculture"
"Flours, starches and malts","2271691","0.09567116392632125","11","Agriculture"
"Oil seeds and oleaginous fruits","94915","0.003997299159113973","12","Agriculture"
"Lac and other vegetable extracts","210062","0.008846659178863186","13","Agriculture"
"Animal or vegetable fats, oils or waxes","59101668","2.489038063516127","15","Agriculture"
"Preparations of meat or fish","384143640","16.178022958973617","16","Agriculture"
"Sugar and candy","93017","0.0039173658102860925","17","Agriculture"
"Preparations of vegetables, fruit, or nuts","30516","0.0012851665294160248","20","Agriculture"
"Miscellaneous edible preparations","8311","0.0003500137313532764","21","Agriculture"
"Beverages","6461","0.0002721018792291564","22","Agriculture"
"Food residues and animal feed","125983479","5.305733073475772","23","Agriculture"
"Salt, sulphur, lime, cement, etc.","3623978","0.1526220746146293","25","Minerals"
"Ores, slag and ash","830109013","34.9596381987866","26","Minerals"
"Mineral fuels, oils and waxes","15554163","0.6550560257137615","27","Minerals"
"Inorganic chemicals","547606","0.023062160915827492","28","Chemicals"
"Organic chemicals","45289","0.0019073242545131195","29","Chemicals"
"Pharmaceutical products","267685","0.011273423857213548","30","Chemicals"
"Fertilisers","9551830","0.4022706845809369","31","Chemicals"
"Dyes, paints, inks, etc.","20807","0.0008762767065657108","32","Chemicals"
"Essential oils","68619","0.0028898558815702653","33","Chemicals"
"Soaps, waxes, and paints","7090","0.0002985919089513572","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","70030","0.002949279461757905","35","Chemicals"
"Miscellaneous chemical products","3634963","0.15308470255818793","38","Chemicals"
"Plastics","470850","0.019829619228455084","39","Chemicals"
"Rubber","454998","0.01916201994203803","40","Chemicals"
"Leather and skins","3462785","0.14583350965276803","41","Agriculture"
"Articles of leather","75864","0.003194975540294184","42","Agriculture"
"Wood","113288","0.004771069136993139","44","Agriculture"
"Paper and paperboard","81441","0.0034298481885624093","48","Agriculture"
"Products of the printing industry","1864","0.00007850145532938361","49","Agriculture"
"Cotton","58422","0.0024604141755650484","52","Textiles"
"Man-made filaments","45015","0.0018957848774958173","54","Textiles"
"Man-made staple fibres","243239","0.01024389243179396","55","Textiles"
"Wadding, felt and nonwovens","22691","0.0009556204521883281","56","Textiles"
"Special woven fabrics","1051","0.0000442623549094325","58","Textiles"
"Impregnated, coated or laminated textile fabrics","2293","0.00009656858211924711","59","Textiles"
"Apparel, knit","739753","0.031154338564526568","61","Textiles"
"Apparel, not knit","796793","0.033556550480829166","62","Textiles"
"Other made up textile articles","95341","0.004015239942359852","63","Textiles"
"Footwear","68529","0.002886065575250713","64","Textiles"
"Headgear","59625","0.002511077936703057","65","Textiles"
"Articles of stone, plaster, cement, etc.","5574","0.0002347463047242405","68","Stone"
"Ceramic products","1076","0.000045315217775974665","69","Stone"
"Glass and glassware","70869","0.00298461353955906","70","Stone"
"Precious metals and stones","323434997","13.621307923259026","71","Stone"
"Iron and steel","3481088","0.14660433161462091","72","Metals"
"Articles of iron or steel","7166872","0.30182933592243033","73","Metals"
"Copper","4585705","0.19312474045666903","74","Metals"
"Aluminium","2473282","0.10416107105148528","76","Metals"
"Lead","402145","0.016936141498623915","78","Metals"
"Other base metals","3123","0.0001315236292884469","81","Metals"
"Metal tools and tableware","129083","0.005436267896074477","82","Metals"
"Miscellaneous articles of base metal","98693","0.004156407795505824","83","Metals"
"Industrial Machinery","8706568","0.36667288568897044","84","Machinery"
"Electrical machinery and equipment","4703682","0.19809328455291084","85","Electronics"
"Trains","23557","0.0009920916218853486","86","Vehicles"
"Vehicles","2106718","0.08872340609903884","87","Vehicles"
"Aircraft","1660555","0.0699334678940368","88","Vehicles"
"Ships","722577","0.030430979660697438","89","Vehicles"
"Apparatuses (optical, medical, etc.)","575948","0.02425577049036901","90","Machinery"
"Clocks","8631","0.0003634903760450161","91","Machinery"
"Musical instruments","2699","0.00011366707507189184","92","Machinery"
"Furniture","383825","0.016164603590021816","94","Textiles"
"Toys","48109","0.0020260871858590753","95","Machinery"
"Miscellaneous manufactured articles","678347","0.028568254677211045","96","Machinery"
"Art","44008","0.001853375561231499","97","Textiles"
"Other","6616175","0.27863699904178363","99","Other"
