"Name","Gross Import","Share","Code","Sector"
"Live animals","19174","0.0006144858109515321","01","Agriculture"
"Meat","29053553","0.9311044162004964","02","Agriculture"
"Fish","7290668","0.23365036186285518","03","Agriculture"
"Diary products","76346698","2.4467488596016334","04","Agriculture"
"Plants","2607210","0.08355552055757505","06","Agriculture"
"Vegetables","45415509","1.45547021370823","07","Agriculture"
"Fruits and nuts","21377280","0.6850962364002279","08","Agriculture"
"Coffee, tea and spices","61208762","1.9616102928397476","09","Agriculture"
"Cereals","155498345","4.983390353027335","10","Agriculture"
"Flours, starches and malts","2443832","0.0783196040653648","11","Agriculture"
"Oil seeds and oleaginous fruits","1051348","0.03369346137333219","12","Agriculture"
"Lac and other vegetable extracts","1313222","0.04208596462028752","13","Agriculture"
"Other vegetable materials","48527","0.0015551868649235942","14","Agriculture"
"Animal or vegetable fats, oils or waxes","112979390","3.6207485180431536","15","Agriculture"
"Preparations of meat or fish","16851300","0.5400482291690598","16","Agriculture"
"Sugar and candy","52791698","1.6918613412453518","17","Agriculture"
"Cocoa","7099501","0.2275238671814026","18","Agriculture"
"Preparations of cereals, flour, starch or milk","78465217","2.5146428757553427","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","15906251","0.5097614240603744","20","Agriculture"
"Miscellaneous edible preparations","36723039","1.1768950871242172","21","Agriculture"
"Beverages","10076613","0.3229339580134427","22","Agriculture"
"Food residues and animal feed","4109855","0.13171208837844003","23","Agriculture"
"Tobacco","33227856","1.064881925541918","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","29952544","0.9599151606290524","25","Minerals"
"Ores, slag and ash","14620","0.0004685398224737353","26","Minerals"
"Mineral fuels, oils and waxes","62650666","2.0078202411423587","27","Minerals"
"Inorganic chemicals","16451305","0.5272292424186917","28","Chemicals"
"Organic chemicals","7459269","0.23905366436688347","29","Chemicals"
"Pharmaceutical products","55577846","1.7811514431130369","30","Chemicals"
"Fertilisers","10685767","0.34245604467686036","31","Chemicals"
"Dyes, paints, inks, etc.","11334346","0.36324161851545084","32","Chemicals"
"Essential oils","24970960","0.8002660167851398","33","Chemicals"
"Soaps, waxes, and paints","25875669","0.8292600109199135","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","3218475","0.10314526026923086","35","Chemicals"
"Explosives","7560302","0.2422915565614108","36","Chemicals"
"Photographic or cinematographic goods","500187","0.016029926688349537","37","Chemicals"
"Miscellaneous chemical products","12367245","0.3963438287817503","38","Chemicals"
"Plastics","84609556","2.7115558377442928","39","Chemicals"
"Rubber","46083789","1.4768871625839313","40","Chemicals"
"Leather and skins","5778","0.00018517257826629566","41","Agriculture"
"Articles of leather","13371735","0.42853559118097345","42","Agriculture"
"Furskins","8217","0.0002633373270360248","43","Agriculture"
"Wood","12887316","0.4130109952669581","44","Agriculture"
"Cork","2708","0.0000867856251203061","45","Agriculture"
"Manufactues of plaiting materials","622138","0.01993819617470347","46","Agriculture"
"Pulp of wood","17467","0.000559780101172964","47","Agriculture"
"Paper and paperboard","42012357","1.3464064494174548","48","Agriculture"
"Products of the printing industry","10486075","0.3360563419251897","49","Agriculture"
"Silk","318633","0.010211508156927064","50","Textiles"
"Wool","22035","0.0007061747597954006","51","Textiles"
"Cotton","114564731","3.67155531631267","52","Textiles"
"Other vegetable textile fibres","493773","0.01582437166636961","53","Textiles"
"Man-made filaments","51121842","1.6383460174562479","54","Textiles"
"Man-made staple fibres","105183359","3.370902349729902","55","Textiles"
"Wadding, felt and nonwovens","13507269","0.4328791668512303","56","Textiles"
"Carpets","18274268","0.5856513190531779","57","Textiles"
"Special woven fabrics","9565873","0.3065658301796373","58","Textiles"
"Impregnated, coated or laminated textile fabrics","5141183","0.16476395144493747","59","Textiles"
"Knitted fabrics","13386583","0.42901143791723134","60","Textiles"
"Apparel, knit","125552129","4.02367799130366","61","Textiles"
"Apparel, not knit","87892458","2.816765845971288","62","Textiles"
"Other made up textile articles","66094419","2.118185180900457","63","Textiles"
"Footwear","72731922","2.3309029974044844","64","Textiles"
"Headgear","2759779","0.088445031650256","65","Textiles"
"Umbrellas and walking-sticks","82964","0.002658819277134813","66","Textiles"
"Feathers and down","958105","0.03070522206642942","67","Textiles"
"Articles of stone, plaster, cement, etc.","6226906","0.19955905826269746","68","Stone"
"Ceramic products","21984760","0.7045646749334935","69","Stone"
"Glass and glassware","8474031","0.2715746224608023","70","Stone"
"Precious metals and stones","6364798","0.2039782028044586","71","Stone"
"Iron and steel","63667865","2.040419299889312","72","Metals"
"Articles of iron or steel","136136921","4.362898002562306","73","Metals"
"Copper","5714627","0.18314160876084912","74","Metals"
"Nickel","70580","0.002261938486333532","75","Metals"
"Aluminium","46734350","1.4977362552958557","76","Metals"
"Lead","131624","0.004218268508432485","78","Metals"
"Zinc","584986","0.018747553802299623","79","Metals"
"Tin","105359","0.003376531269220949","80","Metals"
"Metal tools and tableware","14895609","0.4773725031804496","82","Metals"
"Miscellaneous articles of base metal","19430960","0.622720830977719","83","Metals"
"Industrial Machinery","329197139","10.550066283578765","84","Machinery"
"Electrical machinery and equipment","231391020","7.415588743694701","85","Electronics"
"Trains","5390377","0.17275008773231912","86","Vehicles"
"Vehicles","165302409","5.297589696808535","87","Vehicles"
"Aircraft","12979596","0.4159683724774832","88","Vehicles"
"Ships","12227399","0.39186206270694446","89","Vehicles"
"Apparatuses (optical, medical, etc.)","22616885","0.7248229331606625","90","Machinery"
"Clocks","951333","0.03048819390789371","91","Machinery"
"Musical instruments","59593","0.0019098285663937966","92","Machinery"
"Arms and ammunition","183297","0.005874277964430113","93","Machinery"
"Furniture","34835841","1.1164144157225218","94","Textiles"
"Toys","8155043","0.26135173731092187","95","Machinery"
"Miscellaneous manufactured articles","6216398","0.19922229927127788","96","Machinery"
"Art","50950","0.0016328388478137354","97","Textiles"
"Other","21969258","0.7040678688919075","99","Other"
