"Name","Gross Export","Share","Code","Sector"
"Live animals","23324215","0.4377642236361826","01","Agriculture"
"Meat","101642","0.001907683976452321","02","Agriculture"
"Fish","71728842","1.3462541324735862","03","Agriculture"
"Diary products","2164153","0.04061824836869817","04","Agriculture"
"Animal products","8518021","0.1598718263393516","05","Agriculture"
"Plants","597612","0.011216375479975053","06","Agriculture"
"Vegetables","595397","0.01117480290163301","07","Agriculture"
"Fruits and nuts","6663348","0.12506210237033527","08","Agriculture"
"Coffee, tea and spices","21776083","0.4087078629798291","09","Agriculture"
"Cereals","261061","0.00489976472891737","10","Agriculture"
"Flours, starches and malts","4740257","0.08896826433133892","11","Agriculture"
"Oil seeds and oleaginous fruits","672143","0.01261522235871581","12","Agriculture"
"Lac and other vegetable extracts","70890","0.0013305101935292994","13","Agriculture"
"Other vegetable materials","15623","0.00029322275008475445","14","Agriculture"
"Animal or vegetable fats, oils or waxes","20565833","0.38599309415885524","15","Agriculture"
"Preparations of meat or fish","310153822","5.821171134618025","16","Agriculture"
"Sugar and candy","144555769","2.713117847199417","17","Agriculture"
"Cocoa","63849","0.0011983600697792669","18","Agriculture"
"Preparations of cereals, flour, starch or milk","18268943","0.3428835503809527","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","419011","0.007864274322202077","20","Agriculture"
"Miscellaneous edible preparations","748129","0.014041377635419397","21","Agriculture"
"Beverages","27689678","0.5196981074135136","22","Agriculture"
"Food residues and animal feed","17603933","0.3304022048625591","23","Agriculture"
"Tobacco","3926220","0.07368988195850762","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","2556957","0.047990652460376586","25","Minerals"
"Ores, slag and ash","477428","0.008960683039586772","26","Minerals"
"Mineral fuels, oils and waxes","74566674","1.399516431860293","27","Minerals"
"Inorganic chemicals","7100375","0.13326451284215823","28","Chemicals"
"Organic chemicals","1788717","0.033571818336001515","29","Chemicals"
"Pharmaceutical products","23608799","0.443105483516495","30","Chemicals"
"Fertilisers","10211653","0.1916590267919883","31","Chemicals"
"Dyes, paints, inks, etc.","10800826","0.20271701356377891","32","Chemicals"
"Essential oils","6228417","0.11689903100650555","33","Chemicals"
"Soaps, waxes, and paints","8959752","0.16816252458025852","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","778486","0.01461113779827691","35","Chemicals"
"Explosives","11407","0.0002140940862969208","36","Chemicals"
"Photographic or cinematographic goods","65398","0.001227432721631106","37","Chemicals"
"Miscellaneous chemical products","9614760","0.18045614597739829","38","Chemicals"
