"Name","Gross Import","Share","Code","Sector"
"Live animals","23067825","0.3181988604804334","01","Agriculture"
"Meat","56507444","0.77946682400538","02","Agriculture"
"Fish","260744490","3.5967239908639743","03","Agriculture"
"Diary products","94762538","1.3071597173913783","04","Agriculture"
"Animal products","11678998","0.16110074769308597","05","Agriculture"
"Plants","1863964","0.025711623041034457","06","Agriculture"
"Vegetables","26612580","0.36709540801720025","07","Agriculture"
"Fruits and nuts","27363129","0.3774485226491488","08","Agriculture"
"Coffee, tea and spices","44002377","0.6069712346018938","09","Agriculture"
"Cereals","98604998","1.360162824248728","10","Agriculture"
"Flours, starches and malts","7805987","0.10767621864328679","11","Agriculture"
"Oil seeds and oleaginous fruits","5478379","0.07556906449047261","12","Agriculture"
"Lac and other vegetable extracts","961018","0.013256335718741803","13","Agriculture"
"Other vegetable materials","4476565","0.06174998647972193","14","Agriculture"
"Animal or vegetable fats, oils or waxes","41742774","0.5758021451997432","15","Agriculture"
"Preparations of meat or fish","36614285","0.5050594828210213","16","Agriculture"
"Sugar and candy","14828709","0.20454803633181487","17","Agriculture"
"Cocoa","18362923","0.2532991807285664","18","Agriculture"
"Preparations of cereals, flour, starch or milk","55302418","0.762844628369281","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","36627355","0.5052397711276336","20","Agriculture"
"Miscellaneous edible preparations","49315753","0.6802642385372056","21","Agriculture"
"Beverages","48601954","0.670418055448333","22","Agriculture"
"Food residues and animal feed","26739711","0.3688490600989088","23","Agriculture"
"Tobacco","42385603","0.5846693641631164","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","29795476","0.41100045239081284","25","Minerals"
"Ores, slag and ash","1856385","0.02560707789368826","26","Minerals"
"Mineral fuels, oils and waxes","969547790","13.373996116206124","27","Minerals"
"Inorganic chemicals","13856900","0.19114284895915926","28","Chemicals"
"Organic chemicals","12683562","0.1749577593567199","29","Chemicals"
"Pharmaceutical products","115410349","1.5919767702177872","30","Chemicals"
"Fertilisers","11636671","0.16051688670196282","31","Chemicals"
"Dyes, paints, inks, etc.","31449230","0.43381242700545286","32","Chemicals"
"Essential oils","79956479","1.1029241164187653","33","Chemicals"
"Soaps, waxes, and paints","29909089","0.41256763642900296","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","4947210","0.06824208977471456","35","Chemicals"
"Explosives","1754042","0.02419535286204141","36","Chemicals"
"Photographic or cinematographic goods","9127237","0.12590161459673158","37","Chemicals"
"Miscellaneous chemical products","35980305","0.49631432745559845","38","Chemicals"
"Plastics","167003280","2.3036525286842067","39","Chemicals"
"Rubber","31810180","0.43879139137207224","40","Chemicals"
"Leather and skins","10045947","0.1385743514114065","41","Agriculture"
"Articles of leather","15053109","0.20764342240708675","42","Agriculture"
"Furskins","82979","0.0011446169391265057","43","Agriculture"
"Wood","45445162","0.6268730911019437","44","Agriculture"
"Cork","122192","0.0016855232411302375","45","Agriculture"
"Manufactues of plaiting materials","542658","0.007485454620476401","46","Agriculture"
"Pulp of wood","114492","0.0015793090130571817","47","Agriculture"
