"Name","Gross Export","Share","Code","Sector"
"Live animals","812531974","0.16607903307109725","01","Agriculture"
"Meat","1648597798","0.3369683126032652","02","Agriculture"
"Fish","1048869458","0.21438568693475918","03","Agriculture"
"Diary products","367025662","0.07501891495686466","04","Agriculture"
"Animal products","93166891","0.01904302558747099","05","Agriculture"
"Plants","76872592","0.015712521054622484","06","Agriculture"
"Vegetables","7345854931","1.5014701243264945","07","Agriculture"
"Fruits and nuts","8503615801","1.7381128805131603","08","Agriculture"
"Coffee, tea and spices","455949590","0.09319469197450098","09","Agriculture"
"Cereals","389650546","0.07964337156694477","10","Agriculture"
"Flours, starches and malts","222020388","0.04538028353467583","11","Agriculture"
"Oil seeds and oleaginous fruits","157376777","0.03216732853396081","12","Agriculture"
"Lac and other vegetable extracts","111004746","0.02268902821291652","13","Agriculture"
"Other vegetable materials","41800346","0.008543861986798944","14","Agriculture"
"Animal or vegetable fats, oils or waxes","325405556","0.06651189347096732","15","Agriculture"
"Preparations of meat or fish","308260488","0.0630074943746947","16","Agriculture"
"Sugar and candy","1542367111","0.3152550873469279","17","Agriculture"
"Cocoa","606623723","0.12399202071748767","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1772541774","0.36230207957828303","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1715920027","0.35072876887364324","20","Agriculture"
"Miscellaneous edible preparations","883781178","0.1806421509372815","21","Agriculture"
"Beverages","6746623553","1.3789890761602581","22","Agriculture"
"Food residues and animal feed","255652870","0.05225465927504649","23","Agriculture"
"Tobacco","212235507","0.04338028399349377","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","790543154","0.16158458598368405","25","Minerals"
"Ores, slag and ash","4554711516","0.9309690063902292","26","Minerals"
"Mineral fuels, oils and waxes","26116929966","5.338220050819619","27","Minerals"
"Inorganic chemicals","950988734","0.1943791683996265","28","Chemicals"
"Organic chemicals","1683322274","0.3440658885541416","29","Chemicals"
"Pharmaceutical products","1823178733","0.3726521180475148","30","Chemicals"
"Fertilisers","356565222","0.07288083323665136","31","Chemicals"
"Dyes, paints, inks, etc.","992669468","0.20289858206200329","32","Chemicals"
"Essential oils","1930608032","0.39461033590519845","33","Chemicals"
"Soaps, waxes, and paints","718529499","0.1468652166874358","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","153853432","0.03144716766706564","35","Chemicals"
"Explosives","131221903","0.02682135283945062","36","Chemicals"
"Photographic or cinematographic goods","41627394","0.008508511130651944","37","Chemicals"
"Miscellaneous chemical products","954055332","0.19500597158639899","38","Chemicals"
"Plastics","7841938062","1.6028679884791766","39","Chemicals"
"Rubber","3216617126","0.657466634101973","40","Chemicals"
"Leather and skins","314894848","0.06436353712636808","41","Agriculture"
"Articles of leather","306733582","0.06269539949081945","42","Agriculture"
"Furskins","639207","0.00013065194218717216","43","Agriculture"
"Wood","416222348","0.08507456606061112","44","Agriculture"
"Cork","1661934","0.0003396941912195826","45","Agriculture"
"Manufactues of plaiting materials","20276584","0.004144471322312397","46","Agriculture"
"Pulp of wood","23873519","0.0048796737585670305","47","Agriculture"
"Paper and paperboard","2010633262","0.4109672464576098","48","Agriculture"
"Products of the printing industry","393975720","0.08052742381198819","49","Agriculture"
"Silk","1577886","0.0003225150388683921","50","Textiles"
"Wool","38552490","0.00788001022306003","51","Textiles"
"Cotton","286542158","0.058568334610233544","52","Textiles"
"Other vegetable textile fibres","1299698","0.0002656542684244435","53","Textiles"
"Man-made filaments","204292409","0.041756739225237094","54","Textiles"
"Man-made staple fibres","165111422","0.03374826615100552","55","Textiles"
"Wadding, felt and nonwovens","196983380","0.040262796207791475","56","Textiles"
"Carpets","62158096","0.012704923389538438","57","Textiles"
"Special woven fabrics","41689286","0.008521161664838598","58","Textiles"
"Impregnated, coated or laminated textile fabrics","382664021","0.07821534737385985","59","Textiles"
"Knitted fabrics","30517478","0.006237678516277666","60","Textiles"
"Apparel, knit","1511007466","0.3088452724895339","61","Textiles"
"Apparel, not knit","2330403459","0.4763272899046068","62","Textiles"
"Other made up textile articles","1081450422","0.22104513563436715","63","Textiles"
"Footwear","560802960","0.11462639787786276","64","Textiles"
"Headgear","215530000","0.04405366821640128","65","Textiles"
"Umbrellas and walking-sticks","4872735","0.0009959720270795067","66","Textiles"
"Feathers and down","6608027","0.0013506603675730595","67","Textiles"
"Articles of stone, plaster, cement, etc.","796051211","0.16271041587091567","68","Stone"
"Ceramic products","1465625292","0.2995692958907542","69","Stone"
"Glass and glassware","1595548098","0.3261251173043294","70","Stone"
"Precious metals and stones","6071069075","1.240907821411888","71","Stone"
"Iron and steel","2922386179","0.5973267346998686","72","Metals"
