"Name","Gross Import","Share","Code","Sector"
"Live animals","168405538","0.03628042406224254","01","Agriculture"
"Meat","3521114078","0.7585707301464882","02","Agriculture"
"Fish","393961161","0.08487296887548561","03","Agriculture"
"Diary products","1687295763","0.36350233209115185","04","Agriculture"
"Animal products","235184670","0.050666977237640326","05","Agriculture"
"Plants","122837592","0.026463499843720886","06","Agriculture"
"Vegetables","452623761","0.0975109380887885","07","Agriculture"
"Fruits and nuts","1100492085","0.2370843619224771","08","Agriculture"
"Coffee, tea and spices","322656123","0.06951137775955497","09","Agriculture"
"Cereals","4606167847","0.9923291405715335","10","Agriculture"
"Flours, starches and malts","635808785","0.13697537869745827","11","Agriculture"
"Oil seeds and oleaginous fruits","3250862476","0.7003491132061926","12","Agriculture"
"Lac and other vegetable extracts","174568780","0.037608201260152886","13","Agriculture"
"Other vegetable materials","9958342","0.00214537404771594","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1338277348","0.28831159755763697","15","Agriculture"
"Preparations of meat or fish","757375012","0.16316498219616765","16","Agriculture"
"Sugar and candy","825429523","0.1778262964721183","17","Agriculture"
"Cocoa","465072539","0.10019283887578467","18","Agriculture"
"Preparations of cereals, flour, starch or milk","505473588","0.10889663334529577","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","665904978","0.14345914792302314","20","Agriculture"
"Miscellaneous edible preparations","1335215080","0.2876518782695917","21","Agriculture"
"Beverages","1026129542","0.22106407763475522","22","Agriculture"
"Food residues and animal feed","1507612126","0.32479221231227584","23","Agriculture"
"Tobacco","132186773","0.02847763937465877","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","542122859","0.11679216403415024","25","Minerals"
"Ores, slag and ash","1606784296","0.3461573552018927","26","Minerals"
"Mineral fuels, oils and waxes","37759556211","8.134724831538286","27","Minerals"
"Inorganic chemicals","2385394119","0.5138970560035826","28","Chemicals"
"Organic chemicals","8940907220","1.9261831249443002","29","Chemicals"
"Pharmaceutical products","4575177268","0.9856526894202987","30","Chemicals"
"Fertilisers","1039907568","0.22403234478295675","31","Chemicals"
"Dyes, paints, inks, etc.","2214484867","0.47707724465794454","32","Chemicals"
"Essential oils","2602801880","0.5607342672804627","33","Chemicals"
"Soaps, waxes, and paints","1110672280","0.23927753084092632","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","746596633","0.16084294358943507","35","Chemicals"
"Explosives","169689184","0.036556966162810525","36","Chemicals"
"Photographic or cinematographic goods","221238005","0.047662379369522494","37","Chemicals"
"Miscellaneous chemical products","5144861295","1.1083824899156127","38","Chemicals"
"Plastics","22509317954","4.849291836964231","39","Chemicals"
"Rubber","5944122363","1.2805711888613733","40","Chemicals"
"Leather and skins","849928660","0.1831042647032995","41","Agriculture"
"Articles of leather","917315161","0.19762166633620026","42","Agriculture"
"Furskins","4410203","0.000950111480541538","43","Agriculture"
"Wood","1422660774","0.30649072940486194","44","Agriculture"
"Cork","24229056","0.005219783367859447","45","Agriculture"
"Manufactues of plaiting materials","13718313","0.0029554028862077844","46","Agriculture"
"Pulp of wood","1005045906","0.21652192739469622","47","Agriculture"
"Paper and paperboard","5943840287","1.2805104198568662","48","Agriculture"
"Products of the printing industry","616771356","0.1328740527827794","49","Agriculture"
"Silk","2655817","0.0005721555724118337","50","Textiles"
"Wool","82324604","0.017735589811044034","51","Textiles"
"Cotton","1139042699","0.24538950818067093","52","Textiles"
"Other vegetable textile fibres","35479679","0.007643559796188184","53","Textiles"
"Man-made filaments","1232252923","0.2654702400486254","54","Textiles"
"Man-made staple fibres","814799127","0.17553613856276518","55","Textiles"
"Wadding, felt and nonwovens","943280234","0.20321544828918497","56","Textiles"
"Carpets","208312525","0.044877780352309445","57","Textiles"
"Special woven fabrics","426451935","0.09187261433150667","58","Textiles"
"Impregnated, coated or laminated textile fabrics","1608528033","0.3465330169441629","59","Textiles"
"Knitted fabrics","788610672","0.16989423233914114","60","Textiles"
"Apparel, knit","1949873178","0.4200706616039701","61","Textiles"
"Apparel, not knit","1704611594","0.3672327657759997","62","Textiles"
"Other made up textile articles","638547640","0.13756542355005089","63","Textiles"
"Footwear","886415506","0.19096480338447835","64","Textiles"
"Headgear","173678439","0.03741639076850503","65","Textiles"
"Umbrellas and walking-sticks","55806426","0.012022649757979799","66","Textiles"
"Feathers and down","60976121","0.013136382293737946","67","Textiles"
"Articles of stone, plaster, cement, etc.","875059317","0.18851828435936785","68","Stone"
"Ceramic products","961459077","0.20713180484630087","69","Stone"
"Glass and glassware","1391076378","0.29968634936939187","70","Stone"
"Precious metals and stones","1057457773","0.2278132707984616","71","Stone"
