"Name","Gross Export","Share","Code","Sector"
"Live animals","14265266","0.30228916773067294","01","Agriculture"
"Meat","8390265","0.17779452720263292","02","Agriculture"
"Fish","279404","0.00592073099938136","03","Agriculture"
"Diary products","21618680","0.45811222760485115","04","Agriculture"
"Animal products","542196","0.011489444191710125","05","Agriculture"
"Plants","1994055","0.04225516904901647","06","Agriculture"
"Vegetables","12171236","0.25791547109556906","07","Agriculture"
"Fruits and nuts","275298029","5.833723119099543","08","Agriculture"
"Coffee, tea and spices","7630649","0.16169782851962883","09","Agriculture"
"Cereals","246537890","5.2242792796276065","10","Agriculture"
"Flours, starches and malts","2398742","0.050830718668730734","11","Agriculture"
"Oil seeds and oleaginous fruits","268577254","5.691306042456519","12","Agriculture"
"Lac and other vegetable extracts","49096","0.001040372396764639","13","Agriculture"
"Other vegetable materials","806114","0.017082017969804675","14","Agriculture"
"Animal or vegetable fats, oils or waxes","67949888","1.439897096269529","15","Agriculture"
"Preparations of meat or fish","304807","0.006459035138109813","16","Agriculture"
"Sugar and candy","18040027","0.3822785181621477","17","Agriculture"
"Cocoa","8579158","0.18179727820357114","18","Agriculture"
"Preparations of cereals, flour, starch or milk","15065409","0.3192446567860837","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","44519858","0.9434013233477553","20","Agriculture"
"Miscellaneous edible preparations","9131014","0.1934914233353323","21","Agriculture"
"Beverages","202183427","4.284382771184587","22","Agriculture"
"Food residues and animal feed","30516168","0.64665510107203","23","Agriculture"
"Tobacco","22616927","0.4792656540337478","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","15927192","0.33750633279229647","25","Minerals"
"Ores, slag and ash","102035","0.0021621801675061098","26","Minerals"
"Mineral fuels, oils and waxes","8020493","0.16995884645681952","27","Minerals"
"Inorganic chemicals","1014488","0.021497582533179186","28","Chemicals"
"Organic chemicals","694620","0.014719396167521867","29","Chemicals"
"Pharmaceutical products","32374203","0.6860279283129984","30","Chemicals"
"Fertilisers","91259","0.0019338305474243156","31","Chemicals"
"Dyes, paints, inks, etc.","1965549","0.04165111056070433","32","Chemicals"
"Essential oils","15648909","0.33160935642581335","33","Chemicals"
"Soaps, waxes, and paints","5431830","0.11510359287758819","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","261821","0.005548137145456139","35","Chemicals"
"Explosives","2108","0.00004466972894695819","36","Chemicals"
"Photographic or cinematographic goods","4897","0.00010377023845031036","37","Chemicals"
"Miscellaneous chemical products","2965299","0.06283638642157789","38","Chemicals"
"Plastics","42295762","0.8962714535792479","39","Chemicals"
