"Name","Gross Import","Share","Code","Sector"
"Live animals","5373203","0.07580390124291882","01","Agriculture"
"Meat","44942936","0.6340445135072733","02","Agriculture"
"Fish","34635838","0.48863436635796836","03","Agriculture"
"Diary products","62708281","0.8846738788832662","04","Agriculture"
"Animal products","6627577","0.09350031859727619","05","Agriculture"
"Plants","14518988","0.20483051403401725","06","Agriculture"
"Vegetables","34108999","0.4812018439822238","07","Agriculture"
"Fruits and nuts","42445041","0.5988047904044647","08","Agriculture"
"Coffee, tea and spices","18148774","0.2560386927454728","09","Agriculture"
"Cereals","19313791","0.2724744822762837","10","Agriculture"
"Flours, starches and malts","23996573","0.338538084241465","11","Agriculture"
"Oil seeds and oleaginous fruits","48719368","0.6873215399621826","12","Agriculture"
"Lac and other vegetable extracts","1579981","0.02229000536359563","13","Agriculture"
"Other vegetable materials","486094","0.00685770136932764","14","Agriculture"
"Animal or vegetable fats, oils or waxes","21298698","0.3004770896976631","15","Agriculture"
"Preparations of meat or fish","16624923","0.23454055639869362","16","Agriculture"
"Sugar and candy","22485357","0.31721819954313535","17","Agriculture"
"Cocoa","28810365","0.4064499448899372","18","Agriculture"
"Preparations of cereals, flour, starch or milk","46604028","0.6574788140396377","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","23319839","0.3289908779840938","20","Agriculture"
"Miscellaneous edible preparations","71107966","1.0031746859831705","21","Agriculture"
"Beverages","70333322","0.9922461881627048","22","Agriculture"
"Food residues and animal feed","34897995","0.49233281648876376","23","Agriculture"
"Tobacco","65517271","0.9243024580663619","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","15045062","0.21225224396725578","25","Minerals"
"Ores, slag and ash","457809","0.006458663151963442","26","Minerals"
"Mineral fuels, oils and waxes","724241509","10.217431171734718","27","Minerals"
"Inorganic chemicals","17358383","0.24488803990259828","28","Chemicals"
"Organic chemicals","12542852","0.17695164584560583","29","Chemicals"
"Pharmaceutical products","188011481","2.65242235185585","30","Chemicals"
"Fertilisers","90248374","1.2732031211234718","31","Chemicals"
"Dyes, paints, inks, etc.","36231857","0.5111506321044555","32","Chemicals"
"Essential oils","67466287","0.9517987235871076","33","Chemicals"
"Soaps, waxes, and paints","46982094","0.6628124814494314","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","9302605","0.13123899296599864","35","Chemicals"
"Explosives","2977152","0.042000969662444966","36","Chemicals"
"Photographic or cinematographic goods","1437667","0.020282272471038854","37","Chemicals"
"Miscellaneous chemical products","98155459","1.384754441715559","38","Chemicals"
"Plastics","258685023","3.6494682848413103","39","Chemicals"
"Rubber","56484303","0.796867441335662","40","Chemicals"
"Leather and skins","26427237","0.3728293279950916","41","Agriculture"
"Articles of leather","37224298","0.5251517594680455","42","Agriculture"
"Furskins","5175360","0.07301277810210266","43","Agriculture"
"Wood","109076462","1.5388254181677088","44","Agriculture"
"Cork","2848810","0.0401903505041294","45","Agriculture"
"Manufactues of plaiting materials","360497","0.005085808034122014","46","Agriculture"
"Pulp of wood","556413","0.00784974550603731","47","Agriculture"
"Paper and paperboard","105015117","1.481528905213811","48","Agriculture"
"Products of the printing industry","14340968","0.20231904917790358","49","Agriculture"
"Silk","734972","0.010368814449093126","50","Textiles"
"Wool","6910978","0.09749847415107611","51","Textiles"
"Cotton","42084592","0.5937196595432057","52","Textiles"
"Other vegetable textile fibres","2287601","0.03227294414285154","53","Textiles"
"Man-made filaments","49151459","0.6934173795371911","54","Textiles"
"Man-made staple fibres","50576762","0.7135252235649034","55","Textiles"
"Wadding, felt and nonwovens","33108901","0.4670926934391975","56","Textiles"
"Carpets","5631661","0.0794501667399496","57","Textiles"
"Special woven fabrics","21739356","0.30669379052097134","58","Textiles"
"Impregnated, coated or laminated textile fabrics","23161802","0.3267613286555598","59","Textiles"
"Knitted fabrics","48906683","0.6899641365216868","60","Textiles"
"Apparel, knit","45487887","0.6417325557767035","61","Textiles"
"Apparel, not knit","44337501","0.625503176999234","62","Textiles"
"Other made up textile articles","30338770","0.4280123280121053","63","Textiles"
"Footwear","26804348","0.37814952248646266","64","Textiles"
"Headgear","767827","0.010832325166133985","65","Textiles"
"Umbrellas and walking-sticks","854685","0.012057697677494051","66","Textiles"
"Feathers and down","410887","0.005796698462723107","67","Textiles"
"Articles of stone, plaster, cement, etc.","35852340","0.5057964943233204","68","Stone"
"Ceramic products","56441223","0.7962596786910076","69","Stone"
"Glass and glassware","39733435","0.5605500820985052","70","Stone"
"Precious metals and stones","11556638","0.16303836755323833","71","Stone"
"Iron and steel","207521796","2.927669349126982","72","Metals"
"Articles of iron or steel","111854863","1.5780224548360102","73","Metals"
"Copper","88527240","1.2489217619859463","74","Metals"
"Nickel","2218123","0.031292764639014536","75","Metals"
"Aluminium","27425283","0.3869095293982194","76","Metals"
"Lead","34513","0.0004869013963546245","78","Metals"
"Zinc","528932","0.00746204993413045","79","Metals"
