"Name","Gross Export","Share","Code","Sector"
"Live animals","940547","0.011247705749211733","01","Agriculture"
"Meat","81702639","0.9770561624310861","02","Agriculture"
"Fish","269707","0.0032253411839096276","03","Agriculture"
"Diary products","535393","0.00640259649351677","04","Agriculture"
"Animal products","11054765","0.13220045765568827","05","Agriculture"
"Plants","6565","0.00007850877015563818","06","Agriculture"
"Vegetables","29702","0.00035519687603393225","07","Agriculture"
"Fruits and nuts","28298180","0.33840903418779544","08","Agriculture"
"Coffee, tea and spices","92156","0.0011020646188062441","09","Agriculture"
"Cereals","867300","0.010371767914087584","10","Agriculture"
"Flours, starches and malts","1299","0.000015534332434451485","11","Agriculture"
"Oil seeds and oleaginous fruits","30491504","0.3646383060526614","12","Agriculture"
"Animal or vegetable fats, oils or waxes","576573","0.006895055161454192","15","Agriculture"
"Preparations of meat or fish","72166601","0.8630176832936252","16","Agriculture"
"Sugar and candy","611485","0.007312556788822607","17","Agriculture"
"Cocoa","312646","0.0037388351796008613","18","Agriculture"
"Preparations of cereals, flour, starch or milk","206155","0.002465342804483715","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","185103","0.002213588557824691","20","Agriculture"
"Miscellaneous edible preparations","2131833","0.025493920336207863","21","Agriculture"
"Beverages","588417","0.007036693832242216","22","Agriculture"
"Food residues and animal feed","4547661","0.05438404755441884","23","Agriculture"
"Tobacco","1381859","0.01652521715437929","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","90841718","1.086347533740335","25","Minerals"
"Ores, slag and ash","2674578583","31.9844440572642","26","Minerals"
"Mineral fuels, oils and waxes","3203332270","38.307643094831484","27","Minerals"
"Inorganic chemicals","143502","0.0017160952833015065","28","Chemicals"
"Organic chemicals","515933","0.00616988047413692","29","Chemicals"
"Pharmaceutical products","130621","0.00156205545567397","30","Chemicals"
"Fertilisers","128945","0.0015420126988147395","31","Chemicals"
"Dyes, paints, inks, etc.","472","0.000005644499545081679","32","Chemicals"
"Essential oils","530496","0.0063440348107365475","33","Chemicals"
"Soaps, waxes, and paints","14269","0.00017063848306942897","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","885942","0.010594701728747357","35","Chemicals"
"Miscellaneous chemical products","37721","0.0004510935748729365","38","Chemicals"
"Plastics","780070","0.009328611779940392","39","Chemicals"
"Rubber","1488040","0.017795002336998607","40","Chemicals"
"Leather and skins","10508843","0.12567194816278554","41","Agriculture"
"Articles of leather","253802","0.0030351382914000427","42","Agriculture"
"Furskins","109329","0.0013074311245004975","43","Agriculture"
"Wood","1054034","0.012604861087925048","44","Agriculture"
"Paper and paperboard","55510","0.0006638266308209407","48","Agriculture"
"Products of the printing industry","609545","0.007289356938997483","49","Agriculture"
"Silk","2750","0.0000328863850613869","50","Textiles"
"Wool","197927324","2.36695061499414","51","Textiles"
"Cotton","110450","0.0013208368109200667","52","Textiles"
"Other vegetable textile fibres","1096","0.00001310671928264729","53","Textiles"
"Man-made filaments","110563","0.0013221881423789526","54","Textiles"
"Man-made staple fibres","3677","0.000043972086498443504","55","Textiles"
"Wadding, felt and nonwovens","28388","0.0003394831633173278","56","Textiles"
"Carpets","880318","0.010527446081625452","57","Textiles"
"Special woven fabrics","3331","0.00003983438132344719","58","Textiles"
"Impregnated, coated or laminated textile fabrics","501","0.0000059913014239108496","59","Textiles"
"Knitted fabrics","7144","0.00008543284904674474","60","Textiles"
"Apparel, knit","26712655","0.3194482393970844","61","Textiles"
"Apparel, not knit","7598724","0.09087075034152804","62","Textiles"
"Other made up textile articles","933296","0.011160993320818963","63","Textiles"
"Footwear","1590461","0.019019822862224898","64","Textiles"
"Headgear","613481","0.007336426325034434","65","Textiles"
"Feathers and down","112","0.000001339372773409212","67","Textiles"
"Articles of stone, plaster, cement, etc.","3655","0.000043708995417952406","68","Stone"
"Ceramic products","10674","0.00012764700878008863","69","Stone"
"Glass and glassware","60812","0.0007272315812192945","70","Stone"
