"Name","Gross Import","Share","Code","Sector"
"Live animals","507284","0.006468295688922389","01","Agriculture"
"Meat","32106619","0.40938627132646344","02","Agriculture"
"Fish","971578","0.01238843288740003","03","Agriculture"
"Diary products","31348095","0.39971445530399047","04","Agriculture"
"Animal products","880578","0.011228106703857996","05","Agriculture"
"Plants","287543","0.003666413975760738","06","Agriculture"
"Vegetables","15664528","0.19973584605744327","07","Agriculture"
"Fruits and nuts","14344858","0.18290894875376287","08","Agriculture"
"Coffee, tea and spices","6082137","0.07755233860428351","09","Agriculture"
"Cereals","76475012","0.9751204264867175","10","Agriculture"
"Flours, starches and malts","11436468","0.145824541402644","11","Agriculture"
"Oil seeds and oleaginous fruits","29932153","0.3816600094031457","12","Agriculture"
"Lac and other vegetable extracts","1024454","0.013062646154223862","13","Agriculture"
"Other vegetable materials","26141","0.00033331963476892666","14","Agriculture"
"Animal or vegetable fats, oils or waxes","34516696","0.44011677074901767","15","Agriculture"
"Preparations of meat or fish","6582563","0.08393318905181324","16","Agriculture"
"Sugar and candy","57672417","0.7353715990467554","17","Agriculture"
"Cocoa","47025454","0.5996139073533132","18","Agriculture"
"Preparations of cereals, flour, starch or milk","63296629","0.807085010534572","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","35848664","0.4571004778483596","20","Agriculture"
"Miscellaneous edible preparations","66648036","0.8498182555214518","21","Agriculture"
"Beverages","46365522","0.5911992218702663","22","Agriculture"
"Food residues and animal feed","11551048","0.14728553232693242","23","Agriculture"
"Tobacco","55464137","0.7072141803149731","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","8448994","0.1077317468438412","25","Minerals"
"Ores, slag and ash","3512680","0.04478961075169707","26","Minerals"
"Mineral fuels, oils and waxes","1205779335","15.374695977740686","27","Minerals"
"Inorganic chemicals","12231916","0.15596716933721702","28","Chemicals"
"Organic chemicals","22126917","0.2821367160017732","29","Chemicals"
"Pharmaceutical products","98667319","1.2580909197318073","30","Chemicals"
"Fertilisers","35098284","0.44753250464389505","31","Chemicals"
"Dyes, paints, inks, etc.","17447361","0.22246845936274873","32","Chemicals"
"Essential oils","50986110","0.6501155871423555","33","Chemicals"
"Soaps, waxes, and paints","36431704","0.46453472595882495","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","6472338","0.08252772802345147","35","Chemicals"
"Explosives","9709473","0.1238039093438948","36","Chemicals"
"Photographic or cinematographic goods","1183761","0.015093943773141782","37","Chemicals"
"Miscellaneous chemical products","29036763","0.3702430372989512","38","Chemicals"
"Plastics","113538341","1.4477088999804846","39","Chemicals"
"Rubber","77971186","0.9941978975563308","40","Chemicals"
"Leather and skins","2028548","0.02586568526342667","41","Agriculture"
"Articles of leather","3945528","0.05030878512415644","42","Agriculture"
"Furskins","850913","0.010849853118860475","43","Agriculture"
"Wood","22284946","0.28415171805077283","44","Agriculture"
"Cork","16483","0.0002101720492672896","45","Agriculture"
"Manufactues of plaiting materials","16916","0.0002156931617670006","46","Agriculture"
"Pulp of wood","2762795","0.03522794921163753","47","Agriculture"
"Paper and paperboard","55617920","0.7091750423092987","48","Agriculture"
"Products of the printing industry","5765974","0.0735209956683802","49","Agriculture"
"Silk","1466602","0.01870040331247379","50","Textiles"
"Wool","12505510","0.1594557218851291","51","Textiles"
"Cotton","2927078","0.03732269499637199","52","Textiles"
"Other vegetable textile fibres","885954","0.011296655204547248","53","Textiles"
"Man-made filaments","7649434","0.09753668746677668","54","Textiles"
"Man-made staple fibres","1895757","0.02417248884322084","55","Textiles"
"Wadding, felt and nonwovens","6186002","0.07887670430816915","56","Textiles"
"Carpets","4704490","0.059986186013315006","57","Textiles"
"Special woven fabrics","1120713","0.014290028990504881","58","Textiles"
"Impregnated, coated or laminated textile fabrics","3490217","0.04450318869608273","59","Textiles"
"Knitted fabrics","388636","0.004955434358978485","60","Textiles"
"Apparel, knit","17945104","0.22881509931411975","61","Textiles"
"Apparel, not knit","24803334","0.31626327339932286","62","Textiles"
"Other made up textile articles","15335652","0.195542401728448","63","Textiles"
"Footwear","17951126","0.22889188485562842","64","Textiles"
"Headgear","1436015","0.018310393455594664","65","Textiles"
"Umbrellas and walking-sticks","67938","0.0008662663764558103","66","Textiles"
"Feathers and down","52025","0.0006633623043821356","67","Textiles"
"Articles of stone, plaster, cement, etc.","21467188","0.2737246189386743","68","Stone"
"Ceramic products","12987841","0.1656058459338545","69","Stone"
"Glass and glassware","37548928","0.4787802672784026","70","Stone"
"Precious metals and stones","14709105","0.1875534029447149","71","Stone"
"Iron and steel","130508512","1.6640927873484594","72","Metals"
"Articles of iron or steel","232876335","2.969368231074794","73","Metals"
"Copper","2057142","0.026230282701802502","74","Metals"
"Nickel","417301","0.005320937106794226","75","Metals"
"Aluminium","33940693","0.4327722502798005","76","Metals"
"Lead","228565","0.0029143951004536824","78","Metals"
"Zinc","67959","0.0008665341440366276","79","Metals"
"Tin","61484","0.0007839724732845983","80","Metals"
