"Name","Gross Export","Share","Code","Sector"
"Live animals","9193639","0.01869540448091556","01","Agriculture"
"Meat","3364724","0.006842217335991127","02","Agriculture"
"Fish","767379746","1.5604783635655308","03","Agriculture"
"Diary products","58521669","0.1190047023657615","04","Agriculture"
"Animal products","69731921","0.14180091999764727","05","Agriculture"
"Plants","35534975","0.0722609111413035","06","Agriculture"
"Vegetables","1488813924","3.0275257170744987","07","Agriculture"
"Fruits and nuts","1427268795","2.902372762897689","08","Agriculture"
"Coffee, tea and spices","48546132","0.09871929643136067","09","Agriculture"
"Cereals","753008","0.0015312531998880165","10","Agriculture"
"Flours, starches and malts","7485328","0.015221528127471908","11","Agriculture"
"Oil seeds and oleaginous fruits","137826421","0.28027211953307657","12","Agriculture"
"Lac and other vegetable extracts","56851990","0.11560938477081453","13","Agriculture"
"Other vegetable materials","608702","0.001237804758087876","14","Agriculture"
"Animal or vegetable fats, oils or waxes","215265093","0.4377448346902575","15","Agriculture"
"Preparations of meat or fish","1346794819","2.73872771097565","16","Agriculture"
"Sugar and candy","140298486","0.28529910124055","17","Agriculture"
"Cocoa","2318423","0.004714548367937625","18","Agriculture"
"Preparations of cereals, flour, starch or milk","51594736","0.10491867894813527","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","221139210","0.449689940788422","20","Agriculture"
"Miscellaneous edible preparations","89090248","0.18116637184308396","21","Agriculture"
"Beverages","30234678","0.06148267672466137","22","Agriculture"
"Food residues and animal feed","120653789","0.24535131165255025","23","Agriculture"
"Tobacco","79693937","0.1620588307732773","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1161401150","2.361726870486266","25","Minerals"
"Ores, slag and ash","341280367","0.6939988074863834","26","Minerals"
"Mineral fuels, oils and waxes","466710946","0.9490637941233868","27","Minerals"
"Inorganic chemicals","1207141066","2.454739684078697","28","Chemicals"
"Organic chemicals","23830262","0.04845919955919433","29","Chemicals"
"Pharmaceutical products","72698684","0.1478338775984422","30","Chemicals"
"Fertilisers","2744321094","5.580618607913438","31","Chemicals"
"Dyes, paints, inks, etc.","24016840","0.04883860875475229","32","Chemicals"
"Essential oils","103064429","0.2095830810574141","33","Chemicals"
"Soaps, waxes, and paints","23060061","0.046892984132788564","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","1595026","0.0032435095860928213","35","Chemicals"
"Explosives","4806238","0.009773557939521732","36","Chemicals"
"Photographic or cinematographic goods","169655","0.0003449960181392514","37","Chemicals"
"Miscellaneous chemical products","7779252","0.015819227043717","38","Chemicals"
"Plastics","183363706","0.37287287991073864","39","Chemicals"
"Rubber","73485873","0.14943463838075344","40","Chemicals"
"Leather and skins","44545343","0.09058363126136675","41","Agriculture"
"Articles of leather","76848072","0.15627172109091095","42","Agriculture"
"Furskins","818320","0.001664066143430563","43","Agriculture"
"Wood","39037145","0.07938262700494879","44","Agriculture"
"Cork","19744981","0.040151718624474225","45","Agriculture"
"Manufactues of plaiting materials","7830285","0.01592300342398107","46","Agriculture"
"Pulp of wood","3892705","0.007915874715102736","47","Agriculture"
"Paper and paperboard","91716365","0.18650662063131768","48","Agriculture"
"Products of the printing industry","12048023","0.024499837679114192","49","Agriculture"
"Silk","45092","0.00009169526657001046","50","Textiles"
"Wool","13002180","0.02644013042427168","51","Textiles"
"Cotton","37452916","0.07616107328227202","52","Textiles"
"Other vegetable textile fibres","364450","0.0007411146079446535","53","Textiles"
"Man-made filaments","20077432","0.040827762780121936","54","Textiles"
"Man-made staple fibres","28363451","0.05767750821188747","55","Textiles"
"Wadding, felt and nonwovens","15491435","0.031502068257717335","56","Textiles"
"Carpets","18645397","0.03791569786699799","57","Textiles"
"Special woven fabrics","12224906","0.024859531944986257","58","Textiles"
"Impregnated, coated or laminated textile fabrics","7849888","0.015962866422086542","59","Textiles"
"Knitted fabrics","6871078","0.013972441427156354","60","Textiles"
"Apparel, knit","1324481597","2.6933534352875936","61","Textiles"
"Apparel, not knit","3469626344","7.055537845103584","62","Textiles"
"Other made up textile articles","244789316","0.4977827903865547","63","Textiles"
"Footwear","443097205","0.901044893304834","64","Textiles"
"Headgear","8687412","0.017665984191065104","65","Textiles"
"Umbrellas and walking-sticks","914236","0.0018591127855916811","66","Textiles"
"Feathers and down","210488","0.00042803054355070437","67","Textiles"
"Articles of stone, plaster, cement, etc.","44579491","0.09065307173778901","68","Stone"
"Ceramic products","65857961","0.13392316352462416","69","Stone"
"Glass and glassware","45983083","0.09350729737860189","70","Stone"
"Precious metals and stones","114547636","0.23293435682570138","71","Stone"
"Iron and steel","127012181","0.258281198315298","72","Metals"
