"Name","Gross Import","Share","Code","Sector"
"Live animals","95699362","0.17077152076442906","01","Agriculture"
"Meat","33025216","0.05893212077938153","02","Agriculture"
"Fish","195118954","0.348181636827889","03","Agriculture"
"Diary products","246917928","0.4406147458805609","04","Agriculture"
"Animal products","82083668","0.14647488260457267","05","Agriculture"
"Plants","94275837","0.16823129976383155","06","Agriculture"
"Vegetables","114291570","0.20394854063347048","07","Agriculture"
"Fruits and nuts","288104958","0.5141112833900812","08","Agriculture"
"Coffee, tea and spices","404781770","0.7223161889064355","09","Agriculture"
"Cereals","1236164840","2.2058846081159573","10","Agriculture"
"Flours, starches and malts","15991336","0.02853587224306639","11","Agriculture"
"Oil seeds and oleaginous fruits","183036324","0.3266206874462838","12","Agriculture"
"Lac and other vegetable extracts","28478369","0.050818461914307986","13","Agriculture"
"Other vegetable materials","1662908","0.0029673899816733914","14","Agriculture"
"Animal or vegetable fats, oils or waxes","529004952","0.9439872769993368","15","Agriculture"
"Preparations of meat or fish","119006693","0.21236248100332725","16","Agriculture"
"Sugar and candy","311365692","0.5556190932256041","17","Agriculture"
"Cocoa","74432738","0.1328221170682445","18","Agriculture"
"Preparations of cereals, flour, starch or milk","131281210","0.23426584473462186","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","78103659","0.13937272251299215","20","Agriculture"
"Miscellaneous edible preparations","114182624","0.20375413103958828","21","Agriculture"
"Beverages","92638663","0.1653098310320339","22","Agriculture"
"Food residues and animal feed","435986532","0.7779997854369125","23","Agriculture"
"Tobacco","169716786","0.30285252731853285","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","657052864","1.1724834362835521","25","Minerals"
"Ores, slag and ash","64796244","0.11562619537320439","26","Minerals"
"Mineral fuels, oils and waxes","7085490761","12.643762793510389","27","Minerals"
"Inorganic chemicals","496377182","0.885764382033203","28","Chemicals"
"Organic chemicals","498543535","0.8896301486233981","29","Chemicals"
"Pharmaceutical products","561784181","1.0024804442350335","30","Chemicals"
"Fertilisers","257996343","0.4603837154710735","31","Chemicals"
"Dyes, paints, inks, etc.","284778496","0.508175350666673","32","Chemicals"
"Essential oils","330154891","0.5891476353194948","33","Chemicals"
"Soaps, waxes, and paints","169725201","0.30286754353512196","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","65152162","0.11626131620219628","35","Chemicals"
"Explosives","4238041","0.007562607435481145","36","Chemicals"
"Photographic or cinematographic goods","24913623","0.044457321329494946","37","Chemicals"
"Miscellaneous chemical products","398592735","0.7112721140356513","38","Chemicals"
"Plastics","2092197615","3.7334393979895233","39","Chemicals"
"Rubber","531191017","0.9478882188315287","40","Chemicals"
"Leather and skins","110225649","0.1966930741604753","41","Agriculture"
"Articles of leather","147783945","0.26371428716752304","42","Agriculture"
"Furskins","3255153","0.005808684786539053","43","Agriculture"
"Wood","448828304","0.8009153920608111","44","Agriculture"
"Cork","1231625","0.0021977834529501874","45","Agriculture"
"Manufactues of plaiting materials","921041","0.0016435592565015272","46","Agriculture"
"Pulp of wood","34607713","0.061756020684745026","47","Agriculture"
"Paper and paperboard","762428642","1.3605221178872484","48","Agriculture"
"Products of the printing industry","103730074","0.18510199144260506","49","Agriculture"
"Silk","9739741","0.0173801616610742","50","Textiles"
"Wool","108642262","0.19386758608722537","51","Textiles"
"Cotton","510291325","0.9105935899880454","52","Textiles"
"Other vegetable textile fibres","51958811","0.0927183315138668","53","Textiles"
"Man-made filaments","511075848","0.9119935385664347","54","Textiles"
"Man-made staple fibres","678546137","1.2108372856688285","55","Textiles"
"Wadding, felt and nonwovens","172046594","0.3070099725400499","56","Textiles"
"Carpets","55703225","0.09940008215240939","57","Textiles"
"Special woven fabrics","195296631","0.3484986940251445","58","Textiles"
"Impregnated, coated or laminated textile fabrics","231618235","0.4133130817290392","59","Textiles"
"Knitted fabrics","554484720","0.9894548604727234","60","Textiles"
"Apparel, knit","194698433","0.3474312346393835","61","Textiles"
"Apparel, not knit","316035758","0.5639526312578665","62","Textiles"
"Other made up textile articles","98760861","0.17623463806346373","63","Textiles"
"Footwear","194703970","0.3474411151849871","64","Textiles"
"Headgear","9808826","0.017503440962685538","65","Textiles"
"Umbrellas and walking-sticks","5114075","0.009125853577303342","66","Textiles"
"Feathers and down","4531413","0.008086117535681208","67","Textiles"
"Articles of stone, plaster, cement, etc.","176875578","0.31562709311633025","68","Stone"
"Ceramic products","252635007","0.4508166349502119","69","Stone"
"Glass and glassware","244021890","0.43544688683619676","70","Stone"
"Precious metals and stones","95783093","0.17092093524229285","71","Stone"
"Iron and steel","1227921633","2.1911749489714585","72","Metals"
"Articles of iron or steel","805215716","1.4368738671919112","73","Metals"
"Copper","604209948","1.078187456264929","74","Metals"
"Nickel","5182570","0.009248080048518058","75","Metals"
"Aluminium","474942766","0.8475155605100522","76","Metals"
"Lead","3228178","0.0057605490239137965","78","Metals"
"Zinc","62816008","0.11209254680831146","79","Metals"
"Tin","3422377","0.006107089041191356","80","Metals"
"Other base metals","7848243","0.014004862356749935","81","Metals"
"Metal tools and tableware","147851838","0.26383543939484155","82","Metals"
"Miscellaneous articles of base metal","295913611","0.5280454990427594","83","Metals"
"Industrial Machinery","4801284734","8.567692391180385","84","Machinery"
"Electrical machinery and equipment","4270925204","7.621287926226818","85","Electronics"
"Trains","92166264","0.1644668547158742","86","Vehicles"
"Vehicles","4316637329","7.702859307064483","87","Vehicles"
"Aircraft","1005129497","1.793611672853949","88","Vehicles"
"Ships","92299124","0.16470393784552725","89","Vehicles"
"Apparatuses (optical, medical, etc.)","698473980","1.2463976904985365","90","Machinery"
"Clocks","34800590","0.062100201648150825","91","Machinery"
"Musical instruments","3592994","0.006411547962853389","92","Machinery"
"Arms and ammunition","51588948","0.09205832641389032","93","Machinery"
"Furniture","536764680","0.9578341880297189","94","Textiles"
"Toys","119850337","0.2138679285408331","95","Machinery"
"Miscellaneous manufactured articles","148872381","0.2656565558210461","96","Machinery"
"Art","9831006","0.01754302024776536","97","Textiles"
"Other","782925632","1.3970981418046626","99","Other"
"Travel and tourism","2432403200","4.340522077631653","travel","Services"
"Transport","5389584384","9.61748858413391","transport","Services"
"ICT","2544535040","4.540616670142246","ict","Services"
"Insurance and finance","185475184","0.33097273141426276","financial","Services"
