"Name","Gross Export","Share","Code","Sector"
"Live animals","114666","0.0017449669411580048","01","Agriculture"
"Meat","190589","0.002900349749257521","02","Agriculture"
"Fish","56321628","0.8570925900633057","03","Agriculture"
"Diary products","248472","0.0037812030227217463","04","Agriculture"
"Animal products","568849","0.008656643639010603","05","Agriculture"
"Plants","586874","0.00893094490629448","06","Agriculture"
"Vegetables","67017016","1.0198531161378006","07","Agriculture"
"Fruits and nuts","110866014","1.6871394251823602","08","Agriculture"
"Coffee, tea and spices","5991870","0.09118321966159465","09","Agriculture"
"Cereals","9468020","0.14408265656971386","10","Agriculture"
"Flours, starches and malts","2532620","0.03854096396940318","11","Agriculture"
"Oil seeds and oleaginous fruits","93071730","1.4163491532484231","12","Agriculture"
"Lac and other vegetable extracts","169035","0.0025723447830973724","13","Agriculture"
"Animal or vegetable fats, oils or waxes","19492584","0.2966347014611608","15","Agriculture"
"Preparations of meat or fish","14179924","0.21578757964987857","16","Agriculture"
"Sugar and candy","81821502","1.245145170023316","17","Agriculture"
"Cocoa","15268","0.00023234572809377157","18","Agriculture"
"Preparations of cereals, flour, starch or milk","2786324","0.042401786644298535","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","4342064","0.06607676326367266","20","Agriculture"
"Miscellaneous edible preparations","158634","0.0024140642016261048","21","Agriculture"
"Beverages","3639707","0.05538841845447977","22","Agriculture"
"Food residues and animal feed","14415424","0.2193713770670965","23","Agriculture"
"Tobacco","213157911","3.243799451810477","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","78390035","1.1929257111194156","25","Minerals"
"Ores, slag and ash","278074166","4.2316835579865275","26","Minerals"
"Mineral fuels, oils and waxes","2754652881","41.91982114759959","27","Minerals"
"Inorganic chemicals","434744","0.006615857428241986","28","Chemicals"
"Organic chemicals","281921","0.004290223998554112","29","Chemicals"
"Pharmaceutical products","289221","0.004401314109576154","30","Chemicals"
"Fertilisers","65167911","0.991713762748566","31","Chemicals"
"Dyes, paints, inks, etc.","120089","0.0018274931976062965","32","Chemicals"
"Essential oils","258230","0.003929698543729018","33","Chemicals"
"Soaps, waxes, and paints","26486","0.0004030592713054516","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","2203","0.00003352486501117231","35","Chemicals"
"Photographic or cinematographic goods","70709","0.001076037076747609","37","Chemicals"
"Miscellaneous chemical products","23007908","0.3501302813842358","38","Chemicals"
"Plastics","3145488","0.0478674809778767","39","Chemicals"
"Rubber","820206","0.012481750082321197","40","Chemicals"
"Leather and skins","2495190","0.03797136083850523","41","Agriculture"
"Articles of leather","85814","0.0013059022996226694","42","Agriculture"
"Furskins","5830","0.00008871991058335659","43","Agriculture"
"Wood","216884790","3.3005144383687943","44","Agriculture"
"Cork","563","0.00000856763458978212","45","Agriculture"
"Manufactues of plaiting materials","6986","0.00010631171446575115","46","Agriculture"
"Pulp of wood","142533","0.002169042026617078","47","Agriculture"
"Paper and paperboard","1159629","0.01764702936361359","48","Agriculture"
"Products of the printing industry","26979249","0.4105654474933298","49","Agriculture"
"Cotton","13719366","0.20877888932767452","52","Textiles"
"Other vegetable textile fibres","3965321","0.060343554812059365","53","Textiles"
"Man-made filaments","126377","0.0019231828713195292","54","Textiles"
"Man-made staple fibres","122794","0.0018686574099781627","55","Textiles"
"Wadding, felt and nonwovens","2547000","0.03875979627029318","56","Textiles"
"Carpets","56342","0.0008574026075621743","57","Textiles"
"Special woven fabrics","19140","0.0002912691404057367","58","Textiles"
"Impregnated, coated or laminated textile fabrics","35135","0.0005346782261314295","59","Textiles"
"Knitted fabrics","14406","0.00021922796429911406","60","Textiles"
"Apparel, knit","335149","0.005100238303962501","61","Textiles"
"Apparel, not knit","4666809","0.07101867533269361","62","Textiles"
"Other made up textile articles","1248018","0.018992117558562525","63","Textiles"
"Footwear","471861","0.00718069738040707","64","Textiles"
"Headgear","12451","0.00018947711949800564","65","Textiles"
"Feathers and down","25306861","0.38511534220676397","67","Textiles"
"Articles of stone, plaster, cement, etc.","1420272","0.021613448515273588","68","Stone"
"Ceramic products","416156","0.006332988526368327","69","Stone"
"Glass and glassware","609354","0.009273041576948658","70","Stone"
"Precious metals and stones","231806169","3.527585349288241","71","Stone"
"Iron and steel","15516366","0.23612531802720998","72","Metals"
"Articles of iron or steel","10147493","0.15442275670758782","73","Metals"
