"Name","Gross Import","Share","Code","Sector"
"Live animals","5717789","0.041634369373678815","01","Agriculture"
"Meat","54267622","0.3951524303151408","02","Agriculture"
"Fish","57310564","0.4173097661683318","03","Agriculture"
"Diary products","64289996","0.4681308527642999","04","Agriculture"
"Animal products","631649","0.004599384094186555","05","Agriculture"
"Plants","2126938","0.015487406465491063","06","Agriculture"
"Vegetables","42818236","0.31178314791842643","07","Agriculture"
"Fruits and nuts","12416169","0.09040896163744767","08","Agriculture"
"Coffee, tea and spices","11439103","0.08329440621288359","09","Agriculture"
"Cereals","344907698","2.5114628221428354","10","Agriculture"
"Flours, starches and malts","30314298","0.22073509187480914","11","Agriculture"
"Oil seeds and oleaginous fruits","7638998","0.055623749735569765","12","Agriculture"
"Lac and other vegetable extracts","386364","0.0028133289788573944","13","Agriculture"
"Other vegetable materials","243955","0.0017763706531590821","14","Agriculture"
"Animal or vegetable fats, oils or waxes","304423095","2.216672140771287","15","Agriculture"
"Preparations of meat or fish","16668646","0.12137358767927496","16","Agriculture"
"Sugar and candy","83985088","0.6115416598396548","17","Agriculture"
"Cocoa","8046385","0.05859015875066893","18","Agriculture"
"Preparations of cereals, flour, starch or milk","32460709","0.23636429197326103","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","33583336","0.24453875717071147","20","Agriculture"
"Miscellaneous edible preparations","81743746","0.5952212148703249","21","Agriculture"
"Beverages","87164725","0.6346943472389652","22","Agriculture"
"Food residues and animal feed","14188884","0.10331707543882458","23","Agriculture"
"Tobacco","22292850","0.16232651314905389","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","68265864","0.4970813364028164","25","Minerals"
"Ores, slag and ash","881366376","6.417713779211629","26","Minerals"
"Mineral fuels, oils and waxes","1832707096","13.34494927823084","27","Minerals"
"Inorganic chemicals","585559668","4.263782295541289","28","Chemicals"
"Organic chemicals","27863296","0.20288799702684857","29","Chemicals"
"Pharmaceutical products","153294644","1.1162226922509026","30","Chemicals"
"Fertilisers","185516523","1.3508479315173367","31","Chemicals"
"Dyes, paints, inks, etc.","26096817","0.19002529097441348","32","Chemicals"
"Essential oils","59957214","0.4365814818092634","33","Chemicals"
"Soaps, waxes, and paints","81600953","0.594181460429233","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","7569451","0.05511733974268069","35","Chemicals"
"Explosives","5287868","0.03850387789952659","36","Chemicals"
"Photographic or cinematographic goods","2547266","0.018548046025660153","37","Chemicals"
"Miscellaneous chemical products","100112955","0.7289775379190252","38","Chemicals"
"Plastics","295708827","2.153218758225476","39","Chemicals"
"Rubber","100973054","0.7352403922258092","40","Chemicals"
"Leather and skins","336119","0.0024474674737930257","41","Agriculture"
"Articles of leather","29083293","0.21177146679685582","42","Agriculture"
"Furskins","10366","0.00007548055252258427","43","Agriculture"
"Wood","36513592","0.26587556422382913","44","Agriculture"
"Cork","44326","0.0003227620076322661","45","Agriculture"
"Manufactues of plaiting materials","72067","0.0005247595001586997","46","Agriculture"
"Pulp of wood","636529","0.00463491806064519","47","Agriculture"
"Paper and paperboard","123017936","0.8957613138595321","48","Agriculture"
"Products of the printing industry","42476823","0.3092971319162662","49","Agriculture"
"Silk","26656","0.0001940970102297903","50","Textiles"
"Wool","196756","0.001432688750929345","51","Textiles"
"Cotton","56386830","0.4105835503952373","52","Textiles"
"Other vegetable textile fibres","302313","0.002201307377460932","53","Textiles"
"Man-made filaments","27089336","0.1972523681989131","54","Textiles"
"Man-made staple fibres","39051714","0.28435702775168237","55","Textiles"
"Wadding, felt and nonwovens","16018502","0.11663953130852027","56","Textiles"
"Carpets","2798735","0.02037913024930493","57","Textiles"
"Special woven fabrics","2947790","0.021464481759651616","58","Textiles"
"Impregnated, coated or laminated textile fabrics","6101273","0.044426727487085205","59","Textiles"
"Knitted fabrics","4252505","0.030964829925241386","60","Textiles"
"Apparel, knit","82746038","0.6025194546878984","61","Textiles"
"Apparel, not knit","51966596","0.37839739328554095","62","Textiles"
"Other made up textile articles","109578738","0.7979031148917133","63","Textiles"
"Footwear","100652304","0.7329048349017093","64","Textiles"
"Headgear","3459883","0.02519331280180363","65","Textiles"
"Umbrellas and walking-sticks","7022960","0.05113803792629832","66","Textiles"
"Feathers and down","16650896","0.12124434015783217","67","Textiles"
"Articles of stone, plaster, cement, etc.","20086337","0.14625967730222147","68","Stone"
"Ceramic products","93759031","0.6827111194155997","69","Stone"
"Glass and glassware","57045809","0.4153819392646933","70","Stone"
"Precious metals and stones","2024126","0.014738775695092457","71","Stone"
"Iron and steel","308522732","2.2465238546341104","72","Metals"
"Articles of iron or steel","199482887","1.4525447163380516","73","Metals"
"Copper","5775230","0.04205262891616866","74","Metals"
"Nickel","198281","0.0014437931154476684","75","Metals"
"Aluminium","127591972","0.9290673879998169","76","Metals"
"Lead","168879","0.0012297009675343923","78","Metals"
"Zinc","5138931","0.03741938561213935","79","Metals"
"Tin","88477","0.0006442497439263639","80","Metals"
"Other base metals","101659","0.0007402351426677015","81","Metals"
"Metal tools and tableware","35660939","0.2596669283420966","82","Metals"
"Miscellaneous articles of base metal","38289669","0.2788081585979999","83","Metals"
"Industrial Machinery","741932917","5.402422005581001","84","Machinery"
"Electrical machinery and equipment","503094210","3.6633058982937525","85","Electronics"
"Trains","58741293","0.42772769163910973","86","Vehicles"
"Vehicles","410334288","2.9878698415204727","87","Vehicles"
"Aircraft","14264464","0.10386741502590319","88","Vehicles"
"Ships","14932857","0.10873435241180206","89","Vehicles"
"Apparatuses (optical, medical, etc.)","97964201","0.7133312771477428","90","Machinery"
"Clocks","1528976","0.011133315963126646","91","Machinery"
"Musical instruments","467387","0.0034033020453282936","92","Machinery"
"Arms and ammunition","386693","0.002815724608973151","93","Machinery"
"Furniture","161370573","1.1750279771296566","94","Textiles"
"Toys","13563639","0.09876432239406448","95","Machinery"
"Miscellaneous manufactured articles","19143616","0.13939520672971104","96","Machinery"
"Art","269120","0.001959610871587679","97","Textiles"
"Other","99293336","0.7230094407766359","99","Other"
"Unspecified","3289582592","23.953261780130706","unspecified","Services"
"Travel and tourism","131902816","0.9604570162999004","travel","Services"
"Transport","568266496","4.137861190252067","transport","Services"
"ICT","105618672","0.7690676943142581","ict","Services"
"Insurance and finance","113810096","0.8287139618684505","financial","Services"
