"Name","Gross Export","Share","Code","Sector"
"Live animals","292586583","1.4505641911641323","01","Agriculture"
"Meat","9062397","0.044928883749646376","02","Agriculture"
"Fish","442824252","2.1954014307287695","03","Agriculture"
"Diary products","3668037","0.01818512342401261","04","Agriculture"
"Animal products","12141765","0.060195547403244974","05","Agriculture"
"Plants","494620","0.002452190571683197","06","Agriculture"
"Vegetables","453917947","2.2504009339517066","07","Agriculture"
"Fruits and nuts","160219640","0.7943251194987587","08","Agriculture"
"Coffee, tea and spices","41274293","0.20462664701688116","09","Agriculture"
"Cereals","620720434","3.0773620070072014","10","Agriculture"
"Flours, starches and malts","3074150","0.015240794237879381","11","Agriculture"
"Oil seeds and oleaginous fruits","145941884","0.7235399133849881","12","Agriculture"
"Lac and other vegetable extracts","76050","0.0003770350834509464","13","Agriculture"
"Other vegetable materials","2437581","0.012084859378743477","14","Agriculture"
"Animal or vegetable fats, oils or waxes","2848428","0.014121726346929816","15","Agriculture"
"Preparations of meat or fish","49844811","0.24711692932257268","16","Agriculture"
"Sugar and candy","544417291","2.6990719098530334","17","Agriculture"
"Cocoa","184845","0.000916410913878898","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1702617","0.008441109042472058","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","18058462","0.08952891159981255","20","Agriculture"
"Miscellaneous edible preparations","2555987","0.01267188391643043","21","Agriculture"
"Beverages","6304778","0.03125736356830626","22","Agriculture"
"Food residues and animal feed","33998744","0.16855646655183912","23","Agriculture"
"Tobacco","42835443","0.21236640139596658","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","19452572","0.09644052738140096","25","Minerals"
"Ores, slag and ash","677465245","3.358687247648795","26","Minerals"
"Mineral fuels, oils and waxes","3662869564","18.159504690764912","27","Minerals"
"Inorganic chemicals","56393638","0.2795842210313276","28","Chemicals"
"Organic chemicals","424647","0.0021052835908243793","29","Chemicals"
"Pharmaceutical products","212922","0.0010556089945896437","30","Chemicals"
"Fertilisers","2043","0.000010128634786197023","31","Chemicals"
"Dyes, paints, inks, etc.","544795","0.0027009444876878153","32","Chemicals"
"Essential oils","2452063","0.012156657170703196","33","Chemicals"
"Soaps, waxes, and paints","692052","0.003431004386224778","34","Chemicals"
"Photographic or cinematographic goods","458637","0.002273796707017642","37","Chemicals"
"Miscellaneous chemical products","9587765","0.04753351448892917","38","Chemicals"
"Plastics","76107652","0.3773209062863325","39","Chemicals"
"Rubber","238731324","1.1835645584049301","40","Chemicals"
"Leather and skins","6845958","0.03394038587549868","41","Agriculture"
"Articles of leather","258294454","1.2805532020881871","42","Agriculture"
"Furskins","376566","0.001866911153646142","43","Agriculture"
"Wood","256030180","1.2693275513775257","44","Agriculture"
"Manufactues of plaiting materials","2568278","0.012732819330114789","46","Agriculture"
"Pulp of wood","4157562","0.020612054380308793","47","Agriculture"
"Paper and paperboard","11040646","0.05473650080160892","48","Agriculture"
"Products of the printing industry","28263205","0.140121234132363","49","Agriculture"
"Silk","315756","0.0015654318186737284","50","Textiles"
"Wool","777675","0.003855499783336157","51","Textiles"
"Cotton","8765766","0.04345826844604166","52","Textiles"
"Other vegetable textile fibres","420346","0.0020839604101021898","53","Textiles"
"Man-made filaments","3367962","0.016697433711106067","54","Textiles"
"Man-made staple fibres","10043976","0.04979528375199609","55","Textiles"
"Wadding, felt and nonwovens","1647610","0.00816839939309157","56","Textiles"
"Carpets","72528","0.0003595739714994115","57","Textiles"
"Special woven fabrics","10127346","0.050208609391802876","58","Textiles"
"Impregnated, coated or laminated textile fabrics","1096522","0.005436255933935551","59","Textiles"
"Knitted fabrics","20604396","0.10215095549396906","60","Textiles"
"Apparel, knit","1173355024","5.817173036047695","61","Textiles"
"Apparel, not knit","2835604771","14.058152287546177","62","Textiles"
"Other made up textile articles","45790886","0.2270186788205493","63","Textiles"
"Footwear","388436020","1.9257594637219395","64","Textiles"
"Headgear","13835641","0.06859332096031999","65","Textiles"
"Umbrellas and walking-sticks","2886205","0.014309014372538315","66","Textiles"
"Feathers and down","10463631","0.05187581837324011","67","Textiles"
"Articles of stone, plaster, cement, etc.","1499087","0.0074320630130865085","68","Stone"
"Ceramic products","84721","0.0004200235280085158","69","Stone"
"Glass and glassware","3789927","0.01878942068005253","70","Stone"
"Precious metals and stones","402567812","1.9958210202772508","71","Stone"
"Iron and steel","248631291","1.2326458849533404","72","Metals"
"Articles of iron or steel","28741586","0.14249291618701582","73","Metals"
"Copper","615007618","3.0490394290019434","74","Metals"
"Aluminium","29137918","0.14445782175827526","76","Metals"
"Lead","26030305","0.12905112712595118","78","Metals"
"Zinc","24333999","0.12064130629402034","79","Metals"
"Tin","315966","0.0015664729411921333","80","Metals"
"Other base metals","6853902","0.03397977005305205","81","Metals"
"Metal tools and tableware","894332","0.00443385325776268","82","Metals"
"Miscellaneous articles of base metal","3465792","0.017182448072894443","83","Metals"
"Industrial Machinery","75739273","0.37549458403772534","84","Machinery"
"Electrical machinery and equipment","162511790","0.8056889717871489","85","Electronics"
"Trains","702976","0.0034851625880869493","86","Vehicles"
"Vehicles","11764130","0.05832333644020752","87","Vehicles"
"Aircraft","119559104","0.5927413116891569","88","Vehicles"
"Ships","105142532","0.5212678938443629","89","Vehicles"
"Apparatuses (optical, medical, etc.)","150118520","0.7442465314363257","90","Machinery"
"Clocks","4819881","0.02389565069110626","91","Machinery"
"Musical instruments","113259","0.0005615071205334745","92","Machinery"
"Arms and ammunition","369533","0.0018320434647321312","93","Machinery"
"Furniture","15586771","0.07727494417772243","94","Textiles"
"Toys","11117428","0.05511716494069545","95","Machinery"
"Miscellaneous manufactured articles","6597404","0.0327081231781671","96","Machinery"
"Art","312834","0.0015509453424890649","97","Textiles"
"Other","693828096","3.4398097840364397","99","Other"
"Travel and tourism","2100967168","10.416020138258759","travel","Services"
"Transport","481765728","2.388462609602708","transport","Services"
"ICT","2097177984","10.397234401169332","ict","Services"
"Insurance and finance","9213197","0.04567650887238671","financial","Services"
