"Name","Gross Import","Share","Code","Sector"
"Live animals","20121695","0.06989248848790865","01","Agriculture"
"Meat","122615765","0.42590452462869616","02","Agriculture"
"Fish","13510361","0.04692809182625966","03","Agriculture"
"Diary products","76496018","0.2657080855979505","04","Agriculture"
"Animal products","106465809","0.3698078283111031","05","Agriculture"
"Plants","6626133","0.02301580082701043","06","Agriculture"
"Vegetables","15441476","0.053635798751860496","07","Agriculture"
"Fruits and nuts","220801524","0.7669516894219243","08","Agriculture"
"Coffee, tea and spices","62795641","0.21811997526467547","09","Agriculture"
"Cereals","119258716","0.4142438514803433","10","Agriculture"
"Flours, starches and malts","47189546","0.163912374208765","11","Agriculture"
"Oil seeds and oleaginous fruits","57725016","0.20050721453855366","12","Agriculture"
"Lac and other vegetable extracts","7549933","0.02622461006823638","13","Agriculture"
"Other vegetable materials","366221","0.0012720646559114626","14","Agriculture"
"Animal or vegetable fats, oils or waxes","715211396","2.4842789964439413","15","Agriculture"
"Preparations of meat or fish","35222204","0.12234394207788012","16","Agriculture"
"Sugar and candy","492031223","1.7090650956203794","17","Agriculture"
"Cocoa","12736346","0.044239559151603346","18","Agriculture"
"Preparations of cereals, flour, starch or milk","254940781","0.8855340268869466","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","31454443","0.109256665269555","20","Agriculture"
"Miscellaneous edible preparations","435817391","1.5138069622513353","21","Agriculture"
"Beverages","399713984","1.3884021711479129","22","Agriculture"
"Food residues and animal feed","216403044","0.7516736170346677","23","Agriculture"
"Tobacco","123096664","0.427574922068939","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","116627809","0.40510542466241084","25","Minerals"
"Ores, slag and ash","402789","0.0013990832057416752","26","Minerals"
"Mineral fuels, oils and waxes","3427837304","11.906555551520078","27","Minerals"
"Inorganic chemicals","96635368","0.3356618985361231","28","Chemicals"
"Organic chemicals","178826582","0.6211521854280692","29","Chemicals"
"Pharmaceutical products","493554109","1.7143548235594719","30","Chemicals"
"Fertilisers","472449718","1.6410489512156252","31","Chemicals"
"Dyes, paints, inks, etc.","96709950","0.3359209583010388","32","Chemicals"
"Essential oils","191301868","0.6644849555122181","33","Chemicals"
"Soaps, waxes, and paints","136110221","0.47277737061063707","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","32742861","0.11373197116364665","35","Chemicals"
"Explosives","6021005","0.02091389530793208","36","Chemicals"
"Photographic or cinematographic goods","13693277","0.047563448560583206","37","Chemicals"
"Miscellaneous chemical products","243562032","0.846010066132681","38","Chemicals"
"Plastics","901229851","3.1304120744289747","39","Chemicals"
"Rubber","273162783","0.9488279524241169","40","Chemicals"
"Leather and skins","60811706","0.21122879864420396","41","Agriculture"
"Articles of leather","28653926","0.09952909996341691","42","Agriculture"
"Furskins","17506990","0.06081033914056107","43","Agriculture"
"Wood","57187828","0.19864129786971227","44","Agriculture"
"Cork","2078012","0.007217952055616389","45","Agriculture"
"Manufactues of plaiting materials","3494874","0.012139406785148629","46","Agriculture"
"Pulp of wood","2324609","0.008074504050050894","47","Agriculture"
"Paper and paperboard","341634406","1.186663389362999","48","Agriculture"
"Products of the printing industry","24646862","0.08561060679023677","49","Agriculture"
"Silk","5928901","0.020593973066804265","50","Textiles"
"Wool","36465899","0.12666390311843706","51","Textiles"
"Cotton","400397596","1.39077668998642","52","Textiles"
"Other vegetable textile fibres","28275551","0.09821481852084399","53","Textiles"
"Man-made filaments","550217160","1.9111733142337062","54","Textiles"
"Man-made staple fibres","1148846435","3.990505582785764","55","Textiles"
"Wadding, felt and nonwovens","133755748","0.4645991342817596","56","Textiles"
"Carpets","21169431","0.07353178807566045","57","Textiles"
"Special woven fabrics","121104895","0.4206565341347677","58","Textiles"
"Impregnated, coated or laminated textile fabrics","141035476","0.4898851902246166","59","Textiles"
"Knitted fabrics","486109080","1.688494596392991","60","Textiles"
"Apparel, knit","151989727","0.5279346617980184","61","Textiles"
"Apparel, not knit","82423371","0.2862966817036101","62","Textiles"
"Other made up textile articles","137059890","0.476076035541689","63","Textiles"
"Footwear","130788351","0.4542919131126903","64","Textiles"
"Headgear","9520504","0.03306936698022151","65","Textiles"
"Umbrellas and walking-sticks","11426833","0.039690980004704106","66","Textiles"
"Feathers and down","10076310","0.03499995306934126","67","Textiles"
"Articles of stone, plaster, cement, etc.","97678523","0.339285286070255","68","Stone"
"Ceramic products","147456925","0.5121900234063238","69","Stone"
"Glass and glassware","98246999","0.34125988126641776","70","Stone"
"Precious metals and stones","21836138","0.07584758758073733","71","Stone"
"Iron and steel","1255173015","4.359829800681359","72","Metals"
"Articles of iron or steel","724245398","2.515658504024428","73","Metals"
"Copper","29269787","0.10166828644112924","74","Metals"
"Nickel","363623","0.0012630405311997227","75","Metals"
"Aluminium","191475232","0.6650871334785483","76","Metals"
"Lead","1104496","0.003836454829721907","78","Metals"
"Zinc","4803347","0.016684373503371885","79","Metals"
"Tin","1161135","0.00403318977950952","80","Metals"
"Other base metals","1041196","0.0036165829689624326","81","Metals"
"Metal tools and tableware","59965955","0.20829109175464333","82","Metals"
"Miscellaneous articles of base metal","94108935","0.326886361019628","83","Metals"
"Industrial Machinery","2243174677","7.791642815806059","84","Machinery"
"Electrical machinery and equipment","2424755824","8.422362952768614","85","Electronics"
"Trains","57253492","0.1988693810587314","86","Vehicles"
"Vehicles","1582231542","5.495864033046964","87","Vehicles"
"Aircraft","105572769","0.36670586359494756","88","Vehicles"
"Ships","376702913","1.3084734665849052","89","Vehicles"
"Apparatuses (optical, medical, etc.)","265718119","0.9229689930811614","90","Machinery"
"Clocks","12849432","0.044632362141269165","91","Machinery"
"Musical instruments","3026526","0.010512605106744547","92","Machinery"
"Arms and ammunition","4407294","0.015308687720285435","93","Machinery"
"Furniture","189832957","0.6593827091479201","94","Textiles"
"Toys","29933347","0.10397315487597218","95","Machinery"
"Miscellaneous manufactured articles","169122652","0.5874456902340772","96","Machinery"
"Art","474890","0.0016495252441716735","97","Textiles"
"Other","720968064","2.5042747200606006","99","Other"
"Unspecified","1282486528","4.45470299068433","unspecified","Services"
"Travel and tourism","88680832","0.30803190435289673","travel","Services"
"Transport","1541983488","5.356062855717932","transport","Services"
"ICT","486937408","1.6913717846817615","ict","Services"
"Insurance and finance","56063060","0.19473442846872155","financial","Services"
