"Name","Gross Export","Share","Code","Sector"
"Live animals","155852245","2.2323089277436736","01","Agriculture"
"Meat","63647121","0.9116329150952035","02","Agriculture"
"Fish","626798461","8.97778405685651","03","Agriculture"
"Diary products","2172508","0.031117350949898426","04","Agriculture"
"Animal products","1645794","0.023573100531384526","05","Agriculture"
"Plants","646093","0.009254144347119884","06","Agriculture"
"Vegetables","8744582","0.12525073647791618","07","Agriculture"
"Fruits and nuts","41483169","0.5941733371232452","08","Agriculture"
"Coffee, tea and spices","645128","0.009240322421646352","09","Agriculture"
"Cereals","932033","0.013349731258935148","10","Agriculture"
"Flours, starches and malts","6205491","0.08888272966701902","11","Agriculture"
"Oil seeds and oleaginous fruits","3051044","0.04370083190100193","12","Agriculture"
"Lac and other vegetable extracts","39639","0.0005677588640884287","13","Agriculture"
"Other vegetable materials","3518","0.0000503891542133528","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1859721","0.026637228045142323","15","Agriculture"
"Preparations of meat or fish","31426670","0.4501317001256817","16","Agriculture"
"Sugar and candy","620635","0.00888950333291763","17","Agriculture"
"Cocoa","385213","0.00551749780045147","18","Agriculture"
"Preparations of cereals, flour, starch or milk","10168210","0.14564170033080048","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","642474","0.00920230854578443","20","Agriculture"
"Miscellaneous edible preparations","878769","0.012586818265751516","21","Agriculture"
"Beverages","73232610","1.0489281633701883","22","Agriculture"
"Food residues and animal feed","10822929","0.15501939693609104","23","Agriculture"
"Tobacco","20189188","0.28917456156178845","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","60378636","0.8648176238191857","25","Minerals"
"Ores, slag and ash","231049370","3.3093753086492357","26","Minerals"
"Mineral fuels, oils and waxes","37478820","0.5368180900268594","27","Minerals"
"Inorganic chemicals","173748813","2.488645745492893","28","Chemicals"
"Organic chemicals","3409478","0.04883476768875318","29","Chemicals"
"Pharmaceutical products","1278002","0.018305127874637096","30","Chemicals"
"Fertilisers","1199584","0.01718192813185634","31","Chemicals"
"Dyes, paints, inks, etc.","1188454","0.01702251048364866","32","Chemicals"
"Essential oils","7314619","0.10476903490702685","33","Chemicals"
"Soaps, waxes, and paints","1614551","0.02312559958053524","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","54358","0.0007785826164665809","35","Chemicals"
"Explosives","393856","0.005641293553682286","36","Chemicals"
"Photographic or cinematographic goods","12135","0.00017381250323451856","37","Chemicals"
"Miscellaneous chemical products","4331157","0.06203619613281481","38","Chemicals"
"Plastics","39918840","0.5717670792433645","39","Chemicals"
