"Name","Gross Import","Share","Code","Sector"
"Live animals","4222964","0.05515264971648014","01","Agriculture"
"Meat","36840877","0.48114830825669597","02","Agriculture"
"Fish","46144002","0.6026487506932475","03","Agriculture"
"Diary products","44322975","0.5788658190236304","04","Agriculture"
"Animal products","3085485","0.04029697468660726","05","Agriculture"
"Plants","4481033","0.05852307607097483","06","Agriculture"
"Vegetables","26312953","0.34365177629153487","07","Agriculture"
"Fruits and nuts","21775351","0.2843898991694946","08","Agriculture"
"Coffee, tea and spices","26898252","0.35129588377774745","09","Agriculture"
"Cereals","54341568","0.7097103988924097","10","Agriculture"
"Flours, starches and malts","21179958","0.27661396227478174","11","Agriculture"
"Oil seeds and oleaginous fruits","5696302","0.07439470212989864","12","Agriculture"
"Lac and other vegetable extracts","1019817","0.013318988695123053","13","Agriculture"
"Other vegetable materials","88337","0.001153696696918256","14","Agriculture"
"Animal or vegetable fats, oils or waxes","38631586","0.5045352815345047","15","Agriculture"
"Preparations of meat or fish","20979454","0.2739953449058548","16","Agriculture"
"Sugar and candy","75929720","0.9916554463240549","17","Agriculture"
"Cocoa","11882601","0.15518885092880183","18","Agriculture"
"Preparations of cereals, flour, starch or milk","46032389","0.6011910653583014","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","59491256","0.7769662264138287","20","Agriculture"
"Miscellaneous edible preparations","54697780","0.7143625900218646","21","Agriculture"
"Beverages","133453899","1.7429313024798505","22","Agriculture"
"Food residues and animal feed","39940509","0.5216300452419018","23","Agriculture"
"Tobacco","58974789","0.7702210769071974","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","24069633","0.31435362405486555","25","Minerals"
"Ores, slag and ash","310228972","4.051644727404668","26","Minerals"
"Mineral fuels, oils and waxes","602276191","7.865832575129433","27","Minerals"
"Inorganic chemicals","80343884","1.0493052015393722","28","Chemicals"
"Organic chemicals","12793940","0.16709109793824053","29","Chemicals"
"Pharmaceutical products","145613239","1.9017344132341893","30","Chemicals"
"Fertilisers","34706021","0.4532667148632581","31","Chemicals"
"Dyes, paints, inks, etc.","30697846","0.4009192471184815","32","Chemicals"
"Essential oils","97586634","1.2744985375230173","33","Chemicals"
"Soaps, waxes, and paints","65962348","0.8614798216893548","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","5755341","0.07516576181371581","35","Chemicals"
"Explosives","7539266","0.09846413486294658","36","Chemicals"
"Photographic or cinematographic goods","1074162","0.01402874391653676","37","Chemicals"
"Miscellaneous chemical products","74136347","0.9682336807395051","38","Chemicals"
"Plastics","152234259","1.9882060944575692","39","Chemicals"
"Rubber","77287160","1.009383850551782","40","Chemicals"
"Leather and skins","2348466","0.030671377418576916","41","Agriculture"
"Articles of leather","17812398","0.23263303866775362","42","Agriculture"
"Furskins","63581","0.0008303789995897489","43","Agriculture"
"Wood","49746763","0.6497014405682253","44","Agriculture"
"Cork","30745","0.0004015350866200095","45","Agriculture"
"Manufactues of plaiting materials","287208","0.0037509867997384846","46","Agriculture"
"Pulp of wood","9442","0.0001233141742678852","47","Agriculture"
"Paper and paperboard","132587522","1.7316162670678945","48","Agriculture"
"Products of the printing industry","25237448","0.32960549255970034","49","Agriculture"
"Silk","397500","0.0051914196432413014","50","Textiles"
"Wool","259275","0.0033861769257896557","51","Textiles"
"Cotton","1347064","0.01759289184981937","52","Textiles"
"Other vegetable textile fibres","144921","0.001892693650611755","53","Textiles"
"Man-made filaments","4499710","0.058767000963243554","54","Textiles"
"Man-made staple fibres","2784217","0.036362361823512865","55","Textiles"
"Wadding, felt and nonwovens","7313756","0.09551893475289037","56","Textiles"
"Carpets","3324904","0.04342382877356371","57","Textiles"
"Special woven fabrics","1360506","0.017768446724899748","58","Textiles"
"Impregnated, coated or laminated textile fabrics","2449931","0.03199652809556177","59","Textiles"
"Knitted fabrics","1412686","0.01844992666699869","60","Textiles"
"Apparel, knit","87317991","1.1403882608446971","61","Textiles"
"Apparel, not knit","62838965","0.8206878924828995","62","Textiles"
"Other made up textile articles","33819520","0.4416888564855146","63","Textiles"
"Footwear","51246942","0.6692940411442707","64","Textiles"
"Headgear","4537386","0.05925905612419641","65","Textiles"
"Umbrellas and walking-sticks","757087","0.009887688864006608","66","Textiles"
