"Name","Gross Import","Share","Code","Sector"
"Live animals","1210797649","0.15131292900578916","01","Agriculture"
"Meat","4679683062","0.5848182406984506","02","Agriculture"
"Fish","3518806300","0.4397439062561507","03","Agriculture"
"Diary products","4995516969","0.6242878858426922","04","Agriculture"
"Animal products","440110864","0.055000489944879744","05","Agriculture"
"Plants","2010094848","0.2512008007956799","06","Agriculture"
"Vegetables","2385787299","0.2981509457791328","07","Agriculture"
"Fruits and nuts","6555559264","0.8192457875402395","08","Agriculture"
"Coffee, tea and spices","1791692851","0.22390718497632545","09","Agriculture"
"Cereals","2992331968","0.37395060604031394","10","Agriculture"
"Flours, starches and malts","827470387","0.10340866454930148","11","Agriculture"
"Oil seeds and oleaginous fruits","3923416722","0.4903079192517593","12","Agriculture"
"Lac and other vegetable extracts","216429240","0.02704708111544814","13","Agriculture"
"Other vegetable materials","43693162","0.0054603181012159736","14","Agriculture"
"Animal or vegetable fats, oils or waxes","7304941809","0.9128958437023179","15","Agriculture"
"Preparations of meat or fish","2078673928","0.2597711027547997","16","Agriculture"
"Sugar and candy","1041296144","0.1301303893686979","17","Agriculture"
"Cocoa","4494177818","0.5616357197885726","18","Agriculture"
"Preparations of cereals, flour, starch or milk","2854629016","0.3567419196697447","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","3648006844","0.45589004988132825","20","Agriculture"
"Miscellaneous edible preparations","2741948440","0.3426602702622644","21","Agriculture"
"Beverages","4714820880","0.5892094006621683","22","Agriculture"
"Food residues and animal feed","4196170368","0.5243938403033521","23","Agriculture"
"Tobacco","1494747328","0.18679801411082608","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1729748998","0.21616608485189498","25","Minerals"
"Ores, slag and ash","4218790268","0.5272206407399443","26","Minerals"
"Mineral fuels, oils and waxes","110083730502","13.757122597569193","27","Minerals"
"Inorganic chemicals","4290345869","0.5361629174143514","28","Chemicals"
"Organic chemicals","18049547805","2.2556452334212973","29","Chemicals"
"Pharmaceutical products","28896621200","3.611199935640759","30","Chemicals"
"Fertilisers","739803132","0.09245292050494927","31","Chemicals"
"Dyes, paints, inks, etc.","3208646986","0.4009834128751743","32","Chemicals"
"Essential oils","4007871968","0.5008622597336051","33","Chemicals"
"Soaps, waxes, and paints","2247278124","0.28084150602201496","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","1314078472","0.16421989479909527","35","Chemicals"
"Explosives","80222753","0.010025407415816645","36","Chemicals"
"Photographic or cinematographic goods","383525001","0.0479289758253059","37","Chemicals"
"Miscellaneous chemical products","8598434458","1.074543135906176","38","Chemicals"
"Plastics","17214650216","2.1513083942179847","39","Chemicals"
"Rubber","4761756569","0.595074936148928","40","Chemicals"
"Leather and skins","266350940","0.03328577727924314","41","Agriculture"
"Articles of leather","2227142634","0.2783251813732323","42","Agriculture"
