"Name","Gross Export","Share","Code","Sector"
"Live animals","163467679","0.2881669706414092","01","Agriculture"
"Meat","4667207032","8.227528034870568","02","Agriculture"
"Fish","936485493","1.6508718372849513","03","Agriculture"
"Diary products","9583948694","16.8949450975729","04","Agriculture"
"Animal products","370598382","0.6533047616437239","05","Agriculture"
"Plants","44495187","0.0784377885851858","06","Agriculture"
"Vegetables","273138726","0.48149921573349025","07","Agriculture"
"Fruits and nuts","2439812428","4.300993080779115","08","Agriculture"
"Coffee, tea and spices","6978309","0.012301625477472412","09","Agriculture"
"Cereals","14903141","0.026271817286962165","10","Agriculture"
"Flours, starches and malts","23507095","0.04143919089185709","11","Agriculture"
"Oil seeds and oleaginous fruits","154441209","0.2722547699458482","12","Agriculture"
"Lac and other vegetable extracts","5957115","0.010501426299155436","13","Agriculture"
"Other vegetable materials","2068757","0.003646882621262457","14","Agriculture"
"Animal or vegetable fats, oils or waxes","164097312","0.2892769113669142","15","Agriculture"
"Preparations of meat or fish","365757351","0.6447708101825843","16","Agriculture"
"Sugar and candy","107775363","0.18999046206246206","17","Agriculture"
"Cocoa","56461076","0.09953170761098513","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1261760542","2.2242789234378413","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","222283009","0.39184884571944717","20","Agriculture"
"Miscellaneous edible preparations","855823274","1.5086774448727125","21","Agriculture"
"Beverages","1348686724","2.3775156653405864","22","Agriculture"
"Food residues and animal feed","270385924","0.47664647286732637","23","Agriculture"
"Tobacco","121895476","0.2148819281505343","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","47095334","0.08302142547778735","25","Minerals"
"Ores, slag and ash","113050006","0.19928880106025817","26","Minerals"
"Mineral fuels, oils and waxes","944096038","1.664287992154197","27","Minerals"
"Inorganic chemicals","16684459","0.029411991631818526","28","Chemicals"
"Organic chemicals","596795409","1.0520533854538354","29","Chemicals"
"Pharmaceutical products","318148258","0.5608437110231528","30","Chemicals"
"Fertilisers","5005125","0.008823222533988408","31","Chemicals"
"Dyes, paints, inks, etc.","52442561","0.09244771827981552","32","Chemicals"
"Essential oils","134617739","0.2373092117018796","33","Chemicals"
"Soaps, waxes, and paints","558352648","0.9842850409821328","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","239757784","0.42265403611057173","35","Chemicals"
"Explosives","878395","0.0015484677321231232","36","Chemicals"
"Photographic or cinematographic goods","4619115","0.008142749592684271","37","Chemicals"
"Miscellaneous chemical products","125536988","0.22130132241864733","38","Chemicals"
"Plastics","345748598","0.6094986280998974","39","Chemicals"
"Rubber","40634675","0.07163233288305394","40","Chemicals"
"Leather and skins","238918624","0.4211747333116163","41","Agriculture"
"Articles of leather","20236172","0.03567308484644544","42","Agriculture"
"Furskins","21784296","0.03840217604041328","43","Agriculture"
"Wood","3453232032","6.087487261523534","44","Agriculture"
"Cork","154709","0.00027272684198912365","45","Agriculture"
"Manufactues of plaiting materials","454519","0.000801243182323294","46","Agriculture"
"Pulp of wood","667324457","1.1763846430376819","47","Agriculture"
"Paper and paperboard","392281704","0.6915289369204906","48","Agriculture"
"Products of the printing industry","36967531","0.06516775356162234","49","Agriculture"
"Silk","242947","0.0004282761059843424","50","Textiles"
"Wool","391667838","0.6904467908553974","51","Textiles"
"Cotton","4603999","0.00811610253954898","52","Textiles"
"Other vegetable textile fibres","1677143","0.0029565307380576746","53","Textiles"
"Man-made filaments","8979204","0.015828878413641785","54","Textiles"
"Man-made staple fibres","8778072","0.015474315361828661","55","Textiles"
"Wadding, felt and nonwovens","14777877","0.026050997198053795","56","Textiles"
"Carpets","77922904","0.1373654249367629","57","Textiles"
"Special woven fabrics","2267341","0.003996953962875215","58","Textiles"
"Impregnated, coated or laminated textile fabrics","19116969","0.03370011171796066","59","Textiles"
"Knitted fabrics","1090720","0.0019227622251735642","60","Textiles"
"Apparel, knit","63124282","0.11127785767273321","61","Textiles"
"Apparel, not knit","81570775","0.14379602908916325","62","Textiles"
"Other made up textile articles","44812114","0.07899647941668937","63","Textiles"
"Footwear","22530305","0.03971726875425323","64","Textiles"
"Headgear","8598096","0.015157046902244318","65","Textiles"
"Umbrellas and walking-sticks","1025005","0.0018069173524039436","66","Textiles"
"Feathers and down","1295830","0.002284337844952563","67","Textiles"
"Articles of stone, plaster, cement, etc.","31859684","0.05616344882386552","68","Stone"
"Ceramic products","7226765","0.012739613055785567","69","Stone"
"Glass and glassware","20645345","0.03639439039503807","70","Stone"
"Precious metals and stones","487569112","0.8595051623835803","71","Stone"
"Iron and steel","426183024","0.7512914584471162","72","Metals"
"Articles of iron or steel","159989993","0.2820363750056687","73","Metals"
"Copper","86477191","0.15244524368666507","74","Metals"
"Nickel","239858","0.0004228307006433189","75","Metals"
"Aluminium","830102938","1.463336669532046","76","Metals"
"Lead","4441643","0.007829895278445968","78","Metals"
"Zinc","2068057","0.0036456486349436754","79","Metals"
"Tin","871839","0.0015369105688289343","80","Metals"
"Other base metals","1153717","0.0020338157053511156","81","Metals"
"Metal tools and tableware","37952868","0.06690474267217852","82","Metals"
"Miscellaneous articles of base metal","32176399","0.05672176593379827","83","Metals"
"Industrial Machinery","1357895132","2.3937485931831","84","Machinery"
"Electrical machinery and equipment","700947531","1.2356566620539422","85","Electronics"
"Trains","19385718","0.03417387255965529","86","Vehicles"
"Vehicles","162664739","0.2867515178202628","87","Vehicles"
"Aircraft","81248417","0.14322776428666353","88","Vehicles"
"Ships","94767582","0.16705985664573697","89","Vehicles"
"Apparatuses (optical, medical, etc.)","572257357","1.0087967848001895","90","Machinery"
"Clocks","7543765","0.013298432574433815","91","Machinery"
"Musical instruments","1297918","0.002288018649857729","92","Machinery"
"Arms and ammunition","6683469","0.01178187044000159","93","Machinery"
"Furniture","100524213","0.17720786221184293","94","Textiles"
"Toys","32908279","0.0580119515152124","95","Machinery"
"Miscellaneous manufactured articles","10893486","0.01920344669691311","96","Machinery"
"Art","20631008","0.036369116592391816","97","Textiles"
"Other","1460989056","2.575486438562404","99","Other"
"Travel and tourism","12626452480","22.258385164380474","travel","Services"
"Transport","2582658816","4.552808064321074","transport","Services"
"ICT","1287121536","2.2689862371902745","ict","Services"
"Insurance and finance","880060096","1.5514030259566345","financial","Services"
