"Name","Gross Import","Share","Code","Sector"
"Live animals","54011615","0.10406691167912979","01","Agriculture"
"Meat","177919721","0.34280692942216995","02","Agriculture"
"Fish","71637428","0.13802745747550818","03","Agriculture"
"Diary products","216872789","0.41785977661415147","04","Agriculture"
"Animal products","40952985","0.07890618847430737","05","Agriculture"
"Plants","10803191","0.0208150547553479","06","Agriculture"
"Vegetables","62909818","0.12121152965998386","07","Agriculture"
"Fruits and nuts","255685926","0.4926430116677406","08","Agriculture"
"Coffee, tea and spices","105789083","0.2038291792825882","09","Agriculture"
"Cereals","231127295","0.44532465462106946","10","Agriculture"
"Flours, starches and malts","43657349","0.08411682343747627","11","Agriculture"
"Oil seeds and oleaginous fruits","75286308","0.1450579392096267","12","Agriculture"
"Lac and other vegetable extracts","20525127","0.03954680078927324","13","Agriculture"
"Other vegetable materials","1075052","0.0020713570874426146","14","Agriculture"
"Animal or vegetable fats, oils or waxes","238076758","0.45871453663512113","15","Agriculture"
"Preparations of meat or fish","134299641","0.258761914052854","16","Agriculture"
"Sugar and candy","257892116","0.4968937895768511","17","Agriculture"
"Cocoa","166953006","0.32167680470149296","18","Agriculture"
"Preparations of cereals, flour, starch or milk","302164159","0.5821949750484507","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","201436646","0.3881181788069498","20","Agriculture"
"Miscellaneous edible preparations","537385177","1.0354072129213787","21","Agriculture"
"Beverages","361437637","0.6964001844268566","22","Agriculture"
"Food residues and animal feed","583973456","1.1251712074987608","23","Agriculture"
"Tobacco","108687894","0.2094144651199306","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","180233418","0.34726484650817574","25","Minerals"
"Ores, slag and ash","1810809","0.0034889773296127758","26","Minerals"
"Mineral fuels, oils and waxes","4215378198","8.121982477757706","27","Minerals"
"Inorganic chemicals","487741863","0.9397569278207146","28","Chemicals"
"Organic chemicals","297322972","0.5728672150851327","29","Chemicals"
"Pharmaceutical products","849539897","1.6368515073840326","30","Chemicals"
"Fertilisers","451420421","0.8697745676066636","31","Chemicals"
"Dyes, paints, inks, etc.","187164350","0.3606190239068344","32","Chemicals"
"Essential oils","349813361","0.6740031036540297","33","Chemicals"
"Soaps, waxes, and paints","200674320","0.3866493667280534","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","102198379","0.19691078819145166","35","Chemicals"
"Explosives","13203479","0.025439811102671992","36","Chemicals"
"Photographic or cinematographic goods","22756678","0.043846443020383596","37","Chemicals"
"Miscellaneous chemical products","390655659","0.7526960258845296","38","Chemicals"
"Plastics","1385980981","2.670439688549966","39","Chemicals"
"Rubber","397512018","0.7659065197105965","40","Chemicals"
"Leather and skins","3723895","0.007175016930476028","41","Agriculture"
"Articles of leather","141382908","0.2724096030043637","42","Agriculture"
"Furskins","11641942","0.02243111874894968","43","Agriculture"
"Wood","238517675","0.4595640737300002","44","Agriculture"
"Cork","2914128","0.005614797876302702","45","Agriculture"
"Manufactues of plaiting materials","6246280","0.012035023745968619","46","Agriculture"
"Pulp of wood","41936224","0.08080064480879165","47","Agriculture"
"Paper and paperboard","701618922","1.3518446798559949","48","Agriculture"
"Products of the printing industry","167283146","0.3223129021450104","49","Agriculture"
"Silk","2353588","0.00453477709424278","50","Textiles"
"Wool","16542613","0.03187348954503627","51","Textiles"
"Cotton","19131160","0.03686097403381293","52","Textiles"
"Other vegetable textile fibres","10901883","0.021005209625692668","53","Textiles"
"Man-made filaments","94274035","0.18164255362444154","54","Textiles"
"Man-made staple fibres","41785963","0.08051112933668778","55","Textiles"
"Wadding, felt and nonwovens","61791651","0.11905710072036566","56","Textiles"
"Carpets","93141161","0.1794597879637298","57","Textiles"
"Special woven fabrics","11006688","0.021207142722463265","58","Textiles"
"Impregnated, coated or laminated textile fabrics","34056588","0.06561855140766502","59","Textiles"
"Knitted fabrics","18470575","0.03558819148784465","60","Textiles"
"Apparel, knit","499072624","0.9615884783907971","61","Textiles"
"Apparel, not knit","478647647","0.9222346416742454","62","Textiles"
"Other made up textile articles","229413351","0.44202231198845293","63","Textiles"
"Footwear","220867306","0.42555621464585597","64","Textiles"
"Headgear","28332837","0.05459031072664983","65","Textiles"
"Umbrellas and walking-sticks","11305295","0.0217824839392695","66","Textiles"
"Feathers and down","8524747","0.016425061408290174","67","Textiles"
"Articles of stone, plaster, cement, etc.","142486719","0.2745363715123494","68","Stone"
"Ceramic products","135055945","0.2602191232396293","69","Stone"
"Glass and glassware","206875782","0.39859803736557237","70","Stone"
"Precious metals and stones","216069980","0.416312963890662","71","Stone"
"Iron and steel","459209130","0.8847814673558647","72","Metals"
"Articles of iron or steel","697871544","1.3446244170411483","73","Metals"
"Copper","126028438","0.24282536869902308","74","Metals"
"Nickel","5247461","0.010110548637115888","75","Metals"
"Aluminium","280640567","0.5407243812200377","76","Metals"
"Lead","1525439","0.002939140510516119","78","Metals"
"Zinc","35186558","0.06779572178463054","79","Metals"
"Tin","21565515","0.04155136899387194","80","Metals"
"Other base metals","13585760","0.026176371249292476","81","Metals"
"Metal tools and tableware","154760387","0.29818466871166405","82","Metals"
"Miscellaneous articles of base metal","174292967","0.33581907897185603","83","Metals"
"Industrial Machinery","4818868129","9.284757065198225","84","Machinery"
"Electrical machinery and equipment","2619224490","5.046592361080923","85","Electronics"
"Trains","69460213","0.13383250716507075","86","Vehicles"
"Vehicles","5365390605","10.33776957446223","87","Vehicles"
"Aircraft","990689272","1.9088111505402197","88","Vehicles"
"Ships","294522394","0.5674711997396091","89","Vehicles"
"Apparatuses (optical, medical, etc.)","1012807934","1.9514282958489564","90","Machinery"
"Clocks","59356084","0.11436437053857784","91","Machinery"
"Musical instruments","19485806","0.03754428842756614","92","Machinery"
"Arms and ammunition","47881364","0.09225544687868091","93","Machinery"
"Furniture","701557389","1.3517261211112443","94","Textiles"
"Toys","329758572","0.6353625268890768","95","Machinery"
"Miscellaneous manufactured articles","82891876","0.15971197192695274","96","Machinery"
"Art","33000498","0.06358372936512452","97","Textiles"
"Other","1852703488","3.5696975595584712","99","Other"
"Travel and tourism","5950771200","11.46565198787537","travel","Services"
"Transport","4290575104","8.266868161610075","transport","Services"
"ICT","1902636544","3.6659061052318607","ict","Services"
"Insurance and finance","1800018176","3.468186102982114","financial","Services"
