"Name","Gross Export","Share","Code","Sector"
"Live animals","10019086","0.1518012657747549","01","Agriculture"
"Meat","450141472","6.820187512844125","02","Agriculture"
"Fish","247811745","3.7546475361974925","03","Agriculture"
"Diary products","161789942","2.4513132221067053","04","Agriculture"
"Animal products","8866017","0.13433087638737656","05","Agriculture"
"Plants","8136353","0.123275584638182","06","Agriculture"
"Vegetables","99341390","1.5051421602552946","07","Agriculture"
"Fruits and nuts","90337824","1.3687272502239258","08","Agriculture"
"Coffee, tea and spices","389610764","5.903074106227785","09","Agriculture"
"Cereals","3730294","0.05651846395090067","10","Agriculture"
"Flours, starches and malts","11429873","0.17317639443804506","11","Agriculture"
"Oil seeds and oleaginous fruits","109124222","1.6533638923036849","12","Agriculture"
"Lac and other vegetable extracts","1512887","0.022922067100149816","13","Agriculture"
"Other vegetable materials","74867","0.0011343255627068753","14","Agriculture"
"Animal or vegetable fats, oils or waxes","49093608","0.7438275143909967","15","Agriculture"
"Preparations of meat or fish","37832419","0.5732068864885367","16","Agriculture"
"Sugar and candy","186537217","2.8262643573176365","17","Agriculture"
"Cocoa","7475594","0.11326428694375545","18","Agriculture"
"Preparations of cereals, flour, starch or milk","12469694","0.1889309397108545","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","16423039","0.24882889597595678","20","Agriculture"
"Miscellaneous edible preparations","26723429","0.4048922574416262","21","Agriculture"
"Beverages","59975624","0.9087032129308771","22","Agriculture"
"Food residues and animal feed","12179410","0.1845327861632995","23","Agriculture"
"Tobacco","231825768","3.5124406579207594","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","2659263","0.0402910494458249","25","Minerals"
"Ores, slag and ash","528990","0.008014838038338787","26","Minerals"
"Mineral fuels, oils and waxes","13987125","0.21192185390460955","27","Minerals"
"Inorganic chemicals","1613318","0.024443718169221827","28","Chemicals"
"Organic chemicals","1824463","0.027642820189307356","29","Chemicals"
"Pharmaceutical products","13076741","0.19812843566854643","30","Chemicals"
"Fertilisers","878236","0.013306337169773535","31","Chemicals"
"Dyes, paints, inks, etc.","12447800","0.18859921914144603","32","Chemicals"
"Essential oils","1430656","0.0216761680345141","33","Chemicals"
"Soaps, waxes, and paints","3836946","0.05813437069103736","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","44782","0.0006785014405430869","35","Chemicals"
"Photographic or cinematographic goods","28270","0.00042832467786505884","37","Chemicals"
"Miscellaneous chemical products","10147951","0.1537537263199647","38","Chemicals"
"Plastics","13314783","0.20173505975656747","39","Chemicals"
"Rubber","1157906","0.017543675785214673","40","Chemicals"
"Leather and skins","8668350","0.13133598236192368","41","Agriculture"
"Articles of leather","6589945","0.09984563386181307","42","Agriculture"
"Furskins","21822","0.0003306296823619142","43","Agriculture"
"Wood","11493304","0.17413745077485648","44","Agriculture"
"Cork","2352","0.00003563564352099818","45","Agriculture"
"Manufactues of plaiting materials","64551","0.0009780256908690278","46","Agriculture"
"Pulp of wood","4573108","0.06928811499618406","47","Agriculture"
"Paper and paperboard","9999394","0.1515029081675204","48","Agriculture"
"Products of the printing industry","933908","0.014149835276108996","49","Agriculture"
"Silk","123220","0.0018669319705176","50","Textiles"
"Cotton","10706127","0.16221076754359423","52","Textiles"
"Man-made filaments","2822886","0.0427701357127621","54","Textiles"
"Man-made staple fibres","180384","0.002733035680651248","55","Textiles"
"Wadding, felt and nonwovens","340834","0.005164047161494852","56","Textiles"
"Carpets","22553","0.00034170521612630607","57","Textiles"
"Special woven fabrics","272285","0.00412544693712372","58","Textiles"
"Impregnated, coated or laminated textile fabrics","9661","0.00014637582995593682","59","Textiles"
"Knitted fabrics","1397474","0.0211734206181392","60","Textiles"
"Apparel, knit","1207067740","18.288535581775896","61","Textiles"
"Apparel, not knit","504027924","7.636632408287738","62","Textiles"
"Other made up textile articles","10206678","0.15464351136973412","63","Textiles"
"Footwear","19206858","0.2910071194074966","64","Textiles"
"Headgear","237097","0.003592306195534908","65","Textiles"
"Articles of stone, plaster, cement, etc.","1977921","0.02996789441696269","68","Stone"
"Ceramic products","6421660","0.09729591265861104","69","Stone"
"Glass and glassware","1521984","0.023059897648241026","70","Stone"
"Precious metals and stones","364642931","5.524781250666639","71","Stone"
"Iron and steel","24932447","0.37775671488017876","72","Metals"
"Articles of iron or steel","5575906","0.08448171705892639","73","Metals"
"Copper","12896087","0.19539130916147057","74","Metals"
"Aluminium","5196094","0.07872710607380845","76","Metals"
"Zinc","130934","0.001983808396589445","79","Metals"
"Tin","107790","0.0016331488159559494","80","Metals"
"Metal tools and tableware","177658","0.0026917334849717233","82","Metals"
"Miscellaneous articles of base metal","191130","0.0028958505723505022","83","Metals"
"Industrial Machinery","20194987","0.3059784683857111","84","Machinery"
"Electrical machinery and equipment","550770706","8.34484206667708","85","Electronics"
"Trains","13504","0.00020460192606613917","86","Vehicles"
"Vehicles","8979479","0.13604996286066717","87","Vehicles"
"Aircraft","3486454","0.05282399315321351","88","Vehicles"
"Ships","11210","0.00016984505266598197","89","Vehicles"
"Apparatuses (optical, medical, etc.)","10463890","0.15854058413390204","90","Machinery"
"Clocks","22973","0.00034806872389791285","91","Machinery"
"Musical instruments","113576","0.0017208137111143235","92","Machinery"
"Furniture","22879351","0.34664982832814334","94","Textiles"
"Toys","1920345","0.029095548408729268","95","Machinery"
"Miscellaneous manufactured articles","441826","0.006694198058804652","96","Machinery"
"Art","146521","0.0022199702909609584","97","Textiles"
"Other","105607808","1.6000859689294302","99","Other"
"Unspecified","160","0.000002424193436802597","unspecified","Services"
"Travel and tourism","646453824","9.794556983354633","travel","Services"
"Transport","71722656","1.086684949657815","transport","Services"
"ICT","617123584","9.3501683876806","ict","Services"
"Insurance and finance","7599752","0.11514543074829632","financial","Services"
