"Name","Gross Import","Share","Code","Sector"
"Live animals","7348301","0.10738277440715974","01","Agriculture"
"Meat","21406186","0.3128145733490913","02","Agriculture"
"Fish","5309904","0.07759510985677846","03","Agriculture"
"Diary products","62766138","0.9172191010224888","04","Agriculture"
"Animal products","1332804","0.01947663701595241","05","Agriculture"
"Plants","4415275","0.06452164646910519","06","Agriculture"
"Vegetables","13052927","0.19074606706967015","07","Agriculture"
"Fruits and nuts","11841403","0.17304172855919545","08","Agriculture"
"Coffee, tea and spices","3839754","0.0561113973911778","09","Agriculture"
"Cereals","119983344","1.7533501092794976","10","Agriculture"
"Flours, starches and malts","26617439","0.38896806859617417","11","Agriculture"
"Oil seeds and oleaginous fruits","11987669","0.17517915445960938","12","Agriculture"
"Lac and other vegetable extracts","844377","0.012339116879615345","13","Agriculture"
"Other vegetable materials","36839","0.0005383385936946999","14","Agriculture"
"Animal or vegetable fats, oils or waxes","76853516","1.1230818894088634","15","Agriculture"
"Preparations of meat or fish","30152063","0.44062051609473646","16","Agriculture"
"Sugar and candy","26560534","0.3881364999413736","17","Agriculture"
"Cocoa","7860286","0.11486455417568714","18","Agriculture"
"Preparations of cereals, flour, starch or milk","118447690","1.7309091685709648","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","35509424","0.5189091283441143","20","Agriculture"
"Miscellaneous edible preparations","116066111","1.6961064896265625","21","Agriculture"
"Beverages","61009259","0.8915453376154542","22","Agriculture"
"Food residues and animal feed","103233943","1.5085864354672713","23","Agriculture"
"Tobacco","74663010","1.091071413567505","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","47051327","0.6875741797727806","25","Minerals"
"Ores, slag and ash","952946","0.013925665992751962","26","Minerals"
"Mineral fuels, oils and waxes","785984859","11.485816218121748","27","Minerals"
"Inorganic chemicals","34554090","0.5049485658405519","28","Chemicals"
"Organic chemicals","20845594","0.3046224859168456","29","Chemicals"
"Pharmaceutical products","174379259","2.548252804353643","30","Chemicals"
"Fertilisers","42944243","0.6275562144440257","31","Chemicals"
"Dyes, paints, inks, etc.","44363657","0.6482985075744192","32","Chemicals"
"Essential oils","61294748","0.8957172680906382","33","Chemicals"
"Soaps, waxes, and paints","79223926","1.1577213526375032","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","9000198","0.1315224065336695","35","Chemicals"
"Explosives","12451389","0.18195562430591644","36","Chemicals"
"Photographic or cinematographic goods","3147027","0.04598838430737128","37","Chemicals"
"Miscellaneous chemical products","91963628","1.3438901753191599","38","Chemicals"
"Plastics","257520190","3.7632144448164158","39","Chemicals"
"Rubber","48978644","0.7157386012658692","40","Chemicals"
"Leather and skins","4968677","0.07260866442365972","41","Agriculture"
"Articles of leather","6431096","0.09397940162750373","42","Agriculture"
"Furskins","26293","0.0003842269508948328","43","Agriculture"
"Wood","26626621","0.38910224772609914","44","Agriculture"
"Cork","372528","0.005443855686416547","45","Agriculture"
"Manufactues of plaiting materials","230333","0.003365920445763493","46","Agriculture"
"Pulp of wood","78450","0.0011464117558931896","47","Agriculture"
"Paper and paperboard","175465898","2.564132163487002","48","Agriculture"
"Products of the printing industry","21450033","0.31345532180365665","49","Agriculture"
"Silk","90653","0.0013247376023834967","50","Textiles"
"Wool","55581","0.0008122206730949568","51","Textiles"
"Cotton","181200736","2.6479369525417247","52","Textiles"
"Other vegetable textile fibres","139336","0.0020361558753235623","53","Textiles"
"Man-made filaments","43377525","0.6338878852970137","54","Textiles"
"Man-made staple fibres","61657437","0.9010173437226732","55","Textiles"
"Wadding, felt and nonwovens","7273280","0.10628647158575932","56","Textiles"
"Carpets","1028767","0.015033659437539438","57","Textiles"
"Special woven fabrics","74789843","1.0929248596125682","58","Textiles"
"Impregnated, coated or laminated textile fabrics","20072345","0.2933227823625734","59","Textiles"
"Knitted fabrics","331677893","4.846901666094117","60","Textiles"
"Apparel, knit","533293101","7.793160998382843","61","Textiles"
"Apparel, not knit","19391215","0.2833692394780415","62","Textiles"
"Other made up textile articles","36458465","0.5327777294814582","63","Textiles"
"Footwear","27868790","0.40725441017869424","64","Textiles"
"Headgear","1951865","0.02852314827172034","65","Textiles"
"Umbrellas and walking-sticks","278035","0.004063003091775181","66","Textiles"
"Feathers and down","182557","0.0026677564170885025","67","Textiles"
"Articles of stone, plaster, cement, etc.","19475674","0.2846034624288507","68","Stone"
"Ceramic products","23138001","0.3381220695254095","69","Stone"
"Glass and glassware","19473860","0.28457695394032057","70","Stone"
"Precious metals and stones","1108158","0.016193822289191653","71","Stone"
"Iron and steel","139383997","2.036857268886948","72","Metals"
"Articles of iron or steel","107050530","1.5643592870184395","73","Metals"
"Copper","28473352","0.416089043498851","74","Metals"
"Nickel","56694","0.0008284852528821988","75","Metals"
"Aluminium","33179500","0.4848612983385352","76","Metals"
"Lead","248434","0.0036304354131748715","78","Metals"
"Zinc","1371719","0.020045312777336524","79","Metals"
"Tin","533741","0.007799706271538393","80","Metals"
"Other base metals","81505","0.00119105532395251","81","Metals"
"Metal tools and tableware","19481527","0.28468899395220626","82","Metals"
"Miscellaneous articles of base metal","17752100","0.25941639428669844","83","Metals"
"Industrial Machinery","312537463","4.567197217848729","84","Machinery"
"Electrical machinery and equipment","428050390","6.2552198752156105","85","Electronics"
"Trains","1282833","0.018746396839359185","86","Vehicles"
"Vehicles","178312740","2.605733860567569","87","Vehicles"
"Aircraft","1328916","0.01941982058629132","88","Vehicles"
"Ships","8611480","0.1258419618564574","89","Vehicles"
"Apparatuses (optical, medical, etc.)","56960744","0.8323832574381449","90","Machinery"
"Clocks","1217861","0.017796942860979423","91","Machinery"
"Musical instruments","910909","0.013311367573599865","92","Machinery"
"Arms and ammunition","566410","0.008277107490828063","93","Machinery"
"Furniture","55933279","0.8173686244901678","94","Textiles"
"Toys","10908373","0.15940710063566424","95","Machinery"
"Miscellaneous manufactured articles","25560253","0.3735191143760888","96","Machinery"
"Art","61030","0.0008918484316400428","97","Textiles"
"Other","189108256","2.763491750348742","99","Other"
"Travel and tourism","258622336","3.7793204120708537","travel","Services"
"Transport","497150592","7.265000422154986","transport","Services"
"ICT","50944344","0.7444639242557894","ict","Services"
"Insurance and finance","121982752","1.7825680166858315","financial","Services"
