"Name","Gross Export","Share","Code","Sector"
"Live animals","64467","0.00011248054888730977","01","Agriculture"
"Meat","141040","0.0002460833700197957","02","Agriculture"
"Fish","72538224","0.12656303613989525","03","Agriculture"
"Diary products","7611948","0.01328115297968976","04","Agriculture"
"Animal products","3312074","0.00577883105271515","05","Agriculture"
"Plants","8213892","0.01433141111981452","06","Agriculture"
"Vegetables","5485942","0.009571746278312095","07","Agriculture"
"Fruits and nuts","277558729","0.4842781296847078","08","Agriculture"
"Coffee, tea and spices","35011962","0.06108807146883881","09","Agriculture"
"Cereals","2100298","0.003664551970262598","10","Agriculture"
"Flours, starches and malts","3247394","0.005665978866293707","11","Agriculture"
"Oil seeds and oleaginous fruits","207010293","0.3611868301916146","12","Agriculture"
"Lac and other vegetable extracts","3783334","0.006601074735043063","13","Agriculture"
"Other vegetable materials","1585243","0.0027658957724070545","14","Agriculture"
"Animal or vegetable fats, oils or waxes","41451293","0.07232326909471049","15","Agriculture"
"Preparations of meat or fish","5734081","0.010004693536914919","16","Agriculture"
"Sugar and candy","1254882","0.002189489446520003","17","Agriculture"
"Cocoa","557320809","0.97240061585989","18","Agriculture"
"Preparations of cereals, flour, starch or milk","22566438","0.03937340550469922","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","2194216","0.003828417951158225","20","Agriculture"
"Miscellaneous edible preparations","23969388","0.04182124061508828","21","Agriculture"
"Beverages","14621865","0.025511896023642226","22","Agriculture"
"Food residues and animal feed","41117513","0.07174089737572859","23","Agriculture"
"Tobacco","111875769","0.19519828601160086","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","82867014","0.14458447297644347","25","Minerals"
"Ores, slag and ash","281773837","0.4916325538313145","26","Minerals"
"Mineral fuels, oils and waxes","52360648544","91.3576634297336","27","Minerals"
"Inorganic chemicals","2899894","0.005059668804737559","28","Chemicals"
"Organic chemicals","340727","0.0005944926858815579","29","Chemicals"
"Pharmaceutical products","2047843","0.0035730296845678422","30","Chemicals"
"Fertilisers","219849215","0.3835878879991961","31","Chemicals"
"Dyes, paints, inks, etc.","609946","0.0010642198469235273","32","Chemicals"
"Essential oils","7980108","0.01392351013727972","33","Chemicals"
"Soaps, waxes, and paints","9012987","0.015725653820934545","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","271188","0.00047316262726126177","35","Chemicals"
"Explosives","17540","0.0000306033913084743","36","Chemicals"
"Photographic or cinematographic goods","71308","0.00012441656940847696","37","Chemicals"
"Miscellaneous chemical products","29725614","0.05186457224211301","38","Chemicals"
"Plastics","93292087","0.16277390219186025","39","Chemicals"
"Rubber","64047883","0.11174928312020407","40","Chemicals"
"Leather and skins","185405356","0.3234910296667608","41","Agriculture"
"Articles of leather","142696","0.00024897272098939853","42","Agriculture"
"Furskins","8140","0.000014202486046236083","43","Agriculture"
"Wood","331557469","0.5784938976655838","44","Agriculture"
"Manufactues of plaiting materials","2580","0.000004501525061337726","46","Agriculture"
"Pulp of wood","40906","0.0000713718543252252","47","Agriculture"
