"Name","Gross Import","Share","Code","Sector"
"Live animals","604088","0.0014271560735078176","01","Agriculture"
"Meat","13700103","0.03236645191451026","02","Agriculture"
"Fish","738331692","1.7443063899648785","03","Agriculture"
"Diary products","272602946","0.6440236356955007","04","Agriculture"
"Animal products","6516031","0.01539410353593387","05","Agriculture"
"Plants","1641526","0.0038781002117588724","06","Agriculture"
"Vegetables","36396936","0.08598765125192909","07","Agriculture"
"Fruits and nuts","42296978","0.09992648263783845","08","Agriculture"
"Coffee, tea and spices","43706358","0.10325613862650308","09","Agriculture"
"Cereals","1291090260","3.0501968355699622","10","Agriculture"
"Flours, starches and malts","97864471","0.23120451683906929","11","Agriculture"
"Oil seeds and oleaginous fruits","29942536","0.07073915076715061","12","Agriculture"
"Lac and other vegetable extracts","15142882","0.03577501293969125","13","Agriculture"
"Other vegetable materials","542158","0.001280846635756465","14","Agriculture"
"Animal or vegetable fats, oils or waxes","264390054","0.6246207031776163","15","Agriculture"
"Preparations of meat or fish","28867351","0.06819902945552961","16","Agriculture"
"Sugar and candy","437387703","1.0333271258725276","17","Agriculture"
"Cocoa","21387788","0.05052858448288597","18","Agriculture"
"Preparations of cereals, flour, starch or milk","306889890","0.7250264372271028","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","153269212","0.3620980499323895","20","Agriculture"
"Miscellaneous edible preparations","304444163","0.7192484145843884","21","Agriculture"
"Beverages","285465997","0.6744125547908822","22","Agriculture"
"Food residues and animal feed","75880155","0.17926663675981744","23","Agriculture"
"Tobacco","118666648","0.2803495971050813","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","109066393","0.2576690236944626","25","Minerals"
"Ores, slag and ash","5913694","0.013971084194631809","26","Minerals"
"Mineral fuels, oils and waxes","9786208690","23.119888441002775","27","Minerals"
"Inorganic chemicals","215394057","0.508867808407118","28","Chemicals"
"Organic chemicals","503904012","1.1904717047694313","29","Chemicals"
"Pharmaceutical products","1175423077","2.776933465458339","30","Chemicals"
"Fertilisers","164810067","0.3893632849755008","31","Chemicals"
"Dyes, paints, inks, etc.","244957076","0.5787103514092584","32","Chemicals"
"Essential oils","413813220","0.9776324810637304","33","Chemicals"
"Soaps, waxes, and paints","154468090","0.3649303955825181","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","88193355","0.20835653453020264","35","Chemicals"
"Explosives","16484130","0.03894370728435662","36","Chemicals"
"Photographic or cinematographic goods","40759180","0.09629343951245244","37","Chemicals"
"Miscellaneous chemical products","575658016","1.3599903222673857","38","Chemicals"
"Plastics","1621407264","3.8305697587889402","39","Chemicals"
"Rubber","518997946","1.2261310782071195","40","Chemicals"
"Leather and skins","21456317","0.050690484038184894","41","Agriculture"
"Articles of leather","97790734","0.23103031339951705","42","Agriculture"
"Furskins","119661","0.0002826987506986051","43","Agriculture"
"Wood","237923750","0.5620941399998934","44","Agriculture"
"Cork","1009764","0.002385564396924865","45","Agriculture"
"Manufactues of plaiting materials","559734","0.0013223698826144946","46","Agriculture"
"Pulp of wood","36399559","0.0859938480814983","47","Agriculture"
"Paper and paperboard","594070474","1.40348969862134","48","Agriculture"
"Products of the printing industry","112535979","0.26586591012898486","49","Agriculture"
"Silk","13769481","0.032530357229742186","50","Textiles"
"Wool","8624100","0.020374410174575176","51","Textiles"
"Cotton","435450120","1.0287495918934129","52","Textiles"
"Other vegetable textile fibres","62975318","0.14877899836577815","53","Textiles"
"Man-made filaments","649567481","1.5346012098606892","54","Textiles"
"Man-made staple fibres","350592687","0.8282741630018728","55","Textiles"
"Wadding, felt and nonwovens","123873624","0.2926510621615125","56","Textiles"
"Carpets","14223834","0.033603764818481735","57","Textiles"
"Special woven fabrics","190411572","0.44984676313048944","58","Textiles"
"Impregnated, coated or laminated textile fabrics","74256585","0.17543095754376767","59","Textiles"
"Knitted fabrics","218631599","0.5165164915932375","60","Textiles"
"Apparel, knit","364300431","0.8606586667557801","61","Textiles"
"Apparel, not knit","858127700","2.0273240966552795","62","Textiles"
"Other made up textile articles","252288648","0.5960311680918606","63","Textiles"
"Footwear","380259529","0.8983619875275989","64","Textiles"
"Headgear","23929280","0.05653285164854979","65","Textiles"
"Umbrellas and walking-sticks","25752759","0.060840815272664106","66","Textiles"
"Feathers and down","297780018","0.703504392171285","67","Textiles"
"Articles of stone, plaster, cement, etc.","77819539","0.18384842559598683","68","Stone"
"Ceramic products","287273797","0.6786834768249028","69","Stone"
"Glass and glassware","79845880","0.18863565008173708","70","Stone"
"Precious metals and stones","102768386","0.24279000119932162","71","Stone"
"Iron and steel","799593316","1.8890367914371016","72","Metals"
"Articles of iron or steel","1189640147","2.8105212503472723","73","Metals"
"Copper","52834367","0.1248210322899826","74","Metals"
"Nickel","2703304","0.006386547526416644","75","Metals"
"Aluminium","548388942","1.2955672173918806","76","Metals"
"Lead","505581","0.001194433583848969","78","Metals"
"Zinc","46135106","0.1089940484330544","79","Metals"
"Tin","1512860","0.003574127175787364","80","Metals"
"Other base metals","1697993","0.004011503328527896","81","Metals"
"Metal tools and tableware","124430556","0.293966812327599","82","Metals"
"Miscellaneous articles of base metal","229929862","0.5432086037698388","83","Metals"
"Industrial Machinery","4422456206","10.448039415143556","84","Machinery"
"Electrical machinery and equipment","2904312473","6.86142943611934","85","Electronics"
"Trains","23104200","0.05458360264322304","86","Vehicles"
"Vehicles","2985778720","7.053893198339312","87","Vehicles"
