"Name","Gross Export","Share","Code","Sector"
"Bovine","1305756","0.014042235849228733","0102","Agriculture"
"Other live animals","263022","0.002828565947647064","0106","Agriculture"
"Pork","111667","0.001200878533643211","0203","Agriculture"
"Lamb","11201876","0.12046613972734183","0204","Agriculture"
"Edible offal","17586","0.00018912167330231415","0206","Agriculture"
"Poultry","417855","0.004493656135433781","0207","Agriculture"
"Pig and poultry fat","16220","0.00017443156721048194","0209","Agriculture"
"Preserved meat","180960","0.0019460626635270535","0210","Agriculture"
"Live Fish","22086","0.00023751514139400148","0301","Agriculture"
"Fish, excluding fillets","1731225","0.018617773732673648","0302","Agriculture"
"Frozen fish, excluding fillets","1038925","0.01117270751936806","0303","Agriculture"
"Fish fillets","479996","0.005161926913363902","0304","Agriculture"
"Preserved fish","16621","0.0001787439629226523","0305","Agriculture"
"Crustaceans","592277","0.006369408466875623","0306","Agriculture"
"Molluscs","619928","0.006666770197143011","0307","Agriculture"
"Milk","3182824","0.034228420374545925","0401","Agriculture"
"Milk, concentrated","300561","0.00323226425846792","0402","Agriculture"
"Fermented milk products","3439684","0.03699071953321944","0403","Agriculture"
"Whey","109436","0.0011768861275737545","0404","Agriculture"
"Butter","178960","0.0019245544554863038","0405","Agriculture"
"Cheese","1407245","0.015133659112152566","0406","Agriculture"
"Eggs, in shell","914593","0.0098356282583068","0407","Agriculture"
"Honey","607824","0.0065366025220803935","0409","Agriculture"
"Animal guts, except fish","234373","0.0025204716215673417","0504","Agriculture"
"Whalebone & horns","8202","0.00008820516117511546","0507","Agriculture"
"Coral and shells","24132","0.0002595180382196886","0508","Agriculture"
"Flower bulbs","9329761","0.10033322027923755","0601","Agriculture"
"Other live plants","18581384","0.19982613637853103","0602","Agriculture"
"Cut flowers","41926","0.0004508765651582408","0603","Agriculture"
"Other parts of plants","892971","0.009603103021178254","0604","Agriculture"
"Potatoes","845861","0.009096477180778387","0701","Agriculture"
"Tomatoes","13185608","0.1417994000038883","0702","Agriculture"
"Onions, shallots, garlic","1489321","0.01601631295372886","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","20523232","0.22070897176228815","0704","Agriculture"
"Lettuce","86236","0.0009273909143010555","0705","Agriculture"
"Carrots & turnips","29532","0.00031759019992971344","0706","Agriculture"
"Cucumbers","3995670","0.042969850811091635","0707","Agriculture"
"Legumes","18176","0.00019546659467433537","0708","Agriculture"
"Other vegetables","13951834","0.15003947411100413","0709","Agriculture"
"Frozen vegetables","6117018","0.06578304786650603","0710","Agriculture"
"Vegetables, provisionally preserved","254864","0.002740833967048845","0711","Agriculture"
"Vegetables, dried","1276272","0.013725161846291998","0712","Agriculture"
"Legumes, dried","65143","0.0007005545981992863","0713","Agriculture"
"Cashew nuts & coconuts","69873","0.0007514215102156599","0801","Agriculture"
"Other nuts","912492","0.009813033885759992","0802","Agriculture"
"Bananas and plantains","16030","0.0001723882874466107","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","88536","0.0009521253535479179","0804","Agriculture"
"Citrus fruit","3878077","0.041705243457023686","0805","Agriculture"
"Grapes","13805447","0.14846521308577348","0806","Agriculture"
"Melons and papayas","2466904","0.02652934222427908","0807","Agriculture"
"Apples & pears","11200556","0.12045194431003495","0808","Agriculture"
"Peaches & cherries","10066379","0.1082548868745181","0809","Agriculture"
"Other fresh fruit","1474967","0.015861948544620398","0810","Agriculture"
"Fruits and nuts, frozen","8858572","0.0952660047599811","0811","Agriculture"
"Fruits and nuts, provisionally preserved","963","0.00001035620217162109","0812","Agriculture"
"Fruits, dried","417958","0.00449476380814788","0813","Agriculture"
"Coffee","1739885","0.018710904273490096","0901","Agriculture"
