"Name","Gross Import","Share","Code","Sector"
"Live animals","3386914","0.0349544350274802","01","Agriculture"
"Meat","87974498","0.9079353282711597","02","Agriculture"
"Fish","11859892","0.12239927684816684","03","Agriculture"
"Diary products","57206300","0.5903940568058534","04","Agriculture"
"Animal products","3048949","0.031466488290697876","05","Agriculture"
"Plants","9131384","0.0942398799435038","06","Agriculture"
"Vegetables","18831816","0.19435258433531585","07","Agriculture"
"Fruits and nuts","37966513","0.3918310331701608","08","Agriculture"
"Coffee, tea and spices","18863294","0.19467745107412146","09","Agriculture"
"Cereals","30723349","0.31707841015363797","10","Agriculture"
"Flours, starches and malts","22876095","0.23609131390993823","11","Agriculture"
"Oil seeds and oleaginous fruits","13567771","0.1400253357148218","12","Agriculture"
"Lac and other vegetable extracts","1816868","0.018750873054204475","13","Agriculture"
"Other vegetable materials","288188","0.002974226307989947","14","Agriculture"
"Animal or vegetable fats, oils or waxes","45061381","0.46505317655335526","15","Agriculture"
"Preparations of meat or fish","35521177","0.36659409525784353","16","Agriculture"
"Sugar and candy","41523427","0.4285399426114206","17","Agriculture"
"Cocoa","47002873","0.4850902238389883","18","Agriculture"
"Preparations of cereals, flour, starch or milk","55024510","0.5678770289750299","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","36454623","0.3762276665734014","20","Agriculture"
"Miscellaneous edible preparations","82059711","0.8468921373625968","21","Agriculture"
"Beverages","45038598","0.46481804602059557","22","Agriculture"
"Food residues and animal feed","31449550","0.3245731223522327","23","Agriculture"
"Tobacco","41869296","0.43210946208800594","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","23880207","0.24645418927799106","25","Minerals"
"Ores, slag and ash","38706703","0.39947011797213416","26","Minerals"
"Mineral fuels, oils and waxes","922291311","9.518450042356855","27","Minerals"
"Inorganic chemicals","76332832","0.7877882392666483","28","Chemicals"
"Organic chemicals","29631064","0.3058055508297841","29","Chemicals"
"Pharmaceutical products","152881196","1.5778008631177127","30","Chemicals"
"Fertilisers","24922092","0.2572068985403479","31","Chemicals"
"Dyes, paints, inks, etc.","53474089","0.5518760055921684","32","Chemicals"
"Essential oils","72405305","0.7472544414376588","33","Chemicals"
"Soaps, waxes, and paints","52362147","0.540400277423893","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","8209942","0.08473019516243424","35","Chemicals"
"Explosives","5408797","0.05582115262251412","36","Chemicals"
"Photographic or cinematographic goods","3038845","0.03136221058789301","37","Chemicals"
"Miscellaneous chemical products","222137925","2.292560622015135","38","Chemicals"
"Plastics","301221810","3.108740932455027","39","Chemicals"
"Rubber","63600340","0.6563833484569286","40","Chemicals"
"Leather and skins","22661818","0.233879881474871","41","Agriculture"
"Articles of leather","28780141","0.29702365299686345","42","Agriculture"
"Furskins","3620588","0.03736605299315969","43","Agriculture"
"Wood","82820587","0.8547447107394138","44","Agriculture"
"Cork","590483","0.006094043031010409","45","Agriculture"
"Manufactues of plaiting materials","118502","0.0012229925116570594","46","Agriculture"
"Pulp of wood","3390215","0.0349885027924207","47","Agriculture"
"Paper and paperboard","124305657","1.282888792320897","48","Agriculture"
"Products of the printing industry","10589235","0.10928554040587368","49","Agriculture"
"Silk","1785574","0.01842790527594085","50","Textiles"
"Wool","12508355","0.12909169885865335","51","Textiles"
"Cotton","116746553","1.2048755302085536","52","Textiles"
"Other vegetable textile fibres","5034480","0.05195803733343937","53","Textiles"
"Man-made filaments","90036337","0.9292144092760581","54","Textiles"
"Man-made staple fibres","87068642","0.8985864978325205","55","Textiles"
"Wadding, felt and nonwovens","19757188","0.20390282843665689","56","Textiles"
"Carpets","9744188","0.10056428546504345","57","Textiles"
"Special woven fabrics","21348386","0.22032468830875773","58","Textiles"
"Impregnated, coated or laminated textile fabrics","87637854","0.9044610148326162","59","Textiles"
"Knitted fabrics","67808931","0.699817849795533","60","Textiles"
"Apparel, knit","48464302","0.5001728108275494","61","Textiles"
"Apparel, not knit","51064755","0.5270106240789387","62","Textiles"
"Other made up textile articles","12032608","0.12418178157081591","63","Textiles"
"Footwear","54587725","0.5633692165819553","64","Textiles"
"Headgear","860702","0.008882821393463861","65","Textiles"
"Umbrellas and walking-sticks","738803","0.0076247703548443955","66","Textiles"
"Feathers and down","263627","0.0027207460369497193","67","Textiles"
"Articles of stone, plaster, cement, etc.","19004190","0.1961315594682619","68","Stone"
"Ceramic products","484451192","4.9997483593469845","69","Stone"
"Glass and glassware","44967936","0.46408878324985153","70","Stone"
"Precious metals and stones","1064046994","10.981430741364738","71","Stone"
"Iron and steel","388355567","4.0079994455902135","72","Metals"
"Articles of iron or steel","142352899","1.469144229546115","73","Metals"
"Copper","22550274","0.23272869856892617","74","Metals"
"Nickel","770837","0.007955375257026824","75","Metals"
"Aluminium","66212451","0.6833414773713522","76","Metals"
"Lead","24305485","0.25084324439412825","78","Metals"
"Zinc","6883470","0.07104042348834635","79","Metals"
"Tin","718809","0.007418423522908469","80","Metals"
"Other base metals","837471","0.008643067304602027","81","Metals"
"Metal tools and tableware","16407768","0.16933534790135465","82","Metals"
"Miscellaneous articles of base metal","37840062","0.390526003499003","83","Metals"
"Industrial Machinery","493108911","5.089099809154001","84","Machinery"
"Electrical machinery and equipment","864018918","8.917053439132124","85","Electronics"
"Trains","4951402","0.05110063600786306","86","Vehicles"
"Vehicles","419401449","4.3284065374856135","87","Vehicles"
"Aircraft","27913589","0.2880804570426902","88","Vehicles"
"Ships","13081264","0.13500437051702988","89","Vehicles"
"Apparatuses (optical, medical, etc.)","104580940","1.0793210788177097","90","Machinery"
"Clocks","4060717","0.041908376929997125","91","Machinery"
"Musical instruments","948025","0.009784032977196029","92","Machinery"
"Arms and ammunition","1683623","0.017375726329121818","93","Machinery"
"Furniture","84160022","0.8685682662477712","94","Textiles"
"Toys","29359402","0.30300188007568896","95","Machinery"
"Miscellaneous manufactured articles","24992852","0.25793717271398936","96","Machinery"
"Art","384830","0.003971614050910417","97","Textiles"
"Other","85552304","0.8829372259287463","99","Other"
"Unspecified","359516384","3.710366453309007","unspecified","Services"
"Travel and tourism","259012912","2.6731266290736775","travel","Services"
"Transport","388281376","4.007233761994726","transport","Services"
"ICT","373938528","3.859209292366911","ict","Services"
"Insurance and finance","37440824","0.3864056925813059","financial","Services"
