"Name","Gross Export","Share","Code","Sector"
"Live animals","8138904","0.005151916411051924","01","Agriculture"
"Meat","27702259","0.017535496519594143","02","Agriculture"
"Fish","12033230349","7.617020290813256","03","Agriculture"
"Diary products","86129306","0.05451974676859598","04","Agriculture"
"Animal products","59625940","0.037743148071337045","05","Agriculture"
"Plants","4749458","0.0030064011829850617","06","Agriculture"
"Vegetables","2174109","0.001376208373574094","07","Agriculture"
"Fruits and nuts","6462430","0.004090710391998024","08","Agriculture"
"Coffee, tea and spices","3366215","0.002130810033098947","09","Agriculture"
"Cereals","1653852","0.0010468863203511242","10","Agriculture"
"Flours, starches and malts","8733067","0.005528020873094952","11","Agriculture"
"Oil seeds and oleaginous fruits","2048073","0.0012964277376575945","12","Agriculture"
"Lac and other vegetable extracts","640639","0.0004055237139619651","13","Agriculture"
"Other vegetable materials","102866","0.00006511405387497718","14","Agriculture"
"Animal or vegetable fats, oils or waxes","247612820","0.15673861627374472","15","Agriculture"
"Preparations of meat or fish","206298574","0.1305867484082881","16","Agriculture"
"Sugar and candy","4261754","0.002697685139481456","17","Agriculture"
"Cocoa","49847287","0.031553272521916365","18","Agriculture"
"Preparations of cereals, flour, starch or milk","45963262","0.029094689383641736","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","20719273","0.013115274807733944","20","Agriculture"
"Miscellaneous edible preparations","141316337","0.0894530707992187","21","Agriculture"
"Beverages","113012747","0.0715369324822309","22","Agriculture"
"Food residues and animal feed","390675939","0.24729739797117897","23","Agriculture"
"Tobacco","6187255","0.003916524949042656","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","683487274","0.43264661970036056","25","Minerals"
"Ores, slag and ash","366610190","0.23206380789352765","26","Minerals"
"Mineral fuels, oils and waxes","67970385233","43.025171834858114","27","Minerals"
"Inorganic chemicals","1037648294","0.6568301180058926","28","Chemicals"
"Organic chemicals","2076604385","1.3144880699347095","29","Chemicals"
"Pharmaceutical products","1090052482","0.6900019057754806","30","Chemicals"
"Fertilisers","828095765","0.5241836200090451","31","Chemicals"
"Dyes, paints, inks, etc.","230595801","0.1459668637806225","32","Chemicals"
"Essential oils","36148918","0.02288222147428822","33","Chemicals"
"Soaps, waxes, and paints","133799961","0.08469521386098268","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","26102427","0.01652280479405886","35","Chemicals"
"Explosives","29738814","0.01882463337715013","36","Chemicals"
"Photographic or cinematographic goods","298061","0.00018867225333958325","37","Chemicals"
"Miscellaneous chemical products","777659332","0.4922574187800319","38","Chemicals"
"Plastics","1075789884","0.680973698451689","39","Chemicals"
"Rubber","81250651","0.05143156404050871","40","Chemicals"
"Leather and skins","31181907","0.019738109504817216","41","Agriculture"
"Articles of leather","18288883","0.011576840870405714","42","Agriculture"
"Furskins","39831634","0.025213376258475806","43","Agriculture"
"Wood","665607689","0.4213288639700684","44","Agriculture"
"Cork","162565","0.00010290344883815512","45","Agriculture"
"Manufactues of plaiting materials","88965","0.000056314737648857195","46","Agriculture"
"Pulp of wood","316223953","0.20016938067194456","47","Agriculture"
"Paper and paperboard","670059276","0.42414671316948455","48","Agriculture"
"Products of the printing industry","67725575","0.04287020725277358","49","Agriculture"
"Silk","79582","0.00005037530997101505","50","Textiles"
"Wool","47440799","0.03002996852174638","51","Textiles"
"Cotton","4158467","0.0026323045931144857","52","Textiles"
"Other vegetable textile fibres","480433","0.0003041135092772822","53","Textiles"
"Man-made filaments","3985631","0.0025228996136700092","54","Textiles"
"Man-made staple fibres","2102070","0.0013306077735011886","55","Textiles"
"Wadding, felt and nonwovens","39271550","0.024858843762310772","56","Textiles"
"Carpets","1109663","0.0007024153400061127","57","Textiles"
