"Name","Gross Import","Share","Code","Sector"
"Live animals","18086975","0.01327729752877436","01","Agriculture"
"Meat","113140987","0.08305460405060502","02","Agriculture"
"Fish","332865186","0.2443498767202817","03","Agriculture"
"Diary products","149347613","0.10963318592596324","04","Agriculture"
"Animal products","58115653","0.04266157364401776","05","Agriculture"
"Plants","233627639","0.17150151829966526","06","Agriculture"
"Vegetables","409859542","0.30086994006135304","07","Agriculture"
"Fruits and nuts","701491147","0.5149510447446404","08","Agriculture"
"Coffee, tea and spices","208484610","0.15304450839018055","09","Agriculture"
"Cereals","151621709","0.11130255569072468","10","Agriculture"
"Flours, starches and malts","296556284","0.21769621601709002","11","Agriculture"
"Oil seeds and oleaginous fruits","227441602","0.1669604685236244","12","Agriculture"
"Lac and other vegetable extracts","48367829","0.0355058851164377","13","Agriculture"
"Other vegetable materials","2369373","0.0017393107624489273","14","Agriculture"
"Animal or vegetable fats, oils or waxes","786012757","0.5769967192469287","15","Agriculture"
"Preparations of meat or fish","211677036","0.15538800639582245","16","Agriculture"
"Sugar and candy","179451589","0.13173193080458903","17","Agriculture"
"Cocoa","221812381","0.16282816657306468","18","Agriculture"
"Preparations of cereals, flour, starch or milk","551799870","0.4050655817420554","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","269248944","0.19765042738193123","20","Agriculture"
"Miscellaneous edible preparations","503641069","0.36971314002606714","21","Agriculture"
"Beverages","780951052","0.5732810197843109","22","Agriculture"
"Food residues and animal feed","901346187","0.6616607531787538","23","Agriculture"
"Tobacco","440542205","0.3233934878423455","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","354445192","0.2601913405546009","25","Minerals"
"Ores, slag and ash","818484708","0.6008337486433195","26","Minerals"
"Mineral fuels, oils and waxes","5106801283","3.7488037692714027","27","Minerals"
"Inorganic chemicals","1369123922","1.0050473153280999","28","Chemicals"
"Organic chemicals","904895711","0.6642663898998487","29","Chemicals"
"Pharmaceutical products","2030296779","1.4904014854056713","30","Chemicals"
"Fertilisers","215385348","0.15811020630783232","31","Chemicals"
"Dyes, paints, inks, etc.","462986129","0.3398691371237317","32","Chemicals"
"Essential oils","705882147","0.5181743926758918","33","Chemicals"
"Soaps, waxes, and paints","445981816","0.3273866007696202","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","77521312","0.05690689151972323","35","Chemicals"
"Explosives","82524388","0.060579552570621475","36","Chemicals"
"Photographic or cinematographic goods","40593130","0.029798629380215116","37","Chemicals"
"Miscellaneous chemical products","641563740","0.4709594976303796","38","Chemicals"
"Plastics","2536893693","1.8622844539140544","39","Chemicals"
"Rubber","683877413","0.5020211442548852","40","Chemicals"
"Leather and skins","28099316","0.02062716285542772","41","Agriculture"
"Articles of leather","271972745","0.19964991686462102","42","Agriculture"
"Furskins","19475584","0.014296648461925635","43","Agriculture"
"Wood","1463281794","1.0741667828576482","44","Agriculture"
"Cork","2696858","0.0019797111489818146","45","Agriculture"
"Manufactues of plaiting materials","11596792","0.008512980073412512","46","Agriculture"
"Pulp of wood","76187597","0.05592783720723652","47","Agriculture"
"Paper and paperboard","1034933296","0.7597244588123278","48","Agriculture"
"Products of the printing industry","402359080","0.2953639963876726","49","Agriculture"
"Silk","923241","0.000677733310725711","50","Textiles"
"Wool","76406910","0.056088830626696","51","Textiles"
"Cotton","18068952","0.013264067194052211","52","Textiles"
"Other vegetable textile fibres","4180636","0.0030689237991153922","53","Textiles"
"Man-made filaments","34816006","0.02555775470611273","54","Textiles"
"Man-made staple fibres","22841572","0.016767554965322923","55","Textiles"
"Wadding, felt and nonwovens","171236493","0.1257013881726982","56","Textiles"
"Carpets","101141192","0.07424578729162246","57","Textiles"
"Special woven fabrics","18988356","0.013938983837501175","58","Textiles"
"Impregnated, coated or laminated textile fabrics","58840556","0.04319371087594854","59","Textiles"
"Knitted fabrics","21892836","0.016071106269603532","60","Textiles"
"Apparel, knit","1068279625","0.784203352138901","61","Textiles"
"Apparel, not knit","1168275211","0.8576081722863356","62","Textiles"
"Other made up textile articles","374227710","0.27471330331257093","63","Textiles"
"Footwear","640643228","0.47028376762562163","64","Textiles"
"Headgear","58926043","0.04325646522452492","65","Textiles"
"Umbrellas and walking-sticks","8692186","0.006380765147154075","66","Textiles"
"Feathers and down","20239233","0.014857228380930945","67","Textiles"
"Articles of stone, plaster, cement, etc.","444001357","0.3259327842311145","68","Stone"
"Ceramic products","254323548","0.1866939836744136","69","Stone"
"Glass and glassware","396984656","0.29141873597271734","70","Stone"
"Precious metals and stones","480882254","0.3530063353692723","71","Stone"
"Iron and steel","878980158","0.645242285106","72","Metals"
"Articles of iron or steel","3366779529","2.471487549483526","73","Metals"
"Copper","517376969","0.3797963977916964","74","Metals"
"Nickel","1082610877","0.794723646260159","75","Metals"
"Aluminium","890609035","0.6537788181555853","76","Metals"
"Lead","30661193","0.02250778707042906","78","Metals"
"Zinc","25591088","0.018785921330739228","79","Metals"
"Tin","1357916","0.000996819797179084","80","Metals"
"Other base metals","285437435","0.20953408462969578","81","Metals"
"Metal tools and tableware","364734312","0.2677443839766913","82","Metals"
"Miscellaneous articles of base metal","341398909","0.25061431725271704","83","Metals"
"Industrial Machinery","10654049629","7.8209311844883445","84","Machinery"
"Electrical machinery and equipment","7144949479","5.244968827609058","85","Electronics"
"Trains","309791940","0.22741225436515583","86","Vehicles"
"Vehicles","9529288199","6.995265634831771","87","Vehicles"
"Aircraft","1946102532","1.428596121732082","88","Vehicles"
"Ships","4715878716","3.461835095252047","89","Vehicles"
"Apparatuses (optical, medical, etc.)","2565701805","1.8834319301651279","90","Machinery"
"Clocks","90324995","0.0663058268671271","91","Machinery"
"Musical instruments","45153167","0.03314606409448987","92","Machinery"
"Arms and ammunition","96790215","0.07105181946837649","93","Machinery"
"Furniture","3038635964","2.230603723157802","94","Textiles"
"Toys","606123456","0.44494347255309274","95","Machinery"
"Miscellaneous manufactured articles","142706972","0.10475842017111604","96","Machinery"
"Art","121323822","0.08906146450813694","97","Textiles"
"Other","2436459008","1.7885572997075754","99","Other"
"Unspecified","16992941056","12.474188430593681","unspecified","Services"
"Travel and tourism","17028826112","12.500530954169278","travel","Services"
"Transport","12136718336","8.909329524146699","transport","Services"
"ICT","3818030080","2.8027418264231674","ict","Services"
"Insurance and finance","1988958848","1.4600561120576712","financial","Services"
