"Name","Gross Export","Share","Code","Sector"
"Live animals","98845610","0.1442439377735922","01","Agriculture"
"Meat","39162470","0.05714921366502945","02","Agriculture"
"Fish","295574322","0.43132723962186803","03","Agriculture"
"Diary products","226358916","0.33032222062266386","04","Agriculture"
"Animal products","292470","0.00042679714840793153","05","Agriculture"
"Plants","437747","0.0006387977273707621","06","Agriculture"
"Vegetables","40160328","0.05860537309647898","07","Agriculture"
"Fruits and nuts","32805045","0.047871917322781385","08","Agriculture"
"Coffee, tea and spices","7005167","0.01022253666947497","09","Agriculture"
"Cereals","6185644","0.009026618867803983","10","Agriculture"
"Flours, starches and malts","84223715","0.12290642250597439","11","Agriculture"
"Oil seeds and oleaginous fruits","3831153","0.005590744949958942","12","Agriculture"
"Lac and other vegetable extracts","5823078","0.008497531662587482","13","Agriculture"
"Other vegetable materials","163246","0.00023822247508804726","14","Agriculture"
"Animal or vegetable fats, oils or waxes","164816068","0.24051365211545708","15","Agriculture"
"Preparations of meat or fish","32992816","0.04814592876789953","16","Agriculture"
"Sugar and candy","12627470","0.018427080341938327","17","Agriculture"
"Cocoa","7926276","0.011566697419544657","18","Agriculture"
"Preparations of cereals, flour, starch or milk","142916622","0.20855611423289308","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","19984346","0.029162860756992003","20","Agriculture"
"Miscellaneous edible preparations","103230351","0.1506425255101373","21","Agriculture"
"Beverages","9522139","0.013895516709214458","22","Agriculture"
"Food residues and animal feed","62081140","0.09059409006706182","23","Agriculture"
"Tobacco","360444412","0.525991203204341","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","640368043","0.9344796207609931","25","Minerals"
"Ores, slag and ash","1129488696","1.6482461606721819","26","Minerals"
"Mineral fuels, oils and waxes","51336206896","74.91416799429817","27","Minerals"
"Inorganic chemicals","53403938","0.07793157743410939","28","Chemicals"
"Organic chemicals","1441373106","2.1033744706557362","29","Chemicals"
"Pharmaceutical products","70523892","0.10291447328009345","30","Chemicals"
"Fertilisers","548930514","0.8010461861021648","31","Chemicals"
"Dyes, paints, inks, etc.","65298246","0.09528876530529497","32","Chemicals"
"Essential oils","69595612","0.10155984799570833","33","Chemicals"
"Soaps, waxes, and paints","35279101","0.05148227067800254","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","1631106","0.0023802488786920624","35","Chemicals"
"Explosives","3349061","0.004887235219489915","36","Chemicals"
"Photographic or cinematographic goods","821825","0.0011992770762483274","37","Chemicals"
"Miscellaneous chemical products","28411476","0.04146044701631068","38","Chemicals"
"Plastics","1027566087","1.49951200373473","39","Chemicals"
"Rubber","25380313","0.03703711564981281","40","Chemicals"
"Leather and skins","901639","0.0013157484668286626","41","Agriculture"
"Articles of leather","2348223","0.003426727118083626","42","Agriculture"
"Furskins","22521","0.000032864562448439246","43","Agriculture"
"Wood","21821774","0.03184419228092571","44","Agriculture"
"Cork","269850","0.00039378811672267347","45","Agriculture"
"Manufactues of plaiting materials","637417","0.0009301732073263531","46","Agriculture"
"Pulp of wood","4372760","0.006381104040319577","47","Agriculture"
"Paper and paperboard","49561664","0.07232460377321447","48","Agriculture"
"Products of the printing industry","12648378","0.018457591077326273","49","Agriculture"
"Silk","83867","0.00012238587357858238","50","Textiles"
"Wool","244766","0.0003571834062543706","51","Textiles"
"Cotton","2328433","0.0033978478635720765","52","Textiles"
"Other vegetable textile fibres","2254","0.000003289228886762668","53","Textiles"
"Man-made filaments","4459863","0.006508212160871345","54","Textiles"
"Man-made staple fibres","8155561","0.011901289631302145","55","Textiles"
"Wadding, felt and nonwovens","1825931","0.002664554121754856","56","Textiles"
"Carpets","1254174","0.0018301975819994154","57","Textiles"
"Special woven fabrics","1595040","0.0023276182979334193","58","Textiles"
"Impregnated, coated or laminated textile fabrics","929095","0.0013558146018397344","59","Textiles"
"Knitted fabrics","1104293","0.001611478453881902","60","Textiles"
"Apparel, knit","49058446","0.07159026518317946","61","Textiles"
"Apparel, not knit","53691123","0.07835066226012755","62","Textiles"
"Other made up textile articles","12304815","0.017956234669152877","63","Textiles"
"Footwear","21699842","0.03166625871543292","64","Textiles"
"Headgear","675924","0.0009863659033079724","65","Textiles"
"Umbrellas and walking-sticks","70397","0.00010272930165990753","66","Textiles"
"Feathers and down","545938","0.0007966792546501498","67","Textiles"
"Articles of stone, plaster, cement, etc.","164837449","0.24054485309275425","68","Stone"
"Ceramic products","37914334","0.05532782724719076","69","Stone"
"Glass and glassware","33791105","0.04931086010720073","70","Stone"
"Precious metals and stones","247222768","0.36076853148670157","71","Stone"
"Iron and steel","1564192275","2.2826026687582144","72","Metals"
"Articles of iron or steel","324897562","0.4741182103678638","73","Metals"
"Copper","22959152","0.033503951186324266","74","Metals"
"Nickel","439763","0.0006417396463750715","75","Metals"
"Aluminium","792165630","1.1559955959612014","76","Metals"
"Lead","947318","0.0013824071564109306","78","Metals"
"Zinc","2721817","0.003971907320710606","79","Metals"
"Tin","171612","0.0002504308552418434","80","Metals"
"Other base metals","274055","0.0003999244110744201","81","Metals"
"Metal tools and tableware","8782435","0.01281607759454991","82","Metals"
"Miscellaneous articles of base metal","6620044","0.009660532367542095","83","Metals"
"Industrial Machinery","403368189","0.5886292365838258","84","Machinery"
"Electrical machinery and equipment","498993415","0.7281737155822325","85","Electronics"
"Trains","2360005","0.0034439204165502804","86","Vehicles"
"Vehicles","481247900","0.702277947814495","87","Vehicles"
"Aircraft","284739042","0.41551547565906327","88","Vehicles"
"Ships","417928171","0.6098764031255937","89","Vehicles"
"Apparatuses (optical, medical, etc.)","81394896","0.11877836874811143","90","Machinery"
"Clocks","30995230","0.04523088104163836","91","Machinery"
"Musical instruments","1287852","0.0018793433896517637","92","Machinery"
"Arms and ammunition","8988069","0.013116156251559916","93","Machinery"
"Furniture","57548135","0.0839791428666006","94","Textiles"
"Toys","12941178","0.018884869789856935","95","Machinery"
"Miscellaneous manufactured articles","7473649","0.010906185528094468","96","Machinery"
"Art","388418","0.0005668126467340648","97","Textiles"
"Other","85810960","0.12522266567561482","99","Other"
"Unspecified","266","3.8816986862416583e-7","unspecified","Services"
"Travel and tourism","2001222912","2.9203550181906412","travel","Services"
"Transport","2409904128","3.516737476551109","transport","Services"
"Insurance and finance","44517464","0.06496367726451516","financial","Services"
