"Name","Gross Export","Share","Code","Sector"
"Live animals","32569313","0.1097906152911844","01","Agriculture"
"Meat","188856213","0.6366311695562317","02","Agriculture"
"Fish","416234130","1.4031183659873587","03","Agriculture"
"Diary products","49087229","0.1654722368521949","04","Agriculture"
"Animal products","31560638","0.10639038855386158","05","Agriculture"
"Plants","3064028","0.01032878769624085","06","Agriculture"
"Vegetables","225225918","0.7592328434051355","07","Agriculture"
"Fruits and nuts","434091409","1.463314958062738","08","Agriculture"
"Coffee, tea and spices","96496245","0.32528724544600857","09","Agriculture"
"Cereals","2094376114","7.060107230607529","10","Agriculture"
"Flours, starches and malts","109103196","0.3677850686956366","11","Agriculture"
"Oil seeds and oleaginous fruits","104823361","0.3533578157168972","12","Agriculture"
"Lac and other vegetable extracts","40248851","0.13567821083770487","13","Agriculture"
"Other vegetable materials","6299213","0.021234542807833483","14","Agriculture"
"Animal or vegetable fats, oils or waxes","52781661","0.17792610600293324","15","Agriculture"
"Preparations of meat or fish","25640816","0.08643476653032398","16","Agriculture"
"Sugar and candy","570781372","1.9240945619155803","17","Agriculture"
"Cocoa","7685838","0.025908832742292297","18","Agriculture"
"Preparations of cereals, flour, starch or milk","55323560","0.18649480547835806","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","56952614","0.1919863195610335","20","Agriculture"
"Miscellaneous edible preparations","35919186","0.12108298175336081","21","Agriculture"
"Beverages","436918409","1.472844728292407","22","Agriculture"
"Food residues and animal feed","93292327","0.3144868908741298","23","Agriculture"
"Tobacco","25980569","0.08758006827239713","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","469643869","1.5831617125372712","25","Minerals"
"Ores, slag and ash","166031918","0.5596908487199431","26","Minerals"
"Mineral fuels, oils and waxes","617062546","2.0801076337865885","27","Minerals"
"Inorganic chemicals","30918924","0.10422718127647851","28","Chemicals"
"Organic chemicals","13519899","0.04557535585367333","29","Chemicals"
"Pharmaceutical products","181428490","0.6115924382086443","30","Chemicals"
"Fertilisers","8654298","0.02917349537993837","31","Chemicals"
"Dyes, paints, inks, etc.","47123439","0.15885233325144424","32","Chemicals"
"Essential oils","21644893","0.07296457620649997","33","Chemicals"
"Soaps, waxes, and paints","17059744","0.05750811478492321","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","7707531","0.02598195948639991","35","Chemicals"
