"Name","Gross Import","Share","Code","Sector"
"Live animals","24084722","0.03372987042452835","01","Agriculture"
"Meat","34467492","0.04827060237682907","02","Agriculture"
"Fish","17595399","0.024641784461447203","03","Agriculture"
"Diary products","166380173","0.23301002504826962","04","Agriculture"
"Animal products","6323381","0.008855689585079058","05","Agriculture"
"Plants","3998613","0.005599927554398783","06","Agriculture"
"Vegetables","553040191","0.7745148140794985","07","Agriculture"
"Fruits and nuts","294601242","0.41257946508849547","08","Agriculture"
"Coffee, tea and spices","838173275","1.1738344315974485","09","Agriculture"
"Cereals","117127938","0.16403387059365643","10","Agriculture"
"Flours, starches and malts","23899101","0.03346991424657988","11","Agriculture"
"Oil seeds and oleaginous fruits","1242658197","1.740302419383874","12","Agriculture"
"Lac and other vegetable extracts","45224025","0.063334777263596","13","Agriculture"
"Other vegetable materials","22798064","0.031927947711005523","14","Agriculture"
"Animal or vegetable fats, oils or waxes","2208522343","3.0929637659536096","15","Agriculture"
"Preparations of meat or fish","5562526","0.007790136884829726","16","Agriculture"
"Sugar and candy","47404673","0.0663887039180746","17","Agriculture"
"Cocoa","41133106","0.0576055781560771","18","Agriculture"
"Preparations of cereals, flour, starch or milk","161484926","0.22615439071684318","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","70835210","0.09920240951065387","20","Agriculture"
"Miscellaneous edible preparations","97473312","0.13650820564213378","21","Agriculture"
"Beverages","19154041","0.02682461192768193","22","Agriculture"
"Food residues and animal feed","105729116","0.1480701908363288","23","Agriculture"
"Tobacco","29967415","0.041968390787656476","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","132818720","0.1860083008453123","25","Minerals"
"Ores, slag and ash","4281560","0.005996185632320921","26","Minerals"
"Mineral fuels, oils and waxes","14396442049","20.16174921541554","27","Minerals"
"Inorganic chemicals","511723447","0.7166520568725269","28","Chemicals"
"Organic chemicals","2658727364","3.723461266518576","29","Chemicals"
"Pharmaceutical products","851391873","1.19234664850134","30","Chemicals"
"Fertilisers","878949498","1.2309402067104713","31","Chemicals"
"Dyes, paints, inks, etc.","554002599","0.7758626352059176","32","Chemicals"
"Essential oils","238074582","0.3334157148350622","33","Chemicals"
"Soaps, waxes, and paints","224478717","0.31437514775858194","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","74272746","0.10401656696115927","35","Chemicals"
"Explosives","6896635","0.009658513181728527","36","Chemicals"
"Photographic or cinematographic goods","38306333","0.05364677443770512","37","Chemicals"
"Miscellaneous chemical products","673417310","0.9430990570675649","38","Chemicals"
"Plastics","2407909831","3.3721994629449306","39","Chemicals"
"Rubber","647110569","0.9062573212475864","40","Chemicals"
"Leather and skins","53029604","0.07426623697728585","41","Agriculture"
"Articles of leather","80420337","0.1126260683642893","42","Agriculture"
"Furskins","1195116","0.0016737211175732326","43","Agriculture"
"Wood","241146232","0.33771746083360443","44","Agriculture"
"Cork","782048","0.0010952328079917861","45","Agriculture"
"Manufactues of plaiting materials","513187","0.0007187017152845871","46","Agriculture"
"Pulp of wood","201123059","0.281666307771988","47","Agriculture"
"Paper and paperboard","749287913","1.0493533708279992","48","Agriculture"
"Products of the printing industry","76044360","0.10649765479195426","49","Agriculture"
"Silk","126327855","0.17691805536134506","50","Textiles"
"Wool","19414951","0.02719000790329102","51","Textiles"
"Cotton","1890986475","2.648265102511277","52","Textiles"
"Other vegetable textile fibres","54827153","0.07678364593271164","53","Textiles"
"Man-made filaments","1153176152","1.614985723464701","54","Textiles"
"Man-made staple fibres","892036926","1.2492687242922953","55","Textiles"
"Wadding, felt and nonwovens","150825868","0.21122672639970752","56","Textiles"
"Carpets","30410287","0.04258861863062895","57","Textiles"
"Special woven fabrics","118379870","0.16578716067274973","58","Textiles"
"Impregnated, coated or laminated textile fabrics","185864593","0.26029732202836714","59","Textiles"
"Knitted fabrics","348669816","0.48830074578498933","60","Textiles"
"Apparel, knit","143233739","0.20059419647404328","61","Textiles"
"Apparel, not knit","167850414","0.23506904978697446","62","Textiles"
"Other made up textile articles","268358764","0.37582772751151466","63","Textiles"
