"Name","Gross Export","Share","Code","Sector"
"Live animals","39520","0.002294699212998763","01","Agriculture"
"Meat","2185033","0.12687230530051433","02","Agriculture"
"Fish","45017","0.00261387840262058","03","Agriculture"
"Diary products","5029885","0.29205650685663676","04","Agriculture"
"Plants","1996584","0.11593015519954257","06","Agriculture"
"Vegetables","57340926","3.329457939393227","07","Agriculture"
"Fruits and nuts","31635154","1.8368715330691971","08","Agriculture"
"Coffee, tea and spices","12641542","0.7340216720265893","09","Agriculture"
"Cereals","5523387","0.3207113310219534","10","Agriculture"
"Flours, starches and malts","8409350","0.4882826120149582","11","Agriculture"
"Oil seeds and oleaginous fruits","3472682","0.20163868047558126","12","Agriculture"
"Lac and other vegetable extracts","5075","0.00029467607555588876","13","Agriculture"
"Animal or vegetable fats, oils or waxes","19295616","1.120385497204614","15","Agriculture"
"Preparations of meat or fish","7086803","0.41148991059659096","16","Agriculture"
"Sugar and candy","5802865","0.3369390118582507","17","Agriculture"
"Cocoa","7139109","0.41452701932723657","18","Agriculture"
"Preparations of cereals, flour, starch or milk","5331270","0.3095562012470627","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","9670488","0.5615096458227222","20","Agriculture"
"Miscellaneous edible preparations","13986897","0.8121387028895435","21","Agriculture"
"Beverages","9931013","0.5766368349033524","22","Agriculture"
"Food residues and animal feed","118948","0.006906626568516622","23","Agriculture"
"Tobacco","36130552","2.097893452419304","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","35448836","2.0583101232520806","25","Minerals"
"Ores, slag and ash","582795","0.03383955536031412","26","Minerals"
"Mineral fuels, oils and waxes","833459","0.048394172858470044","27","Minerals"
"Inorganic chemicals","171264","0.009944315941675611","28","Chemicals"
"Organic chemicals","57825","0.0033575653337968993","29","Chemicals"
"Pharmaceutical products","23506775","1.3649032918177884","30","Chemicals"
"Fertilisers","5015514","0.2912220655006143","31","Chemicals"
"Dyes, paints, inks, etc.","5080341","0.2949861967223013","32","Chemicals"
"Essential oils","7232084","0.4199255430956717","33","Chemicals"
"Soaps, waxes, and paints","12678512","0.7361683073986683","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","294710","0.01711211551272433","35","Chemicals"
"Explosives","4816","0.0002796374344585537","36","Chemicals"
"Miscellaneous chemical products","795984","0.04621821503946375","38","Chemicals"
"Plastics","88000066","5.109657950254029","39","Chemicals"
"Rubber","14659403","0.8511872603019157","40","Chemicals"
"Leather and skins","3546637","0.20593282218350945","41","Agriculture"
"Articles of leather","1533813","0.08905970354218805","42","Agriculture"
"Wood","35668559","2.0710681747494926","44","Agriculture"
"Cork","25986","0.0015088576353488323","45","Agriculture"
"Manufactues of plaiting materials","3163","0.00018365722699177853","46","Agriculture"
"Pulp of wood","916","0.000053186854228412624","47","Agriculture"
"Paper and paperboard","22363526","1.2985213945363707","48","Agriculture"
"Products of the printing industry","851368","0.04943404553573712","49","Agriculture"
"Cotton","1123366","0.06522740577200326","52","Textiles"
"Other vegetable textile fibres","2783","0.00016159281148217506","53","Textiles"
"Man-made filaments","2402569","0.13950337028024357","54","Textiles"
"Man-made staple fibres","147722","0.008577367336604334","55","Textiles"
"Wadding, felt and nonwovens","98293","0.005707309457066989","56","Textiles"
"Carpets","602660","0.03499300171320432","57","Textiles"
"Special woven fabrics","1067439","0.061980046387251686","58","Textiles"
"Impregnated, coated or laminated textile fabrics","1004945","0.05835137906394337","59","Textiles"
"Apparel, knit","2674938","0.15531827235375723","61","Textiles"
"Apparel, not knit","5680714","0.3298464054926886","62","Textiles"
"Other made up textile articles","1571533","0.0912498871027729","63","Textiles"
"Footwear","36410691","2.1141595137257374","64","Textiles"
"Headgear","453587","0.02633718957303821","65","Textiles"
"Umbrellas and walking-sticks","198450","0.011522850678633718","66","Textiles"
"Feathers and down","5969","0.000346585516254798","67","Textiles"
"Articles of stone, plaster, cement, etc.","172771683","10.031858426330258","68","Stone"
"Ceramic products","20690232","1.2013628311528801","69","Stone"
"Glass and glassware","10344710","0.6006578414903956","70","Stone"
"Precious metals and stones","165240","0.009594536891597056","71","Stone"
"Iron and steel","76961415","4.468706944123765","72","Metals"
"Articles of iron or steel","30327287","1.7609312148605167","73","Metals"
"Copper","28676184","1.6650611552785355","74","Metals"
"Nickel","929116","0.05394842494900199","75","Metals"
"Aluminium","37492142","2.17695315640278","76","Metals"
"Lead","2446209","0.14203729420876748","78","Metals"
"Tin","51222","0.0029741670821918685","80","Metals"
"Metal tools and tableware","2496589","0.1449625711913302","82","Metals"
"Miscellaneous articles of base metal","3897665","0.2263150002032597","83","Metals"
"Industrial Machinery","15016066","0.8718966303779728","84","Machinery"
"Electrical machinery and equipment","15191167","0.882063738852044","85","Electronics"
"Trains","159159","0.009241448179192058","86","Vehicles"
"Vehicles","10727880","0.6229063206767502","87","Vehicles"
"Apparatuses (optical, medical, etc.)","6643518","0.38575089894086834","90","Machinery"
"Clocks","12928","0.0007506546413372472","91","Machinery"
"Musical instruments","262739","0.015255743333099243","92","Machinery"
"Furniture","113951797","6.616525781773654","94","Textiles"
"Toys","2489603","0.14455693433146152","95","Machinery"
"Miscellaneous manufactured articles","1378098","0.08001822864461461","96","Machinery"
"Art","438303","0.025449735555541416","97","Textiles"
"Other","1599881","0.09289589249978933","99","Other"
"Travel and tourism","314641632","18.26943080280988","travel","Services"
"Transport","12772450","0.7416227470411451","transport","Services"
"ICT","284957088","16.54581997904907","ict","Services"
"Insurance and finance","118346","0.006871671889209303","financial","Services"
