"Name","Gross Import","Share","Code","Sector"
"Live animals","123345060","2.154890240875769","01","Agriculture"
"Meat","52923763","0.9246004696022859","02","Agriculture"
"Fish","10234309","0.1787976963666567","03","Agriculture"
"Diary products","90209146","1.5759918423416182","04","Agriculture"
"Animal products","203341","0.0035524530651646676","05","Agriculture"
"Plants","2996089","0.0523429389624136","06","Agriculture"
"Vegetables","47404554","0.8281775596660977","07","Agriculture"
"Fruits and nuts","113218866","1.977981359175807","08","Agriculture"
"Coffee, tea and spices","28527868","0.49839389065271156","09","Agriculture"
"Cereals","53051065","0.9268244892545037","10","Agriculture"
"Flours, starches and malts","42058086","0.7347725078840922","11","Agriculture"
"Oil seeds and oleaginous fruits","61174529","1.0687448328475557","12","Agriculture"
"Lac and other vegetable extracts","287414","0.005021243847877397","13","Agriculture"
"Other vegetable materials","69266","0.0012101062452318807","14","Agriculture"
"Animal or vegetable fats, oils or waxes","25793687","0.45062659495649193","15","Agriculture"
"Preparations of meat or fish","8436395","0.14738738019725425","16","Agriculture"
"Sugar and candy","63056580","1.1016250579066744","17","Agriculture"
"Cocoa","36655445","0.6403860900911518","18","Agriculture"
"Preparations of cereals, flour, starch or milk","60437951","1.055876504405024","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","48326258","0.8442801174383844","20","Agriculture"
"Miscellaneous edible preparations","35420384","0.618809053314922","21","Agriculture"
"Beverages","108220781","1.8906627053961778","22","Agriculture"
"Food residues and animal feed","216818293","3.787907060315534","23","Agriculture"
"Tobacco","50401227","0.8805307013549171","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","205955720","3.598133326787003","25","Minerals"
"Ores, slag and ash","6194088","0.1082133308162136","26","Minerals"
"Mineral fuels, oils and waxes","1048964302","18.325848942850758","27","Minerals"
"Inorganic chemicals","7613135","0.1330046806412008","28","Chemicals"
"Organic chemicals","21718808","0.37943673952288476","29","Chemicals"
"Pharmaceutical products","113071634","1.975409154014574","30","Chemicals"
"Fertilisers","3013678","0.05265022621369681","31","Chemicals"
"Dyes, paints, inks, etc.","35091445","0.6130623501965041","32","Chemicals"
"Essential oils","42767718","0.7471700783373649","33","Chemicals"
"Soaps, waxes, and paints","32073031","0.5603293840645586","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","6135509","0.10718993097012114","35","Chemicals"
"Explosives","876245","0.01530836986188331","36","Chemicals"
"Photographic or cinematographic goods","686553","0.011994370585607417","37","Chemicals"
"Miscellaneous chemical products","16312922","0.28499363021078944","38","Chemicals"
"Plastics","129064478","2.254810886515645","39","Chemicals"
"Rubber","18344047","0.3204782409483317","40","Chemicals"
"Leather and skins","7188233","0.12558146342335197","41","Agriculture"
"Articles of leather","4290060","0.07494915829439382","42","Agriculture"
"Furskins","926","0.00001617761070488727","43","Agriculture"
"Wood","97452314","1.7025330433935588","44","Agriculture"
"Cork","1045055","0.018257551787468646","45","Agriculture"
"Manufactues of plaiting materials","208502","0.0036426179127326194","46","Agriculture"
"Pulp of wood","93112","0.0016267059265156194","47","Agriculture"
"Paper and paperboard","76566799","1.3376542841699264","48","Agriculture"
"Products of the printing industry","3038075","0.053076452097462624","49","Agriculture"
"Silk","11608","0.00020279665773469913","50","Textiles"
"Wool","9135","0.00015959230430793216","51","Textiles"
"Cotton","1125984","0.01967141556364124","52","Textiles"
"Other vegetable textile fibres","70035","0.0012235409996941469","53","Textiles"
"Man-made filaments","8488603","0.14829947598524643","54","Textiles"
"Man-made staple fibres","1939746","0.033888181052227066","55","Textiles"
"Wadding, felt and nonwovens","799216","0.013962640731228059","56","Textiles"
"Carpets","3784810","0.06612222761551229","57","Textiles"
"Special woven fabrics","2347000","0.04100308026389894","58","Textiles"
"Impregnated, coated or laminated textile fabrics","2035074","0.035553601433734074","59","Textiles"
"Knitted fabrics","1686729","0.02946786730739071","60","Textiles"
"Apparel, knit","10269660","0.1794152932522166","61","Textiles"
"Apparel, not knit","17897792","0.3126819778110645","62","Textiles"
"Other made up textile articles","3552751","0.06206805897343299","63","Textiles"
"Footwear","11083586","0.19363492388999856","64","Textiles"
"Headgear","153721","0.002685570729120924","65","Textiles"
"Umbrellas and walking-sticks","75273","0.0013150510697505177","66","Textiles"
"Feathers and down","152519","0.0026645712819640404","67","Textiles"
"Articles of stone, plaster, cement, etc.","19337413","0.3378327640967886","68","Stone"
"Ceramic products","16370397","0.28599774271107387","69","Stone"
"Glass and glassware","16180091","0.2826730165957345","70","Stone"
"Precious metals and stones","2162182","0.0377742318240978","71","Stone"
"Iron and steel","101200946","1.7680232260845772","72","Metals"
"Articles of iron or steel","44216617","0.7724829551977326","73","Metals"
"Copper","10240702","0.1789093847740394","74","Metals"
"Nickel","2228621","0.03893494918654057","75","Metals"
"Aluminium","40446788","0.7066224519731166","76","Metals"
"Lead","67764","0.0011838656714967396","78","Metals"
"Zinc","83992","0.0014673756785365999","79","Metals"
"Tin","295551","0.00516340067110166","80","Metals"
"Other base metals","29271","0.0005113767202405563","81","Metals"
"Metal tools and tableware","10787417","0.1884607264981457","82","Metals"
"Miscellaneous articles of base metal","7718798","0.13485065783332878","83","Metals"
"Industrial Machinery","169374446","2.959043035360638","84","Machinery"
"Electrical machinery and equipment","184004291","3.2146326002449164","85","Electronics"
"Trains","428214","0.007481079255272783","86","Vehicles"
"Vehicles","171943377","3.003923343833334","87","Vehicles"
"Ships","845","0.000014762506528757821","89","Vehicles"
"Apparatuses (optical, medical, etc.)","42463071","0.7418477667084106","90","Machinery"
"Clocks","1356980","0.023707013147211582","91","Machinery"
"Musical instruments","798252","0.013945799244489927","92","Machinery"
"Furniture","15632959","0.2731143897056844","94","Textiles"
"Toys","8837019","0.15438645051154665","95","Machinery"
"Miscellaneous manufactured articles","5883900","0.10279421557935875","96","Machinery"
"Art","76589","0.0013380421450071393","97","Textiles"
"Other","3363587","0.05876328407993483","99","Other"
"Travel and tourism","876977408","15.321165338666404","travel","Services"
"Transport","448423808","7.834153128107034","transport","Services"
"ICT","217550976","3.8007073414646575","ict","Services"
"Insurance and finance","82957952","1.4493104236832874","financial","Services"
