"Name","Gross Export","Share","Code","Sector"
"Live animals","546027","0.0030980819349354346","01","Agriculture"
"Meat","9715888","0.05512660929707866","02","Agriculture"
"Fish","153215258","0.8693222550648078","03","Agriculture"
"Diary products","14689370","0.08334546063213454","04","Agriculture"
"Animal products","2783087","0.015790852023899283","05","Agriculture"
"Plants","628377","0.0035653244840070614","06","Agriculture"
"Vegetables","1741370","0.009880293353695913","07","Agriculture"
"Fruits and nuts","306651971","1.7399010152747845","08","Agriculture"
"Coffee, tea and spices","16637693","0.09439997678192057","09","Agriculture"
"Cereals","1033","0.000005861099613733944","10","Agriculture"
"Flours, starches and malts","922562","0.005234489624245513","11","Agriculture"
"Oil seeds and oleaginous fruits","1032247","0.005856827195525675","12","Agriculture"
"Lac and other vegetable extracts","33889","0.00019228151482074502","13","Agriculture"
"Animal or vegetable fats, oils or waxes","49221589","0.2792765113991006","15","Agriculture"
"Preparations of meat or fish","2603399","0.014771327079666347","16","Agriculture"
"Sugar and candy","27704013","0.15718875110666036","17","Agriculture"
"Cocoa","2867159","0.01626786496361452","18","Agriculture"
"Preparations of cereals, flour, starch or milk","2287690","0.012980037730244922","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1772750","0.010058339148351256","20","Agriculture"
"Miscellaneous edible preparations","9773058","0.055450983996901675","21","Agriculture"
"Beverages","30591824","0.17357379267165227","22","Agriculture"
"Food residues and animal feed","24104209","0.13676395939909222","23","Agriculture"
"Tobacco","2648773","0.015028772901421975","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1869018","0.010604550510998827","25","Minerals"
"Ores, slag and ash","174369","0.0009893456713912622","26","Minerals"
"Mineral fuels, oils and waxes","1063833820","6.036046458353442","27","Minerals"
"Inorganic chemicals","1999188","0.011343117148675252","28","Chemicals"
"Organic chemicals","9116290","0.0517245728922426","29","Chemicals"
"Pharmaceutical products","90501787","0.5134946648866715","30","Chemicals"
"Fertilisers","534606","0.003033280755178944","31","Chemicals"
"Dyes, paints, inks, etc.","3924029","0.02226439966716437","32","Chemicals"
"Essential oils","20425965","0.11589410994350732","33","Chemicals"
"Soaps, waxes, and paints","1356928","0.0076990224362679304","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","644558","0.0036571332476564604","35","Chemicals"
"Explosives","10764947","0.06107882546327819","36","Chemicals"
"Photographic or cinematographic goods","47845","0.0002714659351588582","37","Chemicals"
"Miscellaneous chemical products","15844333","0.08989856149677829","38","Chemicals"
"Plastics","26793398","0.15202204711366873","39","Chemicals"
"Rubber","55425503","0.31447666430233256","40","Chemicals"
"Leather and skins","9595729","0.054444843693509784","41","Agriculture"
"Articles of leather","9334254","0.052961270584602635","42","Agriculture"
"Furskins","4884","0.00002771114280104219","43","Agriculture"
"Wood","66398165","0.3767340360446686","44","Agriculture"
"Cork","6711","0.000038077288971702315","45","Agriculture"
"Manufactues of plaiting materials","48865","0.00027725327456448127","46","Agriculture"
"Pulp of wood","3048394","0.017296167372612654","47","Agriculture"
"Paper and paperboard","9982060","0.05663683253656249","48","Agriculture"
"Products of the printing industry","3619294","0.020535375281112857","49","Agriculture"
"Silk","128575","0.0007295168275274365","50","Textiles"
"Wool","80248","0.0004553160908063132","51","Textiles"
"Cotton","843626","0.004786617640596236","52","Textiles"
"Other vegetable textile fibres","8429","0.00004782498416666352","53","Textiles"
"Man-made filaments","3451888","0.019585536711958215","54","Textiles"
"Man-made staple fibres","1004604","0.005699984623771128","55","Textiles"
"Wadding, felt and nonwovens","973863","0.00552556442703754","56","Textiles"
"Carpets","513324","0.002912529620639267","57","Textiles"
"Special woven fabrics","260771","0.0014795787099448347","58","Textiles"
"Impregnated, coated or laminated textile fabrics","5772273","0.032751081365602","59","Textiles"
"Knitted fabrics","437725","0.0024835913150258377","60","Textiles"
"Apparel, knit","18755364","0.10641535014118055","61","Textiles"
"Apparel, not knit","22253110","0.126261078824181","62","Textiles"
"Other made up textile articles","4278498","0.024275607913999468","63","Textiles"
"Footwear","22540232","0.1278901694759666","64","Textiles"
"Headgear","654921","0.003715931481245158","65","Textiles"
"Umbrellas and walking-sticks","173259","0.0009830476843910255","66","Textiles"
"Feathers and down","107401","0.0006093784701012965","67","Textiles"
"Articles of stone, plaster, cement, etc.","1994931","0.01131896351745002","68","Stone"
"Ceramic products","1226533","0.006959179179604971","69","Stone"
"Glass and glassware","2933520","0.016644388130571924","70","Stone"
"Precious metals and stones","244555808","1.3875759456003798","71","Stone"
"Iron and steel","57819962","0.32806249462179216","72","Metals"
"Articles of iron or steel","13132920","0.07451437786950511","73","Metals"
"Copper","26275805","0.14908529577545832","74","Metals"
"Aluminium","32456323","0.1841527029995393","76","Metals"
"Lead","2716862","0.015415100502195963","78","Metals"
"Zinc","572435","0.003247917286919448","79","Metals"
"Tin","1162","0.000006593027832680389","80","Metals"
"Other base metals","16734","0.00009494640942519246","81","Metals"
"Metal tools and tableware","2299128","0.013044935365658173","82","Metals"
"Miscellaneous articles of base metal","2055554","0.011662930063319712","83","Metals"
"Industrial Machinery","101762862","0.5773884522368447","84","Machinery"
"Electrical machinery and equipment","72465105","0.4111570173520713","85","Electronics"
"Trains","1055259","0.005987394111606261","86","Vehicles"
"Vehicles","19011820","0.10787044613589473","87","Vehicles"
"Aircraft","4220100","0.02394426571144106","88","Vehicles"
"Ships","577502383","3.2766689195854135","89","Vehicles"
"Apparatuses (optical, medical, etc.)","16332306","0.09266725303773918","90","Machinery"
"Clocks","9968274","0.05655861267279198","91","Machinery"
"Musical instruments","1029641","0.005842041110730524","92","Machinery"
"Arms and ammunition","10603","0.00006015996050766796","93","Machinery"
"Furniture","7807246","0.04429723767175787","94","Textiles"
"Toys","6435344","0.03651325482347052","95","Machinery"
"Miscellaneous manufactured articles","2271998","0.012891003485192927","96","Machinery"
"Art","6688250","0.03794820860750828","97","Textiles"
"Other","471653792","2.676098604169748","99","Other"
"Travel and tourism","4908662272","27.851073132981202","travel","Services"
"Transport","7259761664","41.19088701323416","transport","Services"
"ICT","172478608","0.978619847750405","ict","Services"
"Insurance and finance","1447797632","8.214604202981722","financial","Services"
