"Name","Gross Import","Share","Code","Sector"
"Live animals","9239540","0.01973847583821534","01","Agriculture"
"Meat","107135818","0.22887478759769816","02","Agriculture"
"Fish","38391958","0.0820169332417824","03","Agriculture"
"Diary products","131791418","0.28154667005902223","04","Agriculture"
"Animal products","1868737","0.003992192265251194","05","Agriculture"
"Plants","12900289","0.027558952364781703","06","Agriculture"
"Vegetables","41007810","0.08760519104448115","07","Agriculture"
"Fruits and nuts","57554350","0.12295364778540803","08","Agriculture"
"Coffee, tea and spices","13903938","0.029703052778498076","09","Agriculture"
"Cereals","176294641","0.3766191295005322","10","Agriculture"
"Flours, starches and malts","26597641","0.05682067443098095","11","Agriculture"
"Oil seeds and oleaginous fruits","44928015","0.09597994473063338","12","Agriculture"
"Lac and other vegetable extracts","2389525","0.00510475429267166","13","Agriculture"
"Other vegetable materials","300934","0.0006428868198955245","14","Agriculture"
"Animal or vegetable fats, oils or waxes","77049650","0.16460155536617066","15","Agriculture"
"Preparations of meat or fish","94410350","0.2016893062157265","16","Agriculture"
"Sugar and candy","26651287","0.05693527865097641","17","Agriculture"
"Cocoa","43106920","0.09208953030993768","18","Agriculture"
"Preparations of cereals, flour, starch or milk","156109170","0.3334968061363283","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","105750803","0.2259159730773794","20","Agriculture"
"Miscellaneous edible preparations","192853771","0.41199448232187036","21","Agriculture"
"Beverages","547952691","1.1705940936224721","22","Agriculture"
"Food residues and animal feed","157326913","0.3360982766405586","23","Agriculture"
"Tobacco","129433240","0.276508882520334","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","15851295","0.033863201345729725","25","Minerals"
"Ores, slag and ash","756967","0.0016171124146685172","26","Minerals"
"Mineral fuels, oils and waxes","9323115731","19.917019093291316","27","Minerals"
"Inorganic chemicals","19645542","0.04196887032207714","28","Chemicals"
"Organic chemicals","1731308281","3.698602600672829","29","Chemicals"
"Pharmaceutical products","1130983598","2.416125956762009","30","Chemicals"
"Fertilisers","38993793","0.08330263638350724","31","Chemicals"
"Dyes, paints, inks, etc.","156960218","0.33531490426514876","32","Chemicals"
"Essential oils","424516392","0.9068965063648571","33","Chemicals"
"Soaps, waxes, and paints","93755719","0.20029081471328736","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","23255701","0.04968127117684001","35","Chemicals"
"Explosives","12473168","0.026646491621227977","36","Chemicals"
"Photographic or cinematographic goods","5068969","0.01082886400526028","37","Chemicals"
"Miscellaneous chemical products","163193419","0.34863092295582376","38","Chemicals"
"Plastics","504796807","1.0783999612727204","39","Chemicals"
"Rubber","277505644","0.5928367049725838","40","Chemicals"
"Leather and skins","3844737","0.008213531017647257","41","Agriculture"
"Articles of leather","174600439","0.37299979723485055","42","Agriculture"
"Furskins","3370004","0.007199356518689139","43","Agriculture"
"Wood","76090437","0.16255238380306233","44","Agriculture"
"Cork","1672894","0.0035738118779609605","45","Agriculture"
"Manufactues of plaiting materials","1867265","0.003989047624237264","46","Agriculture"
"Pulp of wood","896426","0.0019150393787729716","47","Agriculture"
"Paper and paperboard","248235014","0.5303057106780258","48","Agriculture"
"Products of the printing industry","47632186","0.10175687885786294","49","Agriculture"
"Silk","38354","0.0000819358433752017","50","Textiles"
"Wool","1093794","0.002336677631244078","51","Textiles"
"Cotton","19893193","0.0424979284007055","52","Textiles"
"Other vegetable textile fibres","1118652","0.0023897819018448177","53","Textiles"
"Man-made filaments","51288388","0.1095676416054277","54","Textiles"
"Man-made staple fibres","29943487","0.06396842209259498","55","Textiles"
"Wadding, felt and nonwovens","23183564","0.04952716454041207","56","Textiles"
"Carpets","11528541","0.024628480203384033","57","Textiles"
"Special woven fabrics","10160340","0.02170558551595132","58","Textiles"
"Impregnated, coated or laminated textile fabrics","11178854","0.023881442104037313","59","Textiles"
"Knitted fabrics","20756265","0.044341713461286465","60","Textiles"
"Apparel, knit","614398739","1.3125431206295413","61","Textiles"
"Apparel, not knit","569095941","1.2157625250883617","62","Textiles"
"Other made up textile articles","135957057","0.2904457456355366","63","Textiles"
"Footwear","623819106","1.3326678980986166","64","Textiles"
"Headgear","13900317","0.02969531721796041","65","Textiles"
"Umbrellas and walking-sticks","11935955","0.025498840783580737","66","Textiles"
"Feathers and down","13693156","0.02925275813026551","67","Textiles"
"Articles of stone, plaster, cement, etc.","79191589","0.16917739044004135","68","Stone"
"Ceramic products","122868591","0.26248478979787554","69","Stone"
"Glass and glassware","58735107","0.12547610491155325","70","Stone"
"Precious metals and stones","246736935","0.5271053569650447","71","Stone"
"Iron and steel","272899576","0.5829967387050882","72","Metals"
"Articles of iron or steel","540101422","1.1538213881137749","73","Metals"
"Copper","22905927","0.04893404721895509","74","Metals"
"Nickel","932077","0.0019912007896341418","75","Metals"
"Aluminium","120939726","0.25836414578338135","76","Metals"
"Lead","176264","0.0003765536709779046","78","Metals"
"Zinc","1680427","0.003589904663801952","79","Metals"
"Tin","329395","0.0007036881975432697","80","Metals"
"Other base metals","637084","0.0013610057579612816","81","Metals"
"Metal tools and tableware","70696943","0.1510302354057872","82","Metals"
"Miscellaneous articles of base metal","67112037","0.14337178266211456","83","Metals"
"Industrial Machinery","2514950165","5.3727007043822725","84","Machinery"
"Electrical machinery and equipment","1741059134","3.7194333970482427","85","Electronics"
"Trains","328919613","0.7026726259008176","86","Vehicles"
"Vehicles","1141488943","2.4385685781971254","87","Vehicles"
"Aircraft","294530821","0.6292076763473319","88","Vehicles"
"Ships","9258720466","19.779451164336198","89","Vehicles"
"Apparatuses (optical, medical, etc.)","358184750","0.7651918854718094","90","Machinery"
"Clocks","85243866","0.18210690027826776","91","Machinery"
"Musical instruments","12589059","0.026894070148228953","92","Machinery"
"Arms and ammunition","1482358","0.003166768861500163","93","Machinery"
"Furniture","350001161","0.7477092430733366","94","Textiles"
"Toys","201541913","0.4305550038354937","95","Machinery"
"Miscellaneous manufactured articles","54658345","0.11676689771778014","96","Machinery"
"Art","11553499","0.024681798104488437","97","Textiles"
"Other","5527103488","11.807579019432106","99","Other"
"Travel and tourism","880373312","1.8807459405469986","travel","Services"
"Transport","2494472448","5.328954054416331","transport","Services"
"ICT","206406224","0.44094665592456583","ict","Services"
"Insurance and finance","902248192","1.9274773568668433","financial","Services"
