"Name","Gross Export","Share","Code","Sector"
"Live animals","1887","0.000020339720277055894","01","Agriculture"
"Meat","240367","0.002590883701025487","02","Agriculture"
"Fish","236822052","2.552673181302801","03","Agriculture"
"Animal products","293038","0.0031586173558812427","05","Agriculture"
"Plants","32405","0.00034928915504928257","06","Agriculture"
"Vegetables","37871","0.00040820643699649383","07","Agriculture"
"Fruits and nuts","1515","0.000016329982098431204","08","Agriculture"
"Coffee, tea and spices","172888398","1.8635408873705934","09","Agriculture"
"Cereals","372189","0.004011775384312219","10","Agriculture"
"Flours, starches and malts","250839","0.0027037599865269864","11","Agriculture"
"Oil seeds and oleaginous fruits","44299109","0.4774941630009588","12","Agriculture"
"Lac and other vegetable extracts","34502","0.00037189243720136856","13","Agriculture"
"Other vegetable materials","117192","0.0012631968726596367","14","Agriculture"
"Animal or vegetable fats, oils or waxes","472190307","5.089676079447349","15","Agriculture"
"Preparations of meat or fish","186197850","2.0070016879646064","16","Agriculture"
"Sugar and candy","61748","0.0006655734221874126","17","Agriculture"
"Cocoa","69983779","0.7543457810234756","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1999106","0.021548095836875517","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","31902","0.000343867385415282","20","Agriculture"
"Miscellaneous edible preparations","27791","0.00029955546699505055","21","Agriculture"
"Beverages","2605828","0.028087871017551672","22","Agriculture"
"Food residues and animal feed","9606677","0.10354908477584869","23","Agriculture"
"Tobacco","1876722","0.02022893509157228","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","720674","0.0077680485272639006","25","Minerals"
"Ores, slag and ash","768503463","8.283595903216098","26","Minerals"
"Mineral fuels, oils and waxes","4071563057","43.88683289336226","27","Minerals"
"Inorganic chemicals","281812","0.0030376138053617783","28","Chemicals"
"Organic chemicals","8805687","0.09491532084118044","29","Chemicals"
"Pharmaceutical products","176858","0.0019063286956860367","30","Chemicals"
"Fertilisers","398128","0.004291368391342718","31","Chemicals"
"Dyes, paints, inks, etc.","276431","0.002979612727030651","32","Chemicals"
"Essential oils","326238","0.0035164757094574253","33","Chemicals"
"Soaps, waxes, and paints","161134","0.0017368418055766428","34","Chemicals"
"Explosives","682473","0.007356285064463788","36","Chemicals"
"Miscellaneous chemical products","1050577","0.011324028780873636","38","Chemicals"
"Plastics","413595","0.004458085112871719","39","Chemicals"
"Rubber","8064002","0.08692079755888675","40","Chemicals"
"Leather and skins","4352045","0.04691011019245348","41","Agriculture"
"Articles of leather","122831","0.0013239788984372297","42","Agriculture"
"Wood","750122119","8.085465858024609","44","Agriculture"
"Manufactues of plaiting materials","1050","0.000011317809375150338","46","Agriculture"
"Pulp of wood","101108","0.0010898295907644767","47","Agriculture"
"Paper and paperboard","262856","0.0028332896201090645","48","Agriculture"
"Products of the printing industry","37173","0.00040068278847853677","49","Agriculture"
"Wadding, felt and nonwovens","4474","0.00004822464680421201","56","Textiles"
"Special woven fabrics","1662","0.000017914475410952252","58","Textiles"
"Apparel, knit","57595","0.000620808791392175","61","Textiles"
"Apparel, not knit","75751","0.0008165098837876318","62","Textiles"
"Other made up textile articles","430995","0.004645637382517067","63","Textiles"
"Footwear","81445","0.0008778847471991614","64","Textiles"
"Headgear","5271","0.0000568154030632547","65","Textiles"
"Articles of stone, plaster, cement, etc.","7817","0.00008425839608147638","68","Stone"
"Glass and glassware","9138","0.00009849727816202267","70","Stone"
"Precious metals and stones","1958456525","21.10994058997081","71","Stone"
"Iron and steel","5254094","0.056633175553448704","72","Metals"
"Articles of iron or steel","912452","0.009835197904737787","73","Metals"
"Copper","4834149","0.05210664464102251","74","Metals"
"Nickel","420976192","4.537645992888276","75","Metals"
"Aluminium","7647187","0.08242800449726456","76","Metals"
"Metal tools and tableware","353199","0.0038070847176130715","82","Metals"
"Miscellaneous articles of base metal","1121311","0.012086461093580192","83","Metals"
"Industrial Machinery","17473304","0.18834240364385896","84","Machinery"
"Electrical machinery and equipment","7980110","0.08601653692641045","85","Electronics"
"Trains","426055","0.004592389784123503","86","Vehicles"
"Vehicles","1054641","0.011367834092588503","87","Vehicles"
"Aircraft","9273696","0.09995992717247067","88","Vehicles"
"Ships","985674","0.010624448036230414","89","Vehicles"
"Apparatuses (optical, medical, etc.)","9540328","0.102833917790866","90","Machinery"
"Clocks","94881","0.0010227095917367994","91","Machinery"
"Musical instruments","16570","0.00017860581080594393","92","Machinery"
"Furniture","497772","0.005365417722178414","94","Textiles"
"Toys","185029","0.0019944028103568495","95","Machinery"
"Miscellaneous manufactured articles","2955","0.00003185154924149453","96","Machinery"
"Art","3798102","0.04093923278416881","97","Textiles"
"Other","9458963","0.10195689535295255","99","Other"
