"Name","Gross Import","Share","Code","Sector"
"Live animals","790511","0.01723226261600349","01","Agriculture"
"Meat","110708217","2.4133162841421587","02","Agriculture"
"Fish","17541897","0.3823938893790013","03","Agriculture"
"Diary products","27604028","0.6017371798185143","04","Agriculture"
"Animal products","2438734","0.05316169507897631","05","Agriculture"
"Plants","87312","0.0019033047149609513","06","Agriculture"
"Vegetables","5675976","0.12372997850015117","07","Agriculture"
"Fruits and nuts","6367487","0.1388041509706863","08","Agriculture"
"Coffee, tea and spices","2354254","0.05132012482150997","09","Agriculture"
"Cereals","124108194","2.705420913568449","10","Agriculture"
"Flours, starches and malts","15517267","0.33825920199294457","11","Agriculture"
"Oil seeds and oleaginous fruits","7779848","0.16959205355597773","12","Agriculture"
"Lac and other vegetable extracts","374177","0.008156643397585026","13","Agriculture"
"Other vegetable materials","42799","0.0009329707084434414","14","Agriculture"
"Animal or vegetable fats, oils or waxes","40835624","0.8901712902873898","15","Agriculture"
"Preparations of meat or fish","47897347","1.0441090157048374","16","Agriculture"
"Sugar and candy","33611565","0.7326948202047425","17","Agriculture"
"Cocoa","3502546","0.07635161622878435","18","Agriculture"
"Preparations of cereals, flour, starch or milk","41042006","0.8946701888773094","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","13662291","0.2978227835517291","20","Agriculture"
"Miscellaneous edible preparations","112865648","2.4603458859666834","21","Agriculture"
"Beverages","26930959","0.5870650224839662","22","Agriculture"
"Food residues and animal feed","29773476","0.6490287389084745","23","Agriculture"
"Tobacco","12185483","0.26563000787951846","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","41111492","0.896184906572744","25","Minerals"
"Ores, slag and ash","98493","0.002147038108056727","26","Minerals"
"Mineral fuels, oils and waxes","750970171","16.37031641995753","27","Minerals"
"Inorganic chemicals","62453487","1.3614167156044126","28","Chemicals"
"Organic chemicals","24986149","0.5446703225263063","29","Chemicals"
"Pharmaceutical products","52046764","1.1345617019385639","30","Chemicals"
"Fertilisers","43953539","0.9581383775187838","31","Chemicals"
"Dyes, paints, inks, etc.","18896743","0.4119280287853371","32","Chemicals"
"Essential oils","15004224","0.3270754338868685","33","Chemicals"
"Soaps, waxes, and paints","29654580","0.646436938040438","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","5738519","0.12509334649982823","35","Chemicals"
"Explosives","5831516","0.1271205779064759","36","Chemicals"
"Photographic or cinematographic goods","6831437","0.14891774615240397","37","Chemicals"
"Miscellaneous chemical products","34269280","0.7470322773767297","38","Chemicals"
"Plastics","129465261","2.8221990297433357","39","Chemicals"
"Rubber","89481092","1.9505885136459438","40","Chemicals"
"Leather and skins","7073","0.00015418355150401787","41","Agriculture"
"Articles of leather","8632120","0.18817063743939808","42","Agriculture"
"Furskins","13845","0.00030180563701019756","43","Agriculture"
"Wood","7457815","0.16257209149723414","44","Agriculture"
"Cork","13921","0.0003034623526774258","45","Agriculture"
"Manufactues of plaiting materials","81031","0.0017663858846206802","46","Agriculture"
"Pulp of wood","177615","0.003871809910983477","47","Agriculture"
"Paper and paperboard","56813025","1.2384609028964448","48","Agriculture"
"Products of the printing industry","10283125","0.2241607144153476","49","Agriculture"
"Silk","46896","0.0010222807622412586","50","Textiles"
"Wool","5316","0.00011588290114454389","51","Textiles"
"Cotton","1406317","0.030656150091966053","52","Textiles"
"Other vegetable textile fibres","71507","0.0015587732528485516","53","Textiles"
"Man-made filaments","5643010","0.12301135628060057","54","Textiles"
"Man-made staple fibres","5896104","0.12852852463693562","55","Textiles"
