"Name","Gross Export","Share","Code","Sector"
"Live animals","30769","0.00035283226839731156","01","Agriculture"
"Meat","1051532840","12.058068745538277","02","Agriculture"
"Fish","133180","0.0015271930028650249","03","Agriculture"
"Diary products","8841333","0.10138475667217028","04","Agriculture"
"Animal products","70232515","0.8053657116805293","05","Agriculture"
"Plants","98762","0.0011325171598509955","06","Agriculture"
"Vegetables","655299","0.007514401919090314","07","Agriculture"
"Fruits and nuts","11275353","0.12929599193897856","08","Agriculture"
"Coffee, tea and spices","3353562","0.03845574726741281","09","Agriculture"
"Cereals","384320017","4.407049413000206","10","Agriculture"
"Flours, starches and malts","20109460","0.2305978870956157","11","Agriculture"
"Oil seeds and oleaginous fruits","2313982151","26.53474508005526","12","Agriculture"
"Lac and other vegetable extracts","334763","0.003838772422421567","13","Agriculture"
"Other vegetable materials","47173","0.0005409391464495557","14","Agriculture"
"Animal or vegetable fats, oils or waxes","317739674","3.643563649687746","15","Agriculture"
"Preparations of meat or fish","5124449","0.05876274708168399","16","Agriculture"
"Sugar and candy","53243796","0.6105537820781859","17","Agriculture"
"Cocoa","59098","0.0006776847280621507","18","Agriculture"
"Preparations of cereals, flour, starch or milk","3662972","0.042003793423115374","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","8018670","0.0919511692167269","20","Agriculture"
"Miscellaneous edible preparations","9998407","0.11465308011861153","21","Agriculture"
"Beverages","20663255","0.2369483289714352","22","Agriculture"
"Food residues and animal feed","947588088","10.866120270249644","23","Agriculture"
"Tobacco","36476061","0.4182759057762263","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","3271953","0.03751992586952416","25","Minerals"
"Ores, slag and ash","287360","0.0032951958349849344","26","Minerals"
"Mineral fuels, oils and waxes","1370287947","15.713276502242678","27","Minerals"
"Inorganic chemicals","4115900","0.047197579820484725","28","Chemicals"
"Organic chemicals","3427550","0.039304177631551404","29","Chemicals"
"Pharmaceutical products","41775817","0.4790489218453954","30","Chemicals"
"Fertilisers","631717","0.007243983947971804","31","Chemicals"
"Dyes, paints, inks, etc.","2617071","0.030010305745614755","32","Chemicals"
"Essential oils","18099778","0.20755259284434835","33","Chemicals"
"Soaps, waxes, and paints","6577190","0.07542152385128258","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","1311820","0.015042816676816317","35","Chemicals"
"Explosives","16718","0.00019170755835634093","36","Chemicals"
"Photographic or cinematographic goods","2963","0.000033977120194391566","37","Chemicals"
"Miscellaneous chemical products","43867355","0.5030328698768288","38","Chemicals"
"Plastics","64122618","0.7353026996169613","39","Chemicals"
"Rubber","1147909","0.013163227156673583","40","Chemicals"
"Leather and skins","77621572","0.8900970238007488","41","Agriculture"
"Articles of leather","7582268","0.08694688868784642","42","Agriculture"
"Wood","69109921","0.7924927750394553","44","Agriculture"
"Cork","88250","0.0010119746396068361","45","Agriculture"
"Manufactues of plaiting materials","106784","0.0012245065146263615","46","Agriculture"
"Pulp of wood","2272183","0.02605542858408816","47","Agriculture"
"Paper and paperboard","29250346","0.33541765837649024","48","Agriculture"
"Products of the printing industry","204882","0.002349409497019012","49","Agriculture"
"Wool","1244232","0.014267775974926832","51","Textiles"
"Cotton","7012888","0.08041773151731565","52","Textiles"
"Other vegetable textile fibres","2792","0.00003201624015617322","53","Textiles"
"Man-made filaments","9563028","0.10966053046855617","54","Textiles"
"Man-made staple fibres","2818430","0.03231931652699258","55","Textiles"
"Wadding, felt and nonwovens","12270559","0.14070815322152316","56","Textiles"
"Carpets","10465736","0.12001200472317611","57","Textiles"
"Special woven fabrics","71034","0.0008145564481567366","58","Textiles"
"Impregnated, coated or laminated textile fabrics","153812","0.0017637829265405856","59","Textiles"
"Knitted fabrics","864118","0.009908957525527253","60","Textiles"
"Apparel, knit","18104857","0.20761083442162384","61","Textiles"
