"Name","Gross Import","Share","Code","Sector"
"Live animals","10582324","0.08537747301387477","01","Agriculture"
"Meat","30990498","0.25002923806543254","02","Agriculture"
"Fish","3342970","0.026970855453035927","03","Agriculture"
"Diary products","34196102","0.2758918339378674","04","Agriculture"
"Animal products","26579951","0.21444524371136375","05","Agriculture"
"Plants","2959673","0.02387844122778643","06","Agriculture"
"Vegetables","12616200","0.10178664677415349","07","Agriculture"
"Fruits and nuts","12274141","0.09902693793877357","08","Agriculture"
"Coffee, tea and spices","9132940","0.07368394110663569","09","Agriculture"
"Cereals","40605593","0.32760317304307474","10","Agriculture"
"Flours, starches and malts","20917006","0.16875698715103193","11","Agriculture"
"Oil seeds and oleaginous fruits","17478582","0.1410160152935969","12","Agriculture"
"Lac and other vegetable extracts","2867526","0.02313500547531755","13","Agriculture"
"Other vegetable materials","99282","0.000801000449028353","14","Agriculture"
"Animal or vegetable fats, oils or waxes","32563786","0.26272241904940663","15","Agriculture"
"Preparations of meat or fish","17502291","0.141207297899165","16","Agriculture"
"Sugar and candy","49266507","0.3974788403644013","17","Agriculture"
"Cocoa","27699219","0.22347542209801055","18","Agriculture"
"Preparations of cereals, flour, starch or milk","74853986","0.6039168872259024","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","67731335","0.546451821561711","20","Agriculture"
"Miscellaneous edible preparations","99983046","0.8066564406561357","21","Agriculture"
"Beverages","229236896","1.849467744705645","22","Agriculture"
"Food residues and animal feed","65966463","0.5322129538467418","23","Agriculture"
"Tobacco","189015143","1.5249613667750281","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","45548382","0.3674812597904449","25","Minerals"
"Ores, slag and ash","530646","0.004281215973440295","26","Minerals"
"Mineral fuels, oils and waxes","657153224","5.301867685022761","27","Minerals"
"Inorganic chemicals","33201642","0.2678685980387041","28","Chemicals"
"Organic chemicals","198682976","1.6029607883633434","29","Chemicals"
"Pharmaceutical products","170412576","1.3748771166583902","30","Chemicals"
"Fertilisers","320725572","2.587592183748064","31","Chemicals"
"Dyes, paints, inks, etc.","68955159","0.5563255506720399","32","Chemicals"
"Essential oils","173332994","1.3984388512059467","33","Chemicals"
"Soaps, waxes, and paints","71163658","0.5741435709645266","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","22974909","0.18536000911933226","35","Chemicals"
"Explosives","6767965","0.05460348304836905","36","Chemicals"
"Photographic or cinematographic goods","6326999","0.0510457992385522","37","Chemicals"
"Miscellaneous chemical products","393951880","3.1783770751552525","38","Chemicals"
"Plastics","401227664","3.237077607487733","39","Chemicals"
"Rubber","233076794","1.880447781592725","40","Chemicals"
"Leather and skins","6586798","0.053141839967557634","41","Agriculture"
"Articles of leather","38986497","0.31454041621887685","42","Agriculture"
"Furskins","118575","0.0009566550658078699","43","Agriculture"
"Wood","18785416","0.15155946345948315","44","Agriculture"
"Cork","94106","0.0007592408317344753","45","Agriculture"
"Manufactues of plaiting materials","126780","0.0010228524498681994","46","Agriculture"
"Pulp of wood","4614240","0.037227375676603884","47","Agriculture"
"Paper and paperboard","256426911","2.0688349434333864","48","Agriculture"
"Products of the printing industry","17352023","0.13999494585675457","49","Agriculture"
"Silk","16580","0.00013376631660210402","50","Textiles"
"Wool","70510","0.0005688699025099128","51","Textiles"
"Cotton","45987226","0.37102182344804036","52","Textiles"
"Other vegetable textile fibres","317560","0.002562052563339213","53","Textiles"
"Man-made filaments","40783575","0.32903911975968964","54","Textiles"
"Man-made staple fibres","60602238","0.4889347500062762","55","Textiles"
"Wadding, felt and nonwovens","13602698","0.10974564579679175","56","Textiles"
"Carpets","16662699","0.1344335265307335","57","Textiles"
"Special woven fabrics","8035000","0.06482583557888454","58","Textiles"
"Impregnated, coated or laminated textile fabrics","11674339","0.09418777604308146","59","Textiles"
"Knitted fabrics","79601220","0.6422172494833375","60","Textiles"
"Apparel, knit","134401673","1.0843435912165533","61","Textiles"
"Apparel, not knit","128881723","1.0398090086274228","62","Textiles"
"Other made up textile articles","51125450","0.4124766665334764","63","Textiles"
"Footwear","138869009","1.1203857553748149","64","Textiles"
"Headgear","5456297","0.0440210344980163","65","Textiles"
"Umbrellas and walking-sticks","1575887","0.012714149539875746","66","Textiles"
"Feathers and down","7392971","0.05964598910833375","67","Textiles"
"Articles of stone, plaster, cement, etc.","28289184","0.22823521974422045","68","Stone"
"Ceramic products","77773732","0.6274732001229908","69","Stone"
"Glass and glassware","49689983","0.4008954160392742","70","Stone"
"Precious metals and stones","9829373","0.07930271536297785","71","Stone"
"Iron and steel","294713500","2.377728549331374","72","Metals"
"Articles of iron or steel","121583629","0.9809284807265836","73","Metals"
"Copper","23700775","0.191216246825406","74","Metals"
"Nickel","135926","0.0010966417581699391","75","Metals"
"Aluminium","96031404","0.7747748607484052","76","Metals"
"Lead","278857","0.0022497993817076553","78","Metals"
"Zinc","1091388","0.008805244435689813","79","Metals"
"Tin","354260","0.002858145676686452","80","Metals"
"Other base metals","78644","0.0006344944633809329","81","Metals"
"Metal tools and tableware","45677750","0.36852499204896","82","Metals"
"Miscellaneous articles of base metal","48057211","0.3877223221737102","83","Metals"
"Industrial Machinery","1267611199","10.227001265006434","84","Machinery"
