"Name","Gross Export","Share","Code","Sector"
"Live animals","5158940","0.00963702730032682","01","Agriculture"
"Meat","4792664","0.008952814688539416","02","Agriculture"
"Fish","877447871","1.6390942882531383","03","Agriculture"
"Diary products","118223135","0.22084373524895096","04","Agriculture"
"Animal products","6070868","0.0113405313209071","05","Agriculture"
"Plants","19921694","0.03721421628217366","06","Agriculture"
"Vegetables","796430562","1.4877519546280111","07","Agriculture"
"Fruits and nuts","3471176660","6.484243708334904","08","Agriculture"
"Coffee, tea and spices","813662681","1.5199419784013988","09","Agriculture"
"Cereals","135325740","0.25279182367248487","10","Agriculture"
"Flours, starches and malts","25096595","0.04688105912459644","11","Agriculture"
"Oil seeds and oleaginous fruits","240564857","0.44938109270668336","12","Agriculture"
"Lac and other vegetable extracts","18209647","0.034016070213709476","13","Agriculture"
"Other vegetable materials","33183940","0.06198841927070428","14","Agriculture"
"Animal or vegetable fats, oils or waxes","427372089","0.7983416145740604","15","Agriculture"
"Preparations of meat or fish","394954532","0.7377848176702584","16","Agriculture"
"Sugar and candy","42710243","0.07978378849038609","17","Agriculture"
"Cocoa","256705257","0.4795317584322385","18","Agriculture"
"Preparations of cereals, flour, starch or milk","155369170","0.2902334458084643","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","626823172","1.1709211623010645","20","Agriculture"
"Miscellaneous edible preparations","73083792","0.1365223279812145","21","Agriculture"
"Beverages","110401439","0.20623261399403095","22","Agriculture"
"Food residues and animal feed","1580415675","2.952255503231175","23","Agriculture"
"Tobacco","4461284","0.008333788666375502","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","390469653","0.7294069529612944","25","Minerals"
"Ores, slag and ash","16312605519","30.472349887004878","26","Minerals"
"Mineral fuels, oils and waxes","3910070551","7.304108333531875","27","Minerals"
"Inorganic chemicals","397056360","0.7417110842708762","28","Chemicals"
"Organic chemicals","22491689","0.04201503039838812","29","Chemicals"
"Pharmaceutical products","56394322","0.10534598593847212","30","Chemicals"
"Fertilisers","40020359","0.07475901876197051","31","Chemicals"
"Dyes, paints, inks, etc.","169432725","0.3165045137942613","32","Chemicals"
"Essential oils","81357144","0.15197715379605506","33","Chemicals"
"Soaps, waxes, and paints","48142811","0.08993195965091168","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","4299641","0.00803183555121876","35","Chemicals"
"Explosives","32106432","0.05997560772175808","36","Chemicals"
"Photographic or cinematographic goods","461152","0.0008614433223879931","37","Chemicals"
"Miscellaneous chemical products","41667327","0.07783559565155726","38","Chemicals"
"Plastics","523009452","0.9769945700576028","39","Chemicals"
"Rubber","77267824","0.1443382030659104","40","Chemicals"
"Leather and skins","13222360","0.02469969495569813","41","Agriculture"
"Articles of leather","11737710","0.021926332097934674","42","Agriculture"
"Furskins","7732091","0.01444373690246665","43","Agriculture"
"Wood","101603153","0.18979719850594942","44","Agriculture"
"Cork","97352","0.00018185593973595672","45","Agriculture"
"Manufactues of plaiting materials","113406","0.00021184520812819364","46","Agriculture"
"Pulp of wood","4955048","0.009256152009992325","47","Agriculture"
"Paper and paperboard","148125527","0.27670214183035613","48","Agriculture"
"Products of the printing industry","50942284","0.09516144433720922","49","Agriculture"
"Silk","359801","0.0006721171519119994","50","Textiles"
"Wool","223380747","0.4172807509306947","51","Textiles"
"Cotton","38518544","0.07195359126038291","52","Textiles"
"Other vegetable textile fibres","118750","0.0002218279320778706","53","Textiles"
"Man-made filaments","5273557","0.009851134686356034","54","Textiles"
"Man-made staple fibres","56272551","0.10511851470380218","55","Textiles"
"Wadding, felt and nonwovens","65050195","0.12151537042620832","56","Textiles"
"Carpets","1264499","0.002362115353975034","57","Textiles"
"Special woven fabrics","3084093","0.005761161873901779","58","Textiles"
"Impregnated, coated or laminated textile fabrics","549790","0.0010270212949649892","59","Textiles"
"Knitted fabrics","52889114","0.09879817084674321","60","Textiles"
"Apparel, knit","939493702","1.754997432546048","61","Textiles"
"Apparel, not knit","63657985","0.11891468777089774","62","Textiles"
"Other made up textile articles","29543705","0.05518837040899913","63","Textiles"
"Footwear","27960829","0.052231518957919616","64","Textiles"
"Headgear","5595575","0.010452672261361103","65","Textiles"
"Umbrellas and walking-sticks","56489","0.00010552284678018385","66","Textiles"
"Feathers and down","11656","0.000021773695800418187","67","Textiles"
"Articles of stone, plaster, cement, etc.","25488182","0.04761255330934235","68","Stone"
"Ceramic products","135447062","0.25301845616406843","69","Stone"
"Glass and glassware","82935498","0.15492555803948105","70","Stone"
"Precious metals and stones","7269861984","13.580281687597859","71","Stone"
"Iron and steel","170015280","0.31759274091823286","72","Metals"
"Articles of iron or steel","108349590","0.2023997093994537","73","Metals"
"Copper","2214833534","4.137363728370039","74","Metals"
"Nickel","41908","0.00007828517875805812","75","Metals"
"Aluminium","33576549","0.06272182257668459","76","Metals"
"Lead","33817160","0.0631712898656546","78","Metals"
"Zinc","881824939","1.6472707593521212","79","Metals"
"Tin","355157267","0.6634425440087424","80","Metals"
"Other base metals","8238723","0.015390137987809603","81","Metals"
"Metal tools and tableware","10011705","0.01870211214083097","82","Metals"
"Miscellaneous articles of base metal","36042506","0.06732829114007784","83","Metals"
"Industrial Machinery","263345584","0.4919360532257614","84","Machinery"
"Electrical machinery and equipment","91663144","0.17122901626337744","85","Electronics"
"Trains","2831580","0.005289461355057321","86","Vehicles"
"Vehicles","120724931","0.22551715194925154","87","Vehicles"
"Aircraft","12333098","0.023038531582768185","88","Vehicles"
"Ships","14171300","0.026472338306148445","89","Vehicles"
"Apparatuses (optical, medical, etc.)","22783772","0.04256064865426265","90","Machinery"
"Clocks","3583399","0.006693877810357132","91","Machinery"
"Musical instruments","985813","0.0018415230248882684","92","Machinery"
"Arms and ammunition","5933169","0.01108330618895602","93","Machinery"
"Furniture","21614141","0.04037574906669068","94","Textiles"
"Toys","25169094","0.04701648904668245","95","Machinery"
"Miscellaneous manufactured articles","34175694","0.06384104023028286","96","Machinery"
"Art","4842496","0.009045902094950401","97","Textiles"
"Other","169998320","0.3175610592194704","99","Other"
"Travel and tourism","4487534080","8.382824463961008","travel","Services"
"Transport","1831208576","3.420742834672355","transport","Services"
"Insurance and finance","857916928","1.6026100044870688","financial","Services"
