"Name","Gross Import","Share","Code","Sector"
"Live animals","15435359","0.03147305796990777","01","Agriculture"
"Meat","156371390","0.31884492108703505","02","Agriculture"
"Fish","192915247","0.39335870011899793","03","Agriculture"
"Diary products","235049730","0.47927189630647204","04","Agriculture"
"Animal products","20177658","0.04114271653357549","05","Agriculture"
"Plants","39325649","0.08018591797451848","06","Agriculture"
"Vegetables","70294547","0.14333222523035624","07","Agriculture"
"Fruits and nuts","112057277","0.22848740835707237","08","Agriculture"
"Coffee, tea and spices","40509792","0.08260041324370272","09","Agriculture"
"Cereals","1176992853","2.39991595223902","10","Agriculture"
"Flours, starches and malts","65486493","0.1335284906839523","11","Agriculture"
"Oil seeds and oleaginous fruits","196697285","0.4010703640471511","12","Agriculture"
"Lac and other vegetable extracts","20285508","0.041362625205738836","13","Agriculture"
"Other vegetable materials","10129377","0.020654036587036975","14","Agriculture"
"Animal or vegetable fats, oils or waxes","454320953","0.9263710478462304","15","Agriculture"
"Preparations of meat or fish","119367584","0.2433932952877763","16","Agriculture"
"Sugar and candy","168308391","0.34318474528288606","17","Agriculture"
"Cocoa","67214265","0.1370514581973599","18","Agriculture"
"Preparations of cereals, flour, starch or milk","141939980","0.2894189386063226","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","77089145","0.15718656944976955","20","Agriculture"
"Miscellaneous edible preparations","278663984","0.5682023801686408","21","Agriculture"
"Beverages","209600333","0.4273799806678272","22","Agriculture"
"Food residues and animal feed","673030545","1.3723250206427735","23","Agriculture"
"Tobacco","31533575","0.06429769686428637","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","144032576","0.2936857907874476","25","Minerals"
"Ores, slag and ash","182463261","0.372046856236477","26","Minerals"
"Mineral fuels, oils and waxes","6077703882","12.392580347636844","27","Minerals"
"Inorganic chemicals","387541591","0.7902063670364445","28","Chemicals"
"Organic chemicals","593536557","1.210234920076719","29","Chemicals"
"Pharmaceutical products","649881320","1.3251232095035936","30","Chemicals"
"Fertilisers","408238600","0.8324080524044819","31","Chemicals"
"Dyes, paints, inks, etc.","271909222","0.554429262484826","32","Chemicals"
"Essential oils","381820484","0.7785408960705249","33","Chemicals"
"Soaps, waxes, and paints","239747509","0.48885077754900197","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","109392242","0.22305333966797786","35","Chemicals"
"Explosives","41746331","0.08512174518221169","36","Chemicals"
"Photographic or cinematographic goods","39280822","0.08009451467320121","37","Chemicals"
"Miscellaneous chemical products","658671885","1.3430473771133813","38","Chemicals"
"Plastics","2025340126","4.129715881203561","39","Chemicals"
"Rubber","643068100","1.3112308945906892","40","Chemicals"
"Leather and skins","6068682","0.012374184519254513","41","Agriculture"
"Articles of leather","125219319","0.25532511980054196","42","Agriculture"
"Furskins","953871","0.0019449652760790271","43","Agriculture"
"Wood","252268950","0.514382288572476","44","Agriculture"
"Cork","1866933","0.0038067200468051197","45","Agriculture"
"Manufactues of plaiting materials","2088418","0.004258333141418923","46","Agriculture"
"Pulp of wood","102001895","0.207984249305471","47","Agriculture"
"Paper and paperboard","812209668","1.6561145072611232","48","Agriculture"
"Products of the printing industry","105275583","0.21465937569543","49","Agriculture"
"Silk","4381011","0.008932983882642678","50","Textiles"
"Wool","30317681","0.06181846056357817","51","Textiles"
"Cotton","331207481","0.6753397993256993","52","Textiles"
"Other vegetable textile fibres","3322624","0.0067749080383687115","53","Textiles"
"Man-made filaments","225703078","0.46021385429912026","54","Textiles"
"Man-made staple fibres","183001829","0.37314500898334463","55","Textiles"
"Wadding, felt and nonwovens","79594220","0.16229447595806437","56","Textiles"
"Carpets","30911370","0.06302900631849691","57","Textiles"
"Special woven fabrics","26688338","0.05441814531132657","58","Textiles"
"Impregnated, coated or laminated textile fabrics","91343988","0.18625252768831355","59","Textiles"
"Knitted fabrics","101883822","0.20774349569723416","60","Textiles"
"Apparel, knit","321868464","0.6562973252618984","61","Textiles"
"Apparel, not knit","366886522","0.7480901983092095","62","Textiles"
"Other made up textile articles","144469586","0.2945768643972956","63","Textiles"
"Footwear","364004777","0.7422142528621687","64","Textiles"
"Headgear","23814820","0.04855897490968101","65","Textiles"
"Umbrellas and walking-sticks","4829044","0.009846533647272816","66","Textiles"
"Feathers and down","12994615","0.026496323875047745","67","Textiles"
"Articles of stone, plaster, cement, etc.","75023514","0.1529746995342439","68","Stone"
"Ceramic products","265019671","0.5403813068778566","69","Stone"
"Glass and glassware","191162557","0.38978492422086186","70","Stone"
"Precious metals and stones","62431203","0.12729868292341498","71","Stone"
"Iron and steel","1597362701","3.257059903014983","72","Metals"
"Articles of iron or steel","815626867","1.6630822559362082","73","Metals"
"Copper","49721440","0.10138317893787187","74","Metals"
"Nickel","4573867","0.009326221776743136","75","Metals"
"Aluminium","169573719","0.3457647786656501","76","Metals"
"Lead","14782041","0.03014092728951451","78","Metals"
"Zinc","5833015","0.011893653994982661","79","Metals"
"Tin","1544299","0.003148861775736515","80","Metals"
"Other base metals","6492466","0.013238290005801304","81","Metals"
"Metal tools and tableware","237118787","0.4834907519161176","82","Metals"
"Miscellaneous articles of base metal","149384410","0.3045983054706062","83","Metals"
"Industrial Machinery","4545760456","9.268911876231863","84","Machinery"
"Electrical machinery and equipment","3228005904","6.581979527900616","85","Electronics"
"Trains","222494030","0.4536705303808223","86","Vehicles"
"Vehicles","3385448288","6.903008230799751","87","Vehicles"
"Aircraft","67497948","0.13762989446852647","88","Vehicles"
"Ships","16283132","0.033201686942795454","89","Vehicles"
"Apparatuses (optical, medical, etc.)","734601642","1.4978699273178833","90","Machinery"
"Clocks","42854389","0.08738110135708395","91","Machinery"
"Musical instruments","18611770","0.037949834281961976","92","Machinery"
"Arms and ammunition","11652261","0.023759232676965628","93","Machinery"
"Furniture","374609450","0.763837429108404","94","Textiles"
"Toys","494855788","1.0090225243525848","95","Machinery"
"Miscellaneous manufactured articles","122355756","0.24948624787670248","96","Machinery"
"Art","5745803","0.011715826687456377","97","Textiles"
"Other","1043310592","2.1273346957874315","99","Other"
"Unspecified","2479300864","5.055352442240859","unspecified","Services"
"Travel and tourism","2669052928","5.442261338249151","travel","Services"
"Transport","2910817280","5.93522450584073","transport","Services"
"ICT","563397120","1.1487799031975274","ict","Services"
"Insurance and finance","1278432384","2.6067535281971344","financial","Services"
