"Name","Gross Export","Share","Code","Sector"
"Live animals","2468056","0.0020861603884197817","01","Agriculture"
"Meat","1853653","0.0015668272772074432","02","Agriculture"
"Fish","424896954","0.35915035744530194","03","Agriculture"
"Diary products","17453263","0.014752625515495842","04","Agriculture"
"Animal products","5068384","0.004284125617125627","05","Agriculture"
"Plants","6197601","0.0052386127824615115","06","Agriculture"
"Vegetables","20672722","0.017473920266482673","07","Agriculture"
"Fruits and nuts","2038369998","1.722962018192014","08","Agriculture"
"Coffee, tea and spices","5489914","0.004640430007516522","09","Agriculture"
"Cereals","1636900","0.0013836136375367256","10","Agriculture"
"Flours, starches and malts","21788527","0.018417070742890316","11","Agriculture"
"Oil seeds and oleaginous fruits","22183709","0.018751104101378334","12","Agriculture"
"Lac and other vegetable extracts","125295771","0.10590808081207073","13","Agriculture"
"Other vegetable materials","5776279","0.0048824842071091695","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1092888350","0.9237798432188955","15","Agriculture"
"Preparations of meat or fish","479986954","0.40571598472363185","16","Agriculture"
"Sugar and candy","101794899","0.08604362544326079","17","Agriculture"
"Cocoa","16603207","0.014034103263513484","18","Agriculture"
"Preparations of cereals, flour, starch or milk","210054792","0.17755188150842463","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","411089608","0.3474794965351741","20","Agriculture"
"Miscellaneous edible preparations","130003332","0.10988721551738934","21","Agriculture"
"Beverages","151075565","0.12769882829284993","22","Agriculture"
"Food residues and animal feed","85115181","0.07194485013929182","23","Agriculture"
"Tobacco","365622016","0.3090473501871042","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","47927927","0.04051178044844807","25","Minerals"
"Ores, slag and ash","1737439317","1.4685959639524064","26","Minerals"
"Mineral fuels, oils and waxes","1453314186","1.2284350463529754","27","Minerals"
"Inorganic chemicals","123309483","0.10422914186352436","28","Chemicals"
"Organic chemicals","463157337","0.391490505100124","29","Chemicals"
"Pharmaceutical products","51652788","0.04366027362306392","30","Chemicals"
"Fertilisers","20240074","0.017108218224175274","31","Chemicals"
"Dyes, paints, inks, etc.","141941179","0.11997785508732452","32","Chemicals"
"Essential oils","114221381","0.09654729088513544","33","Chemicals"
"Soaps, waxes, and paints","81284570","0.06870697023233466","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","7012683","0.005927572750028687","35","Chemicals"
"Explosives","50861977","0.04299182907280791","36","Chemicals"
"Photographic or cinematographic goods","920827","0.0007783424735854545","37","Chemicals"
"Miscellaneous chemical products","177126662","0.14971889859768958","38","Chemicals"
"Plastics","695514837","0.5878940763530653","39","Chemicals"
"Rubber","402243603","0.34000228158269197","40","Chemicals"
"Leather and skins","6452416","0.0054539988836582376","41","Agriculture"
