"Name","Gross Import","Share","Code","Sector"
"Live animals","32749567","0.021010974591554585","01","Agriculture"
"Meat","1106967102","0.7101913027982573","02","Agriculture"
"Fish","933493297","0.598896588301565","03","Agriculture"
"Diary products","967780988","0.6208943693532679","04","Agriculture"
"Animal products","37391185","0.023988874050857433","05","Agriculture"
"Plants","11715937","0.007516534634587818","06","Agriculture"
"Vegetables","170478289","0.10937289639862108","07","Agriculture"
"Fruits and nuts","426641923","0.2737185076017948","08","Agriculture"
"Coffee, tea and spices","127085466","0.08153358171367195","09","Agriculture"
"Cereals","2421205660","1.5533607086526717","10","Agriculture"
"Flours, starches and malts","286202644","0.18361758740565157","11","Agriculture"
"Oil seeds and oleaginous fruits","666011472","0.42728962235976636","12","Agriculture"
"Lac and other vegetable extracts","45889620","0.029441172148507954","13","Agriculture"
"Other vegetable materials","1604202","0.0010291997894726684","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1052693902","0.6753715194954013","15","Agriculture"
"Preparations of meat or fish","227646266","0.14604986718719906","16","Agriculture"
"Sugar and candy","559025232","0.35865099973962733","17","Agriculture"
"Cocoa","220333107","0.1413580006372383","18","Agriculture"
"Preparations of cereals, flour, starch or milk","491903456","0.31558802030921174","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","383513534","0.24604884450506798","20","Agriculture"
"Miscellaneous edible preparations","1477527594","0.9479299294508162","21","Agriculture"
"Beverages","619005122","0.3971319953752105","22","Agriculture"
"Food residues and animal feed","1065626338","0.6836685172603766","23","Agriculture"
"Tobacco","308180434","0.1977177673337869","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","580725149","0.37257290608806376","25","Minerals"
"Ores, slag and ash","1316590357","0.8446782376821282","26","Minerals"
"Mineral fuels, oils and waxes","14874238142","9.542789975522243","27","Minerals"
"Inorganic chemicals","652916043","0.4188880539975188","28","Chemicals"
"Organic chemicals","1261007026","0.8090179202386953","29","Chemicals"
"Pharmaceutical products","1369065227","0.8783442754732578","30","Chemicals"
"Fertilisers","576338887","0.36975883409029037","31","Chemicals"
"Dyes, paints, inks, etc.","659225776","0.42293615758748365","32","Chemicals"
"Essential oils","830975110","0.5331245119187157","33","Chemicals"
"Soaps, waxes, and paints","474576422","0.3044716024609695","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","234017422","0.15013737762160664","35","Chemicals"
"Explosives","24750301","0.01587892583264774","36","Chemicals"
"Photographic or cinematographic goods","56034459","0.03594974536000758","37","Chemicals"
